aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.004,1.017,0.029,49.072,-4.7,3.906,88.357,0.213
-0.001,0.957,0.081,-11.536,0.854,-0.793,86.811,0.092
0.016,0.959,-0.049,-16.235,-1.038,-3.296,88.746,0.384
0.023,0.947,0.07,4.517,0.793,1.099,87.962,0.629
0.015,0.982,0.019,6.653,3.235,0.61,88.02,0.796
0.015,0.989,0.021,3.052,2.563,-0.061,88.636,1.022
0.018,0.989,0.027,4.578,0.977,-1.465,87.745,1.038
-0.021,0.997,0.037,7.324,3.601,-2.686,88.455,0.394
0.003,0.965,0.081,20.142,3.906,-7.324,87.595,0.225
0.03,0.98,0.1,4.761,6.836,-2.625,86.414,0.442
-0.022,0.995,0.108,5.981,9.766,-1.892,85.271,-0.147
0.101,0.966,0.153,21.973,12.878,-4.944,83.341,1.622
0.106,0.905,0.238,13.733,-0.305,-1.099,80.599,3.159
0.113,0.973,0.138,-8.179,-9.033,3.113,79.62,4.374
0.079,1.002,0.121,-7.202,-8.667,9.888,78.774,5.837
0.117,0.954,0.218,16.479,8.789,9.216,77.82,6.077
0.08,0.879,0.249,40.527,5.31,-7.019,77.782,5.733
0.101,0.977,0.232,-16.479,-11.536,3.357,76.666,5.523
0.118,0.954,0.258,6.409,-1.648,-8.362,74.499,6.126
0.14,0.988,0.145,-39.978,-17.883,2.502,75.434,6.435
0.117,0.975,0.166,-11.414,-5.432,-4.211,76.552,6.84
0.123,0.956,0.132,10.864,-1.038,-2.502,77.479,7.232
0.018,0.974,0.145,-7.751,0.183,-0.549,79.663,5.785
0.127,0.983,0.122,0.671,-2.808,-2.136,80.021,5.603
0.096,0.956,0.18,0.305,2.563,1.953,79.969,5.312
0.099,0.965,0.144,5.737,1.099,-0.122,80.031,4.946
0.096,0.968,0.145,0.732,-0.427,-0.122,79.415,6.081
0.116,0.957,0.169,2.014,2.38,1.16,78.874,5.949
0.133,0.975,0.14,3.052,3.235,-1.221,79.097,6.473
0.156,0.97,0.126,3.601,8.118,1.099,78.806,7.285
0.156,0.952,0.143,-2.502,7.446,3.479,78.2,8.19
0.124,0.966,0.138,-10.742,8.118,4.944,78.465,8.295
0.123,0.937,0.046,5.31,0.488,-1.953,79.365,8.251
0.09,0.992,0.15,14.404,23.743,6.47,79.897,7.247
0.031,1.005,0.083,11.047,23.315,1.77,81.884,5.358
0.054,0.946,0.1,16.357,2.014,-3.54,82.913,4.372
0.029,0.946,0.114,-1.77,-4.211,-4.822,82.795,2.984
0.038,0.945,0.056,7.08,-8.24,0.732,84.289,2.252
0.063,0.98,-0.005,-27.222,-9.46,6.775,85.178,2.741
0.025,0.984,0.091,-1.282,-2.686,-1.709,85.561,2.29
0.042,0.941,0.045,-15.198,-12.634,3.54,86.263,2.487
-0.074,1.023,-0.183,31.494,-6.592,-2.502,88.89,0.81
0.08,0.953,0.066,0.854,2.136,-2.563,88.888,1.077
0.057,1.001,0.025,2.502,1.221,-0.305,88.304,1.544
0.088,0.981,0.036,5.981,0.732,1.648,87.66,2.192
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.055,0.948,0.114,25.452,-5.371,-2.38,84.563,4.124
0.07,0.941,0.158,-7.812,0.916,0.854,83.684,3.977
0.022,0.901,-0.047,42.664,7.996,-2.38,84.686,3.552
0.085,1.009,0.057,-11.353,-1.282,2.808,84.52,3.486
0.054,0.95,0.106,2.625,10.254,-0.122,84.62,3.467
0.014,1,0.046,10.559,8.85,-1.587,86.469,2.589
-0.026,0.946,0.151,3.296,10.132,-2.136,84.415,1.849
0.031,0.891,0.111,3.906,-4.578,-0.793,83.651,1.087
0.073,0.99,0.05,-12.268,-8.423,-2.441,84.468,1.365
0.097,1.005,0.058,16.724,-3.418,-3.174,83.891,2.601
0.123,0.955,0.11,24.109,5.676,-1.709,83.139,4.799
0.032,0.978,0.105,1.282,1.16,7.141,83.341,4.707
0.083,0.921,0.159,11.78,6.409,8.667,81.938,4.923
0.098,0.974,0.147,0.061,-1.526,5.92,80.802,4.954
0.111,0.953,0.12,0.793,-2.686,0.488,80.765,4.777
0.029,0.989,0.111,-1.77,-1.343,0.488,80.748,4.716
0.048,0.972,0.135,6.775,-1.77,-5.493,81.406,4.157
0.052,0.96,0.145,-9.583,-8.057,-10.803,81.708,3.499
0.102,0.969,0.135,-5.92,-8.057,-5.188,81.59,3.363
0.164,0.961,0.108,-1.587,-3.784,-2.563,80.599,5.373
0.126,0.944,0.143,1.892,1.892,2.075,79.757,6.547
0.112,0.979,0.11,5.066,0.488,1.221,79.587,7.399
0.121,0.976,0.145,5.798,1.526,-1.038,79.322,7.65
0.184,0.983,0.144,8.179,5.188,-2.441,78.814,7.886
0.19,0.937,0.145,11.78,14.526,5.371,78.117,8.818
0.119,0.963,0.135,5.737,12.939,9.521,77.756,8.952
0.097,0.947,0.145,2.258,10.01,7.874,77.912,8.668
0.025,1.023,0.167,-7.019,17.944,10.864,79.283,6.285
0.067,0.95,0.172,2.441,15.869,4.456,79.897,4.482
0.029,0.974,0.179,-2.502,4.883,1.77,79.837,3.157
0.011,0.958,0.091,-2.502,-17.944,-3.113,80.938,1.919
0.022,0.983,0.127,-9.583,-13.367,2.686,81.415,1.892
0.02,0.989,0.059,-14.404,-14.404,5.066,83.228,1.199
0.002,0.989,0.066,-3.174,-5.432,-0.854,84.922,0.811
-0.014,0.986,0.063,5.005,-2.625,-2.502,85.404,0.436
0.024,0.993,0.044,4.578,-1.465,-0.977,86.608,0.466
0.013,1.03,0.05,3.601,-3.601,1.16,86.79,0.356
0.04,1.006,0.03,-6.653,4.028,-0.183,87.187,0.889
0.054,0.983,0.047,1.77,1.099,0.549,86.934,1.861
0.049,0.981,0.012,2.38,-0.732,0.488,87.008,2.23
0.034,0.989,0.026,1.587,-1.221,0.732,86.948,2.555
0.035,0.984,0.016,1.099,0.977,-0.549,87.1,2.501
0.036,0.979,0.023,4.15,-0.122,0.916,87.487,2.245
0.032,0.99,0.012,1.16,0.549,0.061,87.724,1.983
