aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.014,0.967,0.084,26.123,-2.38,2.686,84.984,0.814
0.003,0.974,0.084,-1.343,3.113,0.793,85.034,0.485
0.009,1.004,0.016,-14.893,3.906,-0.244,86.397,0.488
-0.006,0.99,0.028,-0.671,-1.404,0.549,86.903,0.28
0.007,0.984,0.034,1.282,2.258,-1.648,87.636,0.175
0.013,0.983,0.03,2.625,-0.366,-0.793,88.401,0.318
0.018,0.968,0.041,6.226,1.648,-2.625,87.998,0.451
0.015,0.977,0.04,6.348,-0.671,-2.686,87.739,0.763
0.032,0.992,0.036,5.615,4.639,-0.549,87.567,1.13
0.027,0.989,0.045,4.395,4.028,1.465,87.28,1.335
0.013,1.006,0.048,6.042,4.578,-0.671,87.253,1.253
-0.036,1.006,0.071,12.878,3.601,-2.319,87.088,0.5
0.057,0.934,0.099,7.629,9.766,1.831,86.091,0.871
0.082,0.98,0.132,3.052,4.15,0.366,84.647,1.677
0.017,0.978,0.14,1.77,8.24,-2.625,83.305,1.747
0.041,0.992,0.113,4.333,9.399,-1.587,82.344,2.886
0.064,0.981,0.119,5.493,8.972,-0.61,82.129,2.959
0.093,0.965,0.139,5.249,7.08,-0.61,81.951,3.121
0.087,0.978,0.136,-2.136,0.366,3.723,81.56,4.137
0.076,0.973,0.135,3.296,3.052,0.854,80.992,4.66
0.069,0.979,0.137,5.493,3.052,0.061,80.726,4.72
0.086,0.972,0.129,-1.221,0.61,-0.427,80.906,4.621
0.082,0.968,0.127,2.563,0.977,0.61,81.027,4.561
0.054,0.974,0.155,2.319,-1.099,-0.793,80.925,4.239
0.078,0.976,0.144,5.981,-0.244,-0.793,80.768,4.37
0.089,0.971,0.146,1.892,-0.732,-0.549,80.532,4.411
0.08,0.964,0.15,3.174,1.465,-0.732,80.243,4.384
0.046,0.979,0.159,4.272,1.648,-1.282,80.262,4.251
0.081,0.966,0.159,5.432,0.732,1.16,80.024,4.314
0.063,0.971,0.174,4.822,1.343,0.977,79.817,3.933
0.042,0.957,0.167,-0.977,-2.258,2.93,79.774,3.388
0.074,0.966,0.149,-2.808,-3.662,-0.977,79.731,3.82
0.091,0.96,0.134,6.714,-2.625,-1.587,79.997,3.968
0.087,0.97,0.14,1.587,-1.343,-0.061,80.291,4.325
0.072,0.973,0.138,2.563,-2.441,-0.793,80.495,4.735
0.073,0.962,0.164,4.517,0.916,0.549,80.298,4.727
0.101,0.967,0.16,1.099,-2.808,2.136,79.912,4.866
0.08,0.982,0.149,-6.531,-6.165,5.798,79.874,4.749
0.049,0.98,0.148,3.296,2.747,2.258,79.912,4.412
0.048,0.973,0.139,3.174,1.038,0.305,80.426,4.038
0.043,0.969,0.145,3.052,0.977,0.183,80.958,3.193
0.043,0.974,0.14,2.441,1.16,0.366,81.245,2.665
0.042,0.974,0.144,3.723,1.526,0.793,81.317,2.575
0.047,0.974,0.142,2.014,0.977,0.366,81.28,2.551
