aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.011,0.406,0.911,-2.686,-4.333,0.183,23.988,0.645
0.026,0.144,0.838,26.062,17.029,-3.845,17.429,1.163
0.032,0.359,0.932,2.93,3.845,-0.183,18.708,1.405
-0.011,0.385,0.939,2.502,2.197,-0.488,19.66,0.868
-0.029,0.364,0.911,2.869,1.343,-0.305,19.083,0.265
-0.003,0.345,0.946,1.16,1.892,0.854,21.299,-0.163
0.014,0.319,0.934,2.319,-1.465,-0.549,20.75,-0.424
0.039,0.391,0.951,-7.507,-3.479,0.244,20.768,0.295
0.01,0.363,0.919,1.77,1.77,5.554,20.705,0.856
-0.007,0.381,0.941,4.089,4.7,2.38,21.214,0.804
0.019,0.352,0.955,11.23,7.202,-1.099,21.546,0.862
0.058,0.318,0.967,11.414,6.042,-7.568,20.494,1.134
0.071,0.251,0.967,1.465,1.709,-4.028,18.77,2.001
0.083,0.27,0.946,1.099,-4.028,-2.38,17.221,3.296
0.159,0.321,0.963,8.057,2.136,-0.366,16.711,5.294
0.104,0.296,0.964,1.465,1.404,1.892,16.413,5.955
0.092,0.269,0.957,-2.869,0,0.427,16.677,6.258
0.099,0.274,0.954,-0.366,-0.122,-0.183,16.692,6.468
0.076,0.254,0.962,2.197,0.61,1.465,15.825,5.315
0.084,0.282,0.966,0.061,0.183,0.854,15.624,5.036
0.082,0.282,0.959,0.305,0.305,0.549,15.799,4.889
0.083,0.29,0.962,0.488,0.061,0.671,16,4.646
0.085,0.26,0.959,1.953,0.671,0.671,16.089,4.784
0.098,0.257,0.954,-0.427,0.122,0.244,15.795,5.006
0.119,0.295,0.952,-2.075,0.366,0.427,15.998,5.528
0.163,0.328,0.932,-8.85,-3.662,2.38,16.604,6.697
0.101,0.319,0.958,-13,-5.249,7.324,17.403,6.892
0.074,0.343,0.957,-2.502,-4.333,10.01,18.565,6.497
-0.048,0.353,0.945,-8.85,-5.31,-2.014,19.443,4.126
0.029,0.374,0.921,8.24,1.16,-0.732,20.149,2.213
0.001,0.371,0.935,3.479,3.235,3.235,20.971,0.789
-0.003,0.348,0.923,0.549,-2.502,-3.174,21.207,-0.299
-0.026,0.38,0.948,-2.075,-1.526,-2.319,21.562,0.007
0.016,0.367,0.932,-3.54,-1.709,-1.221,21.414,-0.172
0.047,0.38,0.946,0.061,0.732,-2.319,21.477,0.478
-0.101,0.349,0.916,-6.47,-4.272,-4.395,21.526,-0.925
0.055,0.343,0.933,2.808,0.427,2.563,21.113,0.231
0.027,0.371,0.922,-2.808,-0.366,2.075,21.215,0.393
0.016,0.383,0.922,-5.188,-1.282,2.869,21.376,-0.051
0.015,0.362,0.918,5.798,0.854,2.014,21.539,1.63
0.006,0.379,0.92,0.732,-4.15,0.366,22.093,0.924
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.048,0.502,0.912,-5.859,-6.165,2.625,23.87,1.207
-0.032,0.435,0.914,9.399,8.24,2.258,24.595,0.526
0.004,0.392,0.914,2.197,1.16,1.282,25.009,0.362
0,0.43,0.907,3.845,1.221,0.854,25.737,0.28
-0.074,0.424,0.933,5.981,0.549,0.183,24.608,-1.452
-0.048,0.337,0.926,4.761,0.793,2.075,23.265,-1.686
-0.027,0.357,0.943,-3.662,1.282,2.808,22.626,-2.117
0.023,0.386,0.93,3.235,2.38,3.235,21.93,-1.784
0.021,0.361,0.933,4.272,2.563,2.014,21.109,-0.432
0.031,0.38,0.934,-1.099,1.221,5.005,21.638,0.694
0.012,0.381,0.933,0.732,2.625,0.244,22.005,1.246
0.018,0.346,0.937,7.019,5.432,-2.38,21.448,1.183
0.017,0.338,0.953,0.977,3.113,-6.836,21.042,1.119
0.046,0.277,0.939,-3.418,-2.869,-4.211,19.641,1.343
0.091,0.36,0.932,-2.258,-8.179,1.709,19.349,2.478
0.119,0.367,0.921,9.338,2.136,4.7,19.678,3.923
0.031,0.392,0.937,-0.61,0.427,1.221,20.469,4.126
0.059,0.316,0.934,4.944,2.136,-2.136,21.004,4.294
0.039,0.349,0.951,1.465,0.671,-0.549,20.788,3.535
0.037,0.341,0.942,2.93,0.854,0.305,20.348,2.358
0.049,0.334,0.943,-1.465,-0.183,0.366,19.546,2.623
0.038,0.349,0.944,1.587,0.916,0.793,19.945,2.317
0.034,0.364,0.941,0.977,0.488,0.61,20.189,2.257
0.051,0.333,0.936,1.099,0.916,0.183,20.114,2.465
0.039,0.386,0.936,-6.104,0.549,-0.122,20.841,2.307
0.149,0.365,0.921,-6.042,-1.038,4.333,21.139,3.905
