aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.485,-0.018,-0.904,7.812,-7.812,0.366,-1.03,28.198
0.467,0.115,-0.834,14.16,19.531,0.549,2.8,28.67
0.495,-0.013,-0.82,5.005,-0.916,2.502,1.641,29.484
0.458,-0.039,-0.956,7.019,0.183,-9.705,0.647,28.466
0.458,0.216,-0.904,-39.734,11.963,17.578,4.019,28.055
0.499,0.177,-0.925,8.484,0.549,45.349,4.782,27.815
0.495,0.317,-0.984,5.31,19.531,74.341,9.018,26.513
0.381,0.255,-1.085,30.762,47.302,90.942,12.625,24.526
0.187,0.427,-1.201,45.471,57.8,104.126,14.714,19.716
-0.044,0.505,-1.014,72.815,75.989,118.347,18.849,12.646
-0.267,0.345,-0.777,73.608,74.097,102.173,20.561,3.377
-0.52,0.378,-0.382,70.801,74.402,80.322,25.724,-9.721
-0.804,0.229,-0.166,54.993,38.818,53.406,27.05,-30.679
-0.88,-0.044,-0.106,56.946,42.175,49.194,17.651,-55.556
-0.738,-0.053,0.32,40.283,44.25,27.954,9.765,-78.298
-0.937,-0.124,0.451,16.602,16.174,3.296,0.14,-81.548
-0.953,0.25,0.173,-7.385,-6.958,-0.183,0.452,-76.559
-0.982,0.086,0.265,-11.841,4.883,2.319,2.381,-71.343
-0.962,-0.031,0.255,-3.113,1.953,0.122,2.583,-73.182
-0.917,0.126,0.217,7.263,-2.747,1.648,6.255,-75.212
-0.969,0.187,0.298,-3.174,0.793,-3.967,5.283,-73.994
-0.89,0.042,0.175,3.662,-1.831,-1.465,4.796,-75.035
-0.966,-0.045,0.241,-8.423,0.61,1.465,4.597,-75.312
-0.903,-0.028,0.229,-1.16,-3.784,-3.052,2.334,-75.617
-0.875,-0.033,0.285,-60.669,-20.935,-10.193,-0.96,-75.61
-0.8,0.226,-0.008,-91.919,-43.091,-43.03,1.913,-77.947
-0.699,0.12,-0.354,-124.573,-62.378,-44.312,4.976,-84.359
-0.499,0.08,-0.692,-74.036,-70.496,-66.345,7.539,-73.266
-0.471,0.603,-0.764,-61.34,-72.205,-69.214,18.556,-49.765
-0.13,0.533,-0.975,-44.006,-74.524,-85.51,21.946,-30.224
0.103,0.328,-0.982,-17.639,-74.219,-83.13,23.48,-14.904
0.401,0.498,-1.043,-10.071,-61.401,-85.754,27.522,-1.312
0.539,0.315,-0.927,51.819,-38.757,-60.303,22.547,12.066
0.548,0.333,-0.835,15.259,-30.09,-31.128,19.738,21.378
0.585,0.275,-0.835,-26.978,8.118,7.629,18.726,27.94
0.519,0.266,-0.78,-1.221,-7.08,3.54,16.444,31.46
0.516,0.174,-0.843,-6.104,1.16,1.404,14.872,32.104
0.511,0.182,-0.801,-6.958,2.075,0.671,12.962,32.237
0.526,0.189,-0.907,-17.273,1.465,2.808,11.673,31.166
0.497,0.158,-0.882,1.038,2.197,-0.793,9.966,30.344
