aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.49,0.304,-0.835,1.831,-7.446,1.404,17.429,28.882
0.473,0.343,-0.743,11.658,15.747,2.93,19.295,29.468
0.514,0.298,-0.768,-7.446,-1.465,8.362,18.822,30.289
0.422,0.343,-0.873,-24.353,3.967,2.319,19.013,28.716
0.314,0.264,-1.193,52.917,-22.278,-10.193,17.449,24.456
0.602,0,-0.433,55.969,47.119,45.898,13.552,28.637
0.006,0.462,-0.529,-40.1,-36.865,-9.46,17.891,22.707
0.679,1.185,-1.207,-1.892,-19.897,33.142,27.173,22.485
0.62,0.525,-0.298,81.482,56.458,145.691,34.874,30.115
-0.465,0.445,-0.551,-44.373,-42.664,51.208,43.921,12.862
0.534,1.81,-1.519,32.898,-11.902,83.13,46.015,14.373
-0.083,1.275,-0.463,132.568,58.228,136.658,54.485,6.984
-0.685,0.037,0.583,109.436,55.847,143.677,59.856,-9.757
-0.828,0.248,-0.062,26.062,18.555,120.117,61.812,-16.127
-0.596,0.154,-0.515,3.967,33.325,84.717,37.402,-51.052
-0.453,-0.473,-0.807,37.354,19.897,10.925,-0.761,-72.636
-0.853,0.496,0.228,12.39,45.105,-2.197,8.132,-65.733
-0.788,0.158,0.961,34.485,52.979,36.926,7.06,-82.402
-1.432,-0.726,0.404,-15.747,-15.442,-2.38,-8.599,-74.81
-1.049,-0.096,-0.114,-62.5,-49.072,-30.09,-2.203,-70.15
-0.824,0.279,-0.187,-19.775,-6.897,-6.836,-5.209,-74.552
-0.705,0.426,-0.001,10.254,14.771,1.099,-1.677,-87.791
-0.866,-0.049,0.453,34.79,57.617,38.208,9.232,-80.439
-1.178,-0.717,1.435,12.512,30.273,26.917,-0.887,-64.552
-1.272,-0.321,0.103,-93.323,-62.561,-24.963,-8.387,-62.46
-0.89,0.117,-0.377,-59.814,-66.162,-34.607,-12.15,-65.879
-0.518,0.192,-0.657,-21.301,-35.034,-34.729,-10.621,-77.055
-0.514,0.269,0.391,-37.842,-23.926,-42.969,4.532,-79.393
-0.856,-0.211,-0.178,1.16,-52.002,-40.222,7.223,-72.051
-0.586,-0.016,-0.601,-95.581,-77.698,-126.404,4.975,-66.577
-0.264,1.091,-0.909,-59.082,-58.96,-112.854,23.781,-52.184
0.192,1.746,-0.066,-39.246,-21.484,-90.637,48.393,-25.712
-0.253,0.393,-0.462,24.292,-53.406,-101.685,55.217,-13.46
0.273,0.424,-1.575,-5.127,-68.97,-109.009,50.493,-0.632
0.509,0.649,-1.109,-10.498,-34.363,-71.106,44.291,9.014
0.627,0.55,-0.608,-10.315,-15.747,-63.843,27.169,15.174
