aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.904,-0.140,-0.473,23.682,4.272,-0.122,-7.811,61.370
0.905,-0.134,-0.399,-8.057,7.019,2.136,-7.759,63.202
0.910,-0.099,-0.498,-11.780,1.343,3.540,-6.970,62.444
0.885,-0.122,-0.491,0.977,10.193,4.150,-6.952,61.893
0.863,-0.103,-0.549,3.906,19.836,2.991,-6.443,60.823
0.825,-0.139,-0.668,0.244,43.518,4.333,-6.406,57.095
0.737,-0.084,-0.793,-0.916,74.768,5.066,-6.169,52.484
0.575,-0.057,-0.902,13.916,91.370,3.357,-5.231,45.601
0.372,0.003,-1.024,31.860,111.938,4.639,-3.757,36.435
0.018,0.052,-1.024,24.170,139.832,7.812,-1.197,24.451
-0.314,0.119,-0.846,48.767,137.512,16.174,1.748,9.726
-0.621,0.023,-0.541,-19.409,123.596,19.836,3.250,-8.994
-0.764,0.059,-0.251,-50.049,91.064,-2.563,4.610,-32.147
-0.920,-0.023,-0.171,-17.090,27.344,2.625,3.211,-55.240
-0.948,0.063,-0.124,-0.244,4.150,6.287,2.051,-71.409
-0.950,0.037,-0.196,-4.700,-0.122,-1.404,2.136,-78.098
-0.976,0.054,-0.228,-0.122,0.366,2.686,1.946,-79.091
-0.956,0.020,-0.200,4.517,-2.502,4.211,2.561,-78.656
-0.964,0.012,-0.230,1.770,-0.244,-0.854,1.785,-77.356
-0.940,0.020,-0.192,-2.747,0.854,-0.366,1.537,-77.417
-0.973,0.014,-0.231,4.211,-2.747,1.282,0.953,-77.426
-0.950,0.048,-0.190,4.700,-2.991,2.197,1.365,-77.500
-0.895,0.072,-0.122,0.671,-19.714,3.052,2.291,-78.702
-0.847,-0.057,-0.322,14.526,-68.909,8.301,1.163,-76.672
-0.728,0.003,-0.542,23.376,-90.027,3.479,1.043,-70.996
-0.452,-0.052,-0.626,-31.799,-118.652,8.667,-0.593,-61.109
-0.078,-0.184,-0.830,-36.926,-149.719,17.578,-5.282,-41.991
0.284,-0.028,-1.100,1.221,-140.930,13.733,-4.577,-17.389
0.519,-0.052,-0.909,-22.400,-95.520,5.127,-5.171,4.486
0.672,-0.157,-0.775,10.559,-71.716,3.662,-6.177,21.007
0.762,-0.156,-0.626,-2.686,-42.480,7.812,-5.492,33.104
0.852,-0.157,-0.587,0.916,-33.142,3.235,-7.376,43.624
0.898,-0.145,-0.503,-7.202,-33.997,5.188,-8.649,51.135
0.907,-0.120,-0.491,2.014,-11.963,-0.183,-8.081,56.281
0.924,-0.126,-0.400,1.953,3.479,0.122,-7.624,60.136
0.921,-0.137,-0.392,4.333,-0.671,-0.916,-7.390,62.951
0.945,-0.142,-0.405,2.258,2.014,0.671,-7.350,64.427

0.887,-0.091,-0.467,20.813,2.563,3.113,-7.009,64.706
0.888,-0.123,-0.470,-13.977,2.380,0.671,-6.966,63.646
0.890,-0.062,-0.472,5.737,1.404,-0.671,-5.906,62.715
0.887,-0.079,-0.500,7.080,6.531,3.174,-5.037,61.339
0.863,-0.120,-0.558,-2.563,23.926,4.822,-5.415,60.001
0.812,-0.116,-0.707,-3.845,45.349,3.174,-5.245,56.686
0.737,-0.125,-0.817,-4.761,80.139,1.099,-6.008,51.554
0.563,-0.031,-0.921,15.564,111.328,-0.122,-5.304,44.490
0.310,-0.122,-0.959,5.249,111.450,0.488,-5.387,35.264
