aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.871,0.013,-0.533,-13.489,1.099,2.625,0.712,58.52
0.843,0.063,-0.592,-12.878,34.18,6.226,2.117,56.655
0.809,0.099,-0.844,8.179,54.382,6.653,3.13,51.92
0.796,0.095,-0.903,-6.348,75.623,9.705,3.523,49.003
0.762,0.126,-0.868,-3.174,100.281,9.399,4.831,44.82
0.695,0.114,-0.974,-0.061,119.385,11.597,5.265,40.266
0.535,0.171,-1.004,-9.338,129.15,11.414,6.192,36.39
0.384,0.098,-1.051,15.381,127.136,13.733,6.371,31.16
0.211,0.165,-1.026,7.874,122.559,15.869,7.039,24.051
-0.043,0.131,-0.996,6.958,110.107,16.418,7.632,14.803
-0.22,0.153,-0.952,5.005,99.121,14.893,7.709,4.679
-0.361,0.113,-0.866,-4.15,90.576,15.564,8.279,-6.077
-0.551,0.086,-0.898,-3.54,84.778,15.869,7.064,-17.432
-0.64,0.076,-0.806,-13.367,85.388,15.869,6.191,-26.536
-0.735,0.051,-0.68,-1.404,90.454,17.029,4.686,-35.001
-0.818,0.06,-0.548,-5.31,98.267,18.982,3.882,-42.979
-0.867,-0.007,-0.443,-12.146,97.9,17.883,2.612,-50.937
-0.89,-0.035,-0.25,3.357,91.98,20.996,1.032,-59.859
-0.896,-0.04,0.03,-0.61,77.515,16.968,-0.337,-70.761
-0.927,-0.088,0.184,-14.343,39.429,6.042,-2.687,-81.909
-0.956,-0.036,0.075,0.122,-0.244,-3.052,-3.096,-86.846
-1.003,-0.097,-0.022,1.587,-11.353,-1.099,-3.93,-84.366
-1.035,-0.098,-0.009,2.197,-4.089,2.686,-4.632,-84.302
-1.021,-0.075,-0.008,3.296,0.061,1.709,-4.354,-85.616
-0.998,-0.087,-0.012,-3.906,-1.282,0.977,-5.022,-84.927
-1.012,-0.103,-0.03,3.906,-3.418,-0.671,-5.098,-84.835
-1.006,-0.077,-0.047,-3.479,-3.906,0.732,-4.843,-84.969
-0.991,-0.126,-0.028,1.343,-7.568,1.465,-5.591,-84.166
-0.991,-0.118,-0.029,6.592,-15.076,-0.244,-6.048,-83.655
-0.994,-0.094,-0.074,4.883,-15.259,-1.343,-5.943,-83.528
-0.982,-0.073,-0.053,6.104,-24.658,0.183,-5.928,-83.501
-0.925,-0.135,-0.076,-0.244,-47.974,-7.385,-6.154,-82.964
-0.857,-0.083,-0.151,14.771,-77.026,-10.864,-5.827,-82.074
-0.794,-0.05,-0.318,7.996,-102.478,-17.944,-5.41,-79.048
-0.661,-0.003,-0.534,5.798,-122.498,-18.188,-4.545,-71.026
-0.499,-0.016,-0.777,23.56,-138.855,-17.273,-2.624,-57.555
-0.302,0.078,-0.97,10.925,-146.606,-17.029,0.15,-40.962
-0.122,0.062,-1.169,14.282,-147.278,-14.832,1.832,-24.655
0.167,0.08,-1.213,20.874,-143.799,-17.944,2.792,-10.375
0.359,0.08,-1.226,15.747,-137.085,-18.372,3.757,1.267
0.509,0.034,-1.205,3.174,-126.343,-19.287,2.998,10.719
0.641,0.041,-1.144,50.781,-91.736,-31.799,2.659,19.272
0.57,0.182,-0.911,-5.493,-72.754,1.282,3.903,24.805
0.737,0.131,-0.824,8.972,-63.354,-10.681,4.662,30.917
0.703,0.138,-0.755,-46.021,-48.523,4.089,6.248,35.865
0.771,0.114,-0.711,-30.09,-34.119,7.812,7.592,40.543
0.836,0.058,-0.594,4.211,-35.095,-2.747,6.009,46.233
0.815,-0.064,-0.545,3.906,-30.579,-7.202,3.467,50.055
0.87,0.014,-0.59,-26.855,-29.724,-4.822,1.71,53.416
0.898,0.003,-0.597,-5.798,-1.16,-3.235,0.161,55.773
0.931,-0.03,-0.473,31.372,1.038,-5.005,-1.055,57.889
0.853,0.023,-0.417,3.113,6.47,2.625,0.141,59.686
0.909,0.052,-0.41,13.367,2.441,-0.977,0.677,62.149
0.914,0.036,-0.421,6.042,0.488,1.16,1.155,64.474
0.892,0.052,-0.429,-1.953,-2.93,0.427,2.357,64.721
0.907,0.05,-0.425,-5.676,-4.7,1.282,2.721,64.911
0.896,0.036,-0.458,4.333,-2.991,1.465,2.483,64.227
0.912,0.061,-0.449,3.418,-2.686,1.953,2.833,63.813
,,,,,,,
,,,,,,,
0.784,0.32,-0.606,-0.671,0.488,-7.08,6.649,60.315
0.83,0.285,-0.588,-18.311,11.475,1.526,9.903,57.078
0.766,0.216,-0.587,-31.738,7.141,8.728,12.502,53.931
0.794,0.466,-0.705,-78.43,44.678,44.556,17.706,48.592
0.688,0.347,-0.847,-13.489,51.453,54.138,17.723,45.476
0.612,0.227,-0.938,-34.912,70.984,49.194,16.641,40.709
0.539,0.251,-1.004,-34.424,96.497,38.635,16.43,35.25
0.373,0.262,-0.936,-14.587,93.994,32.532,14.075,29.686
0.24,0.184,-0.952,-0.61,85.571,31.311,12.361,24.12
0.094,0.352,-0.934,2.136,84.29,23.926,14.619,17.435
-0.042,0.289,-0.955,1.77,85.388,21.973,15.843,9.594
-0.16,0.218,-0.937,3.174,80.811,21.912,15.433,1.921
-0.257,0.219,-0.859,7.446,73.12,17.334,16.236,-5.435
-0.375,0.27,-0.87,-6.714,65.552,11.963,15.003,-12.512
-0.482,0.225,-0.916,-5.92,60.486,11.963,13.774,-18.982
-0.592,0.19,-0.893,-0.854,64.697,16.357,12.97,-25.04
-0.66,0.198,-0.73,-5.066,76.05,20.996,12.425,-30.914
-0.728,0.166,-0.716,-8.545,79.102,24.292,10.818,-36.351
-0.841,0.145,-0.6,-3.967,85.999,30.457,9.738,-43.042
-0.894,0.103,-0.418,11.414,89.111,36.438,8.739,-50.881
-0.885,-0.063,-0.226,1.526,77.942,31.677,5.165,-59.249
-0.9,-0.037,-0.052,1.465,55.908,17.883,2.255,-69.646
-0.966,-0.042,-0.013,0.183,34.18,8.789,-0.603,-78.96
-0.969,-0.1,-0.003,-10.62,16.907,4.517,-3.704,-84.152
-0.994,-0.059,-0.008,2.258,-0.793,-1.282,-3.551,-86.268
-1.033,-0.046,-0.059,-0.488,-5.188,-2.319,-3.562,-86.238
-1.014,-0.042,-0.081,-0.977,-2.747,-0.977,-3.518,-85.872
-1.003,-0.092,-0.086,-1.648,-3.479,-0.793,-3.381,-85.264
-0.986,-0.062,-0.056,3.235,-11.108,-2.38,-3.43,-84.739
-0.957,-0.035,-0.014,1.953,-24.414,-4.822,-3.338,-85.223
-0.979,-0.057,-0.112,2.869,-45.471,-5.981,-3.581,-84.703
-0.941,-0.054,-0.203,9.033,-62.317,-8.484,-3.064,-83.54
-0.823,0.038,-0.245,13,-85.022,-17.212,-1.642,-81.031
-0.677,0.045,-0.46,25.94,-117.554,-22.766,-0.441,-73.393
-0.568,0.115,-0.666,18.921,-134.705,-25.024,2.436,-62.305
-0.383,0.18,-0.898,24.414,-147.217,-21.851,6.469,-46.829
-0.173,0.245,-0.935,1.709,-151.611,-20.996,9.598,-30.855
0.046,0.227,-1.01,-15.32,-141.418,-13.245,11.814,-16.707
0.215,0.255,-1.031,-25.513,-122.192,-8.972,13.146,-4.241
0.37,0.147,-1.111,-2.014,-103.516,-12.817,11.994,6.255
0.426,0.13,-1.105,1.038,-82.825,-9.888,9.804,13.741
0.514,0.097,-1.012,1.648,-76.965,-5.31,7.902,19.5
0.681,0.007,-0.898,3.052,-76.172,-12.817,4.748,25.66
0.739,0.06,-0.78,26.367,-74.158,-18.127,3.759,31.8
0.801,0.172,-0.654,0.549,-56.58,-14.709,4.448,39.134
0.97,0.038,-0.584,-7.69,-47.668,-14.648,3.669,47.451
0.863,0.079,-0.535,2.991,-29.114,-6.165,4.723,52.619
0.829,0.12,-0.521,10.742,-21.301,-4.822,5.634,56.047
0.987,-0.005,-0.43,-17.395,-8.057,16.846,3.171,60.269
0.811,0.046,-0.527,-4.089,-4.822,10.132,3.408,59.838
0.882,0.061,-0.439,2.869,1.465,3.357,3.172,61.19
0.904,0.028,-0.406,5.859,1.343,2.319,1.848,63.247
0.917,0.063,-0.409,5.432,-5.554,-2.93,2.87,62.974
0.868,0.091,-0.453,5.737,-4.395,-5.188,3.505,64.219
0.896,0.1,-0.435,8.911,0.916,-1.953,4.052,64.28
0.919,0.061,-0.427,2.136,-0.977,2.075,4.508,64.035
0.91,0.088,-0.399,6.836,-0.244,0.61,4.875,64.066
0.943,0.077,-0.407,5.066,0.366,-2.197,4.617,65.136
,,,,,,,
,,,,,,,
0.805,0.076,-0.684,0.671,28.748,4.395,4.247,61.502
0.813,0.132,-0.723,-2.93,47.913,5.493,5.166,57.105
0.747,0.123,-0.844,3.113,67.566,8.057,5.491,50.876
0.693,0.109,-0.934,3.235,92.651,10.864,5.698,43.552
0.592,0.132,-0.987,1.16,107.3,12.512,6.297,38.923
0.49,0.128,-1.024,-19.958,119.324,12.268,6.173,33.425
0.294,0.134,-1.078,-3.662,130.432,7.141,6.338,27.032
0.086,0.113,-1.066,7.812,134.888,8.301,6.557,19.256
-0.134,0.121,-1.018,15.869,125.977,11.841,6.653,9.904
-0.29,0.152,-0.869,2.319,114.441,11.23,7.344,-0.611
-0.451,0.106,-0.75,-0.305,103.149,13.306,7.407,-11.912
-0.657,0.137,-0.698,-9.155,89.966,13.306,8.011,-24.398
-0.711,0.049,-0.54,-25.391,89.6,9.338,7.122,-36.096
-0.857,0.005,-0.503,-23.56,89.111,8.85,4.639,-46.845
-0.909,-0.021,-0.369,-36.133,94.666,1.404,2.568,-55.966
-0.949,-0.011,-0.246,-28.748,91.37,-1.221,0.323,-64.173
-0.94,0.019,-0.033,-14.771,80.933,-4.517,-0.128,-72.512
-0.942,-0.034,0.128,11.902,57.8,0,-0.709,-82.045
-0.952,-0.041,0.168,1.465,34.973,0.61,-1.004,-88.966
-0.958,-0.02,0.167,0.488,19.653,0.183,-1.133,-83.433
-0.922,-0.003,0.163,-2.625,4.15,-5.798,-1.453,-80.464
-1.002,0.016,0.126,-4.578,-8.057,-4.517,-0.702,-80.725
-1.045,0.028,0.084,-0.061,-4.761,5.371,0.298,-82.162
-1.006,-0.016,0.086,-3.906,-4.211,5.859,0.357,-83.397
-0.98,-0.065,0.097,6.592,-9.216,3.235,-0.521,-84.412
-1.004,0.004,0.094,1.648,-9.766,4.761,-0.691,-84.842
-1.006,-0.049,0.061,10.071,-7.935,7.568,-1.792,-84.846
-0.972,-0.037,0.099,7.202,-15.076,0.671,-2.112,-84.518
-0.938,-0.014,0.126,18.616,-46.265,-1.892,-1.401,-84.279
-0.931,-0.044,0.002,16.052,-91.797,-2.38,-2.135,-85.209
-0.82,-0.013,-0.131,18.127,-99.304,-4.456,-1.692,-87.731
-0.735,-0.03,-0.36,25.94,-128.662,-15.137,-1.682,-83.726
-0.587,0.072,-0.531,8.179,-146.851,-19.165,-0.257,-71.64
-0.423,0.074,-0.788,8.606,-153.87,-13.55,1.891,-54.747
-0.26,0.05,-1.026,-4.883,-148.071,-10.62,2.844,-36.49
-0.022,0.065,-1.145,10.925,-150.635,-11.353,4.021,-20.259
0.234,-0.009,-1.249,7.69,-144.592,-18.555,2.436,-6.383
0.34,0.064,-1.293,-12.512,-115.356,-9.644,2.058,3.546
0.454,0.123,-1.166,14.954,-98.328,-11.414,2.798,11.697
0.604,0.105,-0.961,23.376,-92.224,-6.714,3.273,19.234
0.689,0.165,-0.822,14.465,-91.919,-10.681,5.52,26.075
0.756,0.13,-0.748,0.549,-56.824,-2.014,6.687,33.845
0.769,0.102,-0.742,-4.639,-51.697,-2.258,6.639,40.402
0.835,0.158,-0.58,4.761,-35.217,1.16,7.533,45.998
0.853,0.115,-0.543,-17.883,-26.672,6.531,6.967,50.364
0.842,0.067,-0.507,-10.803,-22.461,2.747,6.215,53.818
0.835,0.126,-0.426,-3.235,-14.404,0.793,6.74,57.936
0.9,0.062,-0.454,-10.315,-7.446,3.418,5.366,60.198
0.923,-0.052,-0.528,2.38,-2.014,3.723,2.909,61.183
0.893,0.071,-0.455,1.953,1.343,-1.526,2.957,62.181
0.907,0.074,-0.416,1.709,3.845,-2.014,2.189,62.841
0.918,0.065,-0.416,-13.306,-1.587,2.075,2.225,63.425
0.893,0.038,-0.433,1.709,2.258,-0.488,3.543,64.307
0.921,0.076,-0.407,2.747,-0.488,-0.916,3.61,65.082
0.913,0.067,-0.445,1.465,-2.808,1.038,3.494,64.769
,,,,,,,
,,,,,,,
0.774,0.219,-0.821,0.366,62.195,1.953,5.598,58.534
0.72,0.145,-0.88,-12.512,84.778,4.15,6.902,51.99
0.674,0.101,-0.966,-1.099,107.178,5.615,6.925,44.319
0.56,0.103,-1.03,-4.578,119.812,3.662,7.048,36.111
0.4,0.046,-1.072,-2.441,125.488,-0.061,4.91,30.679
