aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.005,1.006,-0.061,-2.197,-8.545,1.953,86.507,0.305
0.01,0.99,-0.052,3.723,10.62,0.122,86.716,0.451
0.022,0.966,-0.055,5.737,0.916,1.038,86.666,0.721
0.023,0.984,-0.057,1.221,0.488,0.671,86.62,0.876
0.029,0.961,-0.064,-2.747,3.418,-0.977,86.437,1.228
0.04,0.985,0.028,-2.38,-32.349,2.075,87.269,1.664
0.045,0.942,-0.009,7.568,-60.364,2.502,87.485,2.024
0.054,0.918,-0.039,-3.54,-63.293,7.751,87.185,2.517
0.056,0.975,-0.104,0.366,-69.641,-0.366,86.547,2.917
0.063,1.011,-0.051,-14.771,-69.702,7.812,85.576,3.242
0.088,0.952,-0.141,-11.597,-69.092,10.925,83.717,3.858
0.036,0.912,-0.177,2.991,-72.815,12.695,82.145,3.593
0.054,1.013,-0.191,0.244,-59.021,9.766,81.097,3.513
0.014,0.964,-0.257,-7.202,-23.621,4.211,78.391,2.808
0.013,0.953,-0.19,4.272,-2.869,1.282,77.915,1.713
0.018,0.964,-0.134,-1.099,0.061,0.549,78.71,1.432
0.018,0.965,-0.127,0.671,0.244,0.854,79.532,0.939
0.019,0.968,-0.13,-1.221,-0.122,0.732,81.353,1.015
0.019,0.971,-0.13,0.671,0.488,0.854,82.245,1.096
0.017,0.968,-0.126,2.197,0.427,0.854,82.367,1.081
0.018,0.966,-0.124,1.038,0.366,0.732,82.419,1.069
0.018,0.969,-0.125,0.488,0.427,0.671,82.503,1.047
0.019,0.969,-0.123,0.916,0.732,0.854,82.594,1.041
0.012,0.972,-0.129,4.822,1.16,1.465,82.56,0.972
0,0.971,-0.196,2.502,19.836,-1.953,81.558,0.706
0.013,1.003,-0.147,13.55,46.997,-5.188,81.32,0.638
0.049,0.943,-0.118,19.958,62.683,-3.723,81.293,1.085
0.063,1.003,-0.028,2.686,75.806,-2.38,82.649,1.818
0.076,0.953,-0.037,1.404,64.636,-1.892,84.337,2.943
0.061,0.999,-0.037,-0.366,64.148,-1.77,85.122,3.654
0.063,0.968,-0.044,0.61,60.913,-1.953,85.609,3.841
0.052,0.991,-0.036,1.16,53.528,-1.465,85.679,3.689
0.077,0.943,-0.047,-3.723,41.504,-0.854,85.569,3.715
0.025,0.989,-0.064,0.305,35.339,-0.366,85.735,3.195
0.05,0.98,0.079,7.751,18.982,-0.488,86.847,2.988
0.013,1.001,-0.08,1.953,1.038,1.709,87.08,2.414
0.02,1.001,-0.108,-12.207,-4.272,1.465,87.06,1.56
,,,,,,,
0.024,1.069,-0.087,-2.38,-6.531,2.38,86.849,1.508
0.012,1.004,-0.083,5.371,6.836,2.136,84.885,0.962
0.022,0.967,-0.069,1.648,0.793,0.916,84.966,1.097
0.02,0.963,-0.072,-3.784,3.601,-0.61,85.416,1.102
0.162,0.996,0.092,16.479,-17.395,3.845,86.329,3.13
0.052,0.923,-0.043,-4.456,-42.053,3.174,85.974,3.789
0.066,1.026,-0.021,5.127,-60.608,5.493,85.586,4.367
0.079,0.965,-0.021,5.005,-71.472,5.31,84.767,5.232
0.077,0.963,-0.026,3.54,-89.111,6.165,85.645,4.029
0.102,1.05,-0.116,-21.912,-91.187,9.949,84.677,4.617
0.056,0.961,-0.154,-9.827,-73.792,10.193,83.522,4.548
0.062,1.001,-0.139,-1.892,-62.439,9.827,82.445,4.249
0.02,0.969,-0.236,-3.357,-39.856,6.775,80.191,3.414
-0.001,0.953,-0.226,-2.625,-6.042,1.16,78.837,1.989
0.018,0.969,-0.135,-5.005,-0.671,0.244,79.203,1.435
0.019,0.97,-0.133,1.221,0.549,0.854,79.262,0.817
0.017,0.968,-0.13,1.953,0.488,0.854,80.774,0.771
0.016,0.963,-0.127,2.686,0.671,0.916,82.186,1.017
