aX,aY,aZ,gX,gY,gZ,Roll,Pitch

0.006,0.860,0.430,-23.376,-5.432,-2.197,63.456,0.342
0.028,0.927,0.421,-17.822,-6.653,-0.732,64.529,0.989
0.054,0.831,0.528,21.240,-26.489,-10.864,62.179,1.701
0.022,0.791,0.480,-12.817,-41.870,-23.987,61.358,1.628
0.022,0.908,0.417,-19.043,-49.622,-22.949,61.838,1.850
0.039,0.805,0.374,22.522,-55.847,-28.015,61.591,2.066
0.020,0.902,0.391,2.380,-55.481,-30.029,63.950,1.550
0.029,0.888,0.406,-3.845,-54.260,-30.090,65.567,1.627
0.030,0.920,0.423,-19.287,-51.392,-23.804,65.555,1.745
0.038,0.819,0.397,3.540,-56.335,-29.724,65.328,1.727
0.046,0.923,0.397,-14.160,-57.678,-22.095,65.352,2.101
0.045,0.858,0.323,-0.793,-57.251,-32.471,66.270,2.367
0.051,0.853,0.353,8.850,-59.814,-25.696,66.796,2.736
0.089,1.116,0.340,-22.705,-57.678,-24.780,69.111,3.293
0.048,0.899,0.285,-12.512,-56.152,-24.597,70.473,3.379
0.039,0.925,0.235,-18.127,-54.443,-17.090,71.964,3.268
0.037,0.914,0.171,-15.076,-51.453,-15.259,74.715,3.067
0.014,0.955,0.228,-9.766,-45.044,-12.573,75.873,2.087
0.009,0.974,0.168,-20.813,-35.645,-7.874,77.902,1.485
-0.019,0.971,0.082,-14.038,-21.667,-3.601,80.332,0.611
-0.006,0.969,0.129,-4.089,-12.146,-2.563,81.090,-0.029
-0.021,0.998,0.104,1.099,-0.793,0.610,82.949,-0.541
-0.005,0.957,0.186,22.644,2.136,-1.160,82.636,-0.748
-0.002,0.941,0.219,12.817,1.343,-0.732,80.621,-0.495
-0.004,0.934,0.226,3.601,-0.183,-0.061,79.127,-0.464
-0.002,0.946,0.218,-0.610,-0.366,-0.977,77.329,-0.181
-0.000,0.950,0.217,2.686,0.183,-0.549,76.865,-0.117
0.000,0.950,0.215,2.563,0.122,-0.610,76.954,-0.083
-0.002,0.954,0.216,7.324,0.916,0.488,77.173,-0.059
0.001,0.938,0.193,13.306,10.132,3.235,77.498,-0.020
-0.002,0.946,0.236,3.723,23.804,7.874,77.212,-0.036
-0.026,0.972,0.166,4.822,29.297,10.315,77.979,-0.427
0.005,0.955,0.217,28.015,33.875,11.414,77.970,-0.323
0.014,0.937,0.303,37.415,44.800,16.418,76.405,-0.130
0.018,0.948,0.307,21.362,52.979,22.766,75.401,0.158
0.031,0.844,0.295,22.400,61.890,31.799,73.037,1.015
0.029,0.858,0.314,18.799,70.313,39.307,71.177,1.397
0.043,0.847,0.381,6.775,76.111,44.678,69.562,1.866
0.068,0.813,0.405,8.972,76.111,46.082,67.302,2.703
0.056,0.882,0.412,5.798,74.524,44.312,65.840,3.028
0.049,0.922,0.403,0.000,75.073,41.504,64.997,3.259
0.029,0.914,0.458,-2.686,74.097,39.673,64.432,2.973
0.000,0.809,0.464,-9.644,63.538,38.940,63.729,1.966
0.010,0.824,0.466,1.709,57.495,30.823,62.679,1.297
0.077,0.859,0.574,15.503,44.189,22.888,60.018,1.697
0.022,0.793,0.514,-11.230,28.259,17.395,58.403,1.622
-0.011,0.838,0.532,25.085,11.292,1.648,57.785,1.427
-0.033,0.839,0.444,-15.991,-0.610,-1.526,58.192,0.796
-0.024,0.872,0.454,-28.015,-4.944,-7.812,59.817,-0.698
-0.010,0.895,0.429,9.399,-4.517,-4.822,61.631,-1.158
-0.022,0.839,0.399,-14.832,-4.150,-1.892,63.361,-1.338
0.005,0.912,0.379,-9.888,-2.502,-0.366,64.723,-0.766
-0.007,0.887,0.373,-10.254,-3.174,-1.465,65.894,-0.511
-0.022,0.870,0.365,-11.597,-7.019,-1.099,66.605,-0.699


0.014,0.878,0.447,-4.700,-3.418,-1.648,66.197,-0.152
0.023,0.884,0.463,-5.310,-7.019,-3.540,64.899,0.126
0.045,0.838,0.535,-7.141,-20.996,-9.949,62.438,0.881
0.031,0.744,0.482,1.465,-43.091,-25.513,60.007,1.679
0.058,0.910,0.444,-9.338,-56.824,-28.137,60.239,2.312
0.010,0.838,0.342,11.902,-62.927,-33.630,61.487,2.171
0.005,0.980,0.324,-12.878,-61.523,-34.424,65.318,1.554
0.031,0.848,0.368,6.775,-57.617,-29.419,67.490,1.532
0.036,0.900,0.425,-3.723,-54.810,-26.306,67.714,1.212
0.047,0.927,0.362,-6.531,-54.321,-28.015,67.904,1.715
0.041,0.920,0.332,-6.958,-54.077,-26.489,67.423,2.267
0.036,0.884,0.377,-6.165,-51.880,-23.437,67.495,2.332
