aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.04,0.981,0.053,13.306,-5.432,1.343,86.13,2.312
0.092,1.028,0.131,-7.935,4.7,1.77,83.574,3.728
-0.033,1.198,-0.035,3.601,-1.831,-5.31,86.799,1.764
-0.06,0.96,0.056,6.47,-7.08,4.028,87.118,0.54
0.04,0.97,0.095,12.878,4.761,5.798,86.547,0.549
0.001,1.019,0.074,4.822,-3.723,0.671,87.271,-0.696
-0.047,0.968,-0.032,2.136,-6.042,5.859,87.021,-0.944
-0.022,0.995,0.093,3.662,-3.174,5.676,86.651,-0.394
-0.016,0.97,0.134,9.338,0.305,-6.958,85.919,-1.208
0.011,0.954,0.148,4.639,3.54,-1.892,84.848,-1.079
-0.004,0.985,0.137,3.784,4.211,-3.296,82.51,-0.453
-0.377,0.969,0.307,4.456,33.02,-14.709,78.019,-5.583
-0.087,1.044,0.337,2.563,17.273,-12.756,75.311,-6.42
0.275,0.869,-0.001,8.606,-13.611,-16.968,78.241,-2.813
0.271,0.927,0.23,0.732,-1.831,-0.977,77.022,1.188
0.136,1.01,0.256,5.493,3.052,3.235,75.23,8.582
0.224,0.898,0.235,6.47,7.568,0.977,72.646,13.497
0.052,0.947,0.156,15.259,-1.892,-7.324,73.607,9.987
0.279,0.864,0.251,7.568,-8.789,-3.113,73.038,10.251
0.162,0.996,0.295,-15.869,-2.93,-2.808,72.317,10.642
0.204,0.919,0.254,10.315,6.226,0.488,72.372,10.276
0.148,0.835,0.302,8.545,1.099,-0.854,69.407,11.848
0.157,0.909,0.258,-2.075,0.977,-1.282,70.492,9.952
0.146,0.95,0.277,18.494,0.977,1.099,70.608,9.832
0.149,0.96,0.261,-5.188,2.686,0.366,71.102,8.92
0.144,0.898,0.276,0.366,1.16,0.61,71.751,8.743
0.151,0.94,0.268,-3.479,2.014,0.061,71.803,8.586
0.172,0.927,0.271,5.92,1.099,4.211,71.595,9.018
0.166,0.933,0.286,-7.629,6.409,3.662,71.052,9.309
0.174,0.937,0.24,-7.324,1.404,0.305,71.437,9.676
0.152,0.921,0.252,-1.221,3.235,-1.099,71.537,9.745
0.124,0.945,0.217,2.808,4.761,-0.793,72.608,9.039
0.251,0.944,0.224,7.69,7.141,-0.671,72.695,10.283
0.142,0.877,0.199,-3.906,-0.244,1.16,73.175,9.994
0.183,0.946,0.275,2.563,4.822,-0.854,72.765,10.364
0.143,0.918,0.26,0.305,10.315,3.601,71.996,10.685
0.187,0.952,0.214,-3.845,6.653,4.7,72.673,9.742
0.186,1.031,0.131,-23.804,-15.381,10.986,73.72,10.038
0.192,0.953,0.23,20.325,16.052,0.488,74.133,10.181
-0.007,0.909,0.29,-1.526,-3.296,8.85,74.999,8.065
-0.006,1.141,-0.062,-60.974,20.691,-7.141,80.248,5.116
0.076,0.964,0.061,23.987,-4.211,-0.732,81.695,3.653
0.072,1.071,0.115,-6.897,3.662,-0.61,84.048,1.887
0.06,0.922,0.124,7.568,-1.038,1.221,85.65,2.821
0.054,0.945,0.205,23.621,-9.277,2.991,81.719,3.817
0.032,0.976,0.207,6.409,-1.709,3.174,80.071,3.15
0.064,0.965,0.201,2.563,3.906,1.038,78.636,3.106
0.032,0.977,0.227,4.15,2.258,6.348,77.465,2.645
-0.02,0.902,0.242,2.319,-0.366,5.676,76.98,1.585
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.038,0.984,0.065,-0.61,0.183,0.854,85.637,2.19
0.173,1.037,0.061,10.803,24.719,7.629,83.057,5.954
0.101,0.971,0.103,14.465,8.667,3.113,82.626,5.932
0.003,1.012,0.113,10.254,-3.113,4.456,83.377,4.478
0.03,0.952,0.147,0.366,-6.104,5.066,82.49,4.392
-0.008,0.953,0.175,-0.305,2.197,-2.136,81.912,1.835
0.045,0.971,0.124,2.441,0.916,-7.202,81.757,1.022
0.055,0.965,0.151,2.014,-0.671,-3.967,80.979,1.806
-0.102,0.972,0.175,-12.268,25.513,-16.052,80.802,-0.129
0.294,0.963,0.095,14.221,12.817,-3.357,80.917,4.279
0.154,0.971,0.185,9.644,7.874,-0.061,79.362,5.85
0.104,0.926,0.108,4.761,10.986,-0.793,79.344,6.628
0.075,1.036,0.094,4.517,17.273,3.052,78.518,9.075
0.252,1.019,0.162,7.812,8.972,1.831,78.519,8.344
0.4,1.08,0.151,-14.465,-5.371,0.671,76.46,11.479
0.222,0.954,0.131,8.85,5.859,1.16,75.057,12.964
0.103,0.936,0.224,11.658,2.991,-1.221,73.473,13.582
0.237,0.951,0.173,8.118,-1.953,0.854,73.285,13.59
0.141,0.963,0.231,-1.526,4.395,1.099,74.781,10.271
0.14,0.944,0.221,-0.061,1.709,0.061,74.5,9.072
0.137,0.945,0.224,2.258,1.404,-0.061,74.253,9.532
0.147,0.943,0.209,-2.441,1.526,0.671,74.53,8.24
0.14,0.944,0.207,3.235,2.014,0.977,74.754,8.273
0.211,0.923,0.221,-5.371,-2.991,0.488,74.1,9.349
0.22,0.928,0.164,4.211,6.165,0.793,73.948,10.637
0.152,0.933,0.203,5.798,9.521,3.052,73.924,10.741
0.161,0.942,0.193,8.606,13.977,-1.404,73.851,11.07
0.082,0.979,0.213,2.38,0.732,1.953,75.353,9.068
0.087,0.965,0.237,1.709,-0.122,-1.099,75.689,7.039
0.131,0.906,0.206,1.282,-10.559,13.123,75.701,6.785
0.024,0.972,0.203,-0.305,-4.822,1.16,76.493,4.736
-0.096,0.891,0.174,-1.526,-17.151,-7.568,77.425,2.192
-0.045,0.952,0.106,-15.503,-10.62,1.77,79.503,0.214
0.097,0.957,0.162,0,3.418,5.127,80.275,-0.298
0.097,0.948,0.124,-1.038,1.892,3.601,81.352,0.804
0.081,0.983,0.128,4.7,-0.671,-0.793,81.562,3.402
0.095,0.954,0.113,-7.751,-0.488,-1.587,80.467,5.459
0.176,0.953,0.114,-1.526,-8.423,4.883,80.277,6.633
0.031,0.993,0.11,0.549,-5.127,2.686,81.165,5.61
0.095,0.977,0.115,-0.793,7.812,1.465,81.17,5.818
0.053,0.992,0.087,-0.671,1.221,2.014,81.939,5.152
0.008,0.966,0.106,19.592,-2.441,2.563,83.359,2.703
0.034,0.913,0.188,26.55,1.16,-1.099,82.157,2.791
0.044,1.018,0.137,-6.897,3.906,2.014,82.15,2.022
0.127,0.686,0.211,10.01,3.845,-1.16,79.308,3.353
0.051,1.002,0.082,-4.395,8.179,2.991,79.523,3.989
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.056,0.855,0.059,-1.282,-7.996,-12.207,81.018,4.429
0.112,1.063,0.149,17.944,4.761,12.085,80.416,5.433
0.102,1.078,0.16,-1.465,1.282,6.958,82.136,4.556
0.05,0.99,0.127,-2.93,2.319,2.93,81.592,4.559
0.054,1.001,0.11,12.146,1.892,-1.404,81.308,4.36
0.07,0.94,0.141,1.221,2.869,-2.869,81.423,3.901
0.14,0.906,0.112,7.202,0.549,-1.709,81.37,4.647
-0.176,1.055,0.242,22.4,19.714,-3.174,81.101,1.275
0.038,0.927,0.201,19.775,20.874,-4.333,79.646,1.066
0.171,0.945,0.266,5.676,18.982,-1.648,77.663,2.53
0.269,0.88,0.295,26.001,12.268,-5.066,74.615,4.382
0.264,1.015,0.25,6.592,-5.92,-1.343,71.586,10.771
0.19,0.978,0.298,-3.296,-5.737,-7.751,69.559,12.667
0.196,0.88,0.225,5.92,-10.193,-3.601,69.438,13.251
0.32,0.945,0.322,6.348,-4.15,6.104,69.043,13.73
0.271,0.956,0.324,12.146,1.587,-2.136,67.934,13.951
0.224,0.976,0.327,1.648,1.831,-2.38,67.348,14.387
0.228,0.866,0.298,10.559,3.662,-2.319,66.273,14.793
0.203,0.893,0.352,-4.272,1.648,-1.77,66.594,13.322
0.231,0.896,0.307,-1.831,1.343,-1.77,66.737,12.96
0.236,0.935,0.343,1.831,4.211,-4.7,66.226,13.253
0.292,0.879,0.348,1.648,3.235,-2.38,65.289,14.043
0.32,0.765,0.279,0.61,6.653,7.935,64.3,16.254
0.361,0.972,0.258,-20.447,4.944,15.076,64.115,17.843
0.292,0.863,0.281,-4.15,1.709,9.216,63.691,19.027
0.191,0.964,0.226,-10.986,-3.479,1.709,66.311,17.411
0.089,0.903,0.284,-10.376,-20.02,0.061,69.241,13.629
0.031,1.004,0.264,2.441,-10.803,-2.869,71.982,8.828
0.028,0.782,0.17,-4.639,-12.939,-1.892,74.65,5.125
0.093,0.923,0.254,-0.183,1.587,-2.319,74.506,3.675
0.169,1.014,0.152,7.202,-6.836,2.502,76.424,4.801
0.175,1.032,0.22,-2.197,2.136,3.418,76.194,6.912
0.135,0.951,0.193,11.841,-1.282,-0.244,75.703,8.128
0.159,0.961,0.198,11.963,3.723,3.418,75.895,9.001
0.147,1.049,0.245,3.54,3.052,5.615,75.205,8.583
0.158,0.975,0.194,-1.343,2.869,5.066,75.421,8.473
0.227,0.93,0.255,8.362,2.808,15.32,73.928,9.763
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.019,0.911,0.185,-2.563,5.371,-7.568,78.452,-1.151
0.168,1.136,0.045,13.977,6.409,-2.014,82.361,4.146
0.05,0.933,0.018,1.526,3.235,-3.418,83.894,3.816
0.052,0.979,0.04,-0.427,1.77,1.099,84.481,3.622
0.056,1.002,0.026,2.502,1.709,0.977,85.051,4.598
0.059,0.968,0.051,10.986,0.244,-3.235,86.237,3.191
0.059,1.02,0.114,15.32,5.066,-2.625,85.349,3.243
-0.085,1.01,0.197,31.555,14.343,-1.831,84.305,1.26
0.044,0.974,0.179,21.729,39.856,-4.639,82.157,1.099
0.152,0.904,0.175,19.165,17.09,-4.7,80.022,2.456
0.237,0.919,0.248,-3.174,12.329,0.916,77.092,5.121
0.146,0.823,0.145,-3.845,-1.892,1.038,75.364,8.906
0.199,0.954,0.255,0.793,-2.136,6.836,72.972,11.241
0.245,1,0.224,8.545,-6.409,-12.085,71.992,12.286
0.215,0.874,0.258,-11.047,-12.817,-3.418,71.898,12.096
0.257,0.98,0.302,24.231,-5.737,-7.08,70.015,13.069
0.187,0.957,0.226,-1.526,2.136,3.418,70.428,12.909
0.187,0.927,0.26,6.531,-0.854,-1.465,70.208,12.298
0.197,0.831,0.302,9.705,0.793,-2.686,69.667,12.133
0.201,0.909,0.281,2.014,0.916,0.854,69.994,11.548
0.206,0.919,0.271,1.404,0.305,0.671,69.128,11.898
0.21,0.949,0.25,5.432,1.709,-1.038,69.173,12.179
0.232,0.969,0.245,-5.066,1.343,-0.244,70.201,12.318
0.259,0.935,0.24,-6.653,2.686,-1.648,70.238,13.09
0.347,0.904,0.234,-13.062,9.216,3.662,69.183,15.135
0.281,0.967,0.172,-13.123,9.46,12.878,69.235,16.101
0.199,0.947,0.168,5.432,2.747,7.568,70.109,15.793
0.194,0.938,0.141,11.902,-13.306,-1.526,71.636,14.95
0.029,1.081,0.156,10.193,-11.536,1.099,76.436,9.996
-0.014,0.907,0.197,-4.883,-9.033,-4.761,78.636,5.928
0.039,0.969,0.204,-14.404,-0.977,2.38,79.218,3.588
0.08,0.999,0.202,-23.376,-11.78,2.441,78.963,1.904
0.165,0.914,0.118,5.554,0.183,0.366,78.502,4.007
0.142,1.004,0.151,1.953,-2.991,0.854,78.394,6.159
0.133,0.947,0.181,0.671,-0.244,-0.122,77.831,7.55
0.133,0.967,0.193,4.089,3.662,-0.183,77.343,8.386
0.138,0.789,0.085,9.766,0.427,2.075,77.562,8.258
0.14,0.958,0.114,0.305,3.296,-5.92,77.83,8.338
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.14,0.95,0.144,1.16,-1.526,-0.549,78.15,8.456
0.134,1.019,0.165,0.671,1.465,2.686,78.579,8.365
-0.057,0.805,0.091,16.052,-4.333,5.127,80.466,5.412
0.113,0.925,0.154,5.066,1.587,-0.244,80.097,5.048
0.098,0.973,0.159,2.38,3.906,-1.892,80.268,4.374
0.097,1.026,0.13,6.104,5.859,-1.16,81.008,3.806
0.008,0.957,0.232,4.395,8.728,1.099,79.13,4.582
0.007,0.998,0.197,9.644,14.648,1.099,79.288,2.989
0.102,0.986,0.208,10.742,15.808,-4.028,78.65,3.033
0.161,0.901,0.214,23.437,14.404,-3.052,76.875,4.049
0.248,0.932,0.158,7.935,-0.916,1.892,76.244,7.576
0.163,1.006,0.226,-5.859,-8.24,6.165,74.631,9.783
0.131,0.922,0.198,4.761,-4.7,-6.165,74.215,10.368
0.303,1.052,0.205,7.019,-8.911,2.014,73.539,11.968
0.205,0.931,0.189,-1.587,-0.854,-1.831,73.654,11.364
0.121,0.951,0.219,6.47,3.723,-1.16,73.906,10.927
0.144,0.935,0.223,6.531,2.441,-1.282,73.596,11.052
0.152,0.975,0.218,1.404,1.526,-0.793,74.479,9.09
0.152,0.937,0.232,1.038,1.587,0.244,74.427,8.3
0.153,0.949,0.202,0.427,-0.061,1.221,74.363,8.778
0.135,0.965,0.216,2.258,2.014,0.244,74.634,8.583
0.186,0.892,0.206,8.85,3.357,-0.793,74.176,9.266
0.223,0.926,0.229,5.493,2.014,-4.883,73.55,10.326
0.345,0.886,0.278,19.836,6.47,2.075,70.691,13.219
0.276,0.828,0.166,13.672,1.831,5.31,69.025,15.813
0.132,0.925,0.268,-3.845,12.573,2.625,69.178,14.83
0.077,0.979,0.205,1.099,8.911,1.16,71.126,12.54
0.17,0.977,0.265,-1.221,0.977,2.93,73.249,9.732
0.123,0.868,0.183,-18.311,-10.437,4.578,74.369,7.404
0.032,0.985,0.192,-8.972,-10.01,-1.038,76.211,5.878
0.118,0.924,0.127,-17.395,0.366,0.549,76.736,6.586
-0.018,1.064,0.182,-2.563,-8.057,-0.61,79.241,3.738
0.157,0.922,0.094,-3.479,-4.272,1.892,80.366,4.186
0.099,0.948,0.154,5.005,-1.16,1.465,80.266,5.217
0.113,0.977,0.147,4.089,-0.916,0.916,80.195,5.071
0.125,0.942,0.146,-3.052,0.732,1.831,79.051,7.358
0.114,0.957,0.144,-0.977,-2.014,-2.197,78.992,6.658
0.079,1.034,0.142,-15.625,-2.319,9.644,79.538,6.238
-0.105,1.131,0.109,11.23,0.366,-4.761,81.859,2.995
0.057,0.948,0.091,-6.836,0.854,-9.033,82.901,2.039
0.086,1.073,0.045,5.92,-2.869,-0.671,84.482,1.599
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.12,0.974,0.146,-12.085,2.686,-0.061,84.163,2.176
0.166,1.083,0.276,29.236,-0.977,4.761,80.209,5.938
0.108,0.788,0.18,0.122,-1.892,-0.122,78.387,6.878
0.144,0.921,0.154,1.953,1.465,0.977,76.156,7.972
0.105,1.052,0.185,3.906,1.404,2.625,76.094,7.589
-0.021,1.03,0.192,8.423,6.958,3.54,78.281,4.977
-0.04,0.817,0.188,8.484,12.817,0.183,78.989,2.769
0.032,1.009,0.24,39.368,32.532,-6.592,78.307,1.085
0.045,0.983,0.281,26.489,12.512,-2.319,76.786,0.234
0.221,0.982,0.196,-23.743,-19.165,4.211,76.06,3.785
0.421,0.908,0.265,5.127,-24.414,-13.367,72.59,10.184
0.232,0.855,0.337,11.963,-2.808,-7.202,69.184,13.33
0.312,0.851,0.274,5.676,3.357,1.343,66.034,17.548
0.166,0.971,0.253,-7.202,1.77,-1.16,65.97,16.757
0.196,0.903,0.279,7.202,2.197,-0.732,67.828,13.56
0.185,0.988,0.244,1.953,0.488,-0.488,69.928,12.553
0.226,0.871,0.306,11.841,0.916,-2.38,70.395,11.245
0.195,0.928,0.292,-0.671,-0.244,-2.136,69.524,11.744
0.191,0.974,0.292,9.827,6.348,-1.526,69.781,11.469
0.248,0.887,0.292,3.723,1.953,-3.54,68.231,12.61
0.301,0.903,0.306,10.315,2.319,-3.052,67.79,13.576
0.337,0.88,0.327,-3.723,8.911,11.78,65.958,15.679
0.253,0.947,0.226,-4.822,2.991,4.578,65.877,16.718
0.206,1.014,0.261,-10.315,-1.953,5.31,67.282,15.685
0.186,0.899,0.243,9.827,2.625,1.465,68.911,14.177
0.056,1.07,0.243,-16.113,-23.682,6.104,73.039,9.823
-0.009,1.124,0.216,5.798,-1.465,-1.343,75.56,5.944
0.036,0.947,0.206,-5.92,-2.136,1.404,76.825,3.719
0.171,0.913,0.145,7.324,0.793,-0.61,78.187,3.515
0.159,0.941,0.177,13,5.127,2.258,78.137,5.106
0.136,0.98,0.192,-4.639,4.333,4.089,76.945,7.423
0.156,0.761,0.278,4.639,-4.089,14.099,74.354,9.586
0.111,0.927,0.094,-4.15,7.263,0.427,75.552,8.676
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.159,0.93,0.231,3.601,-1.16,-10.864,74.863,8.665
0.142,1.105,0.18,17.7,-1.038,10.376,75.427,8.495
0.178,0.977,0.169,-5.31,1.099,4.883,77.182,8.4
0.154,0.949,0.168,0.122,-0.427,2.93,76.098,8.928
0.15,0.965,0.167,0.488,1.404,0.488,76.958,8.75
0.133,0.938,0.207,5.371,2.075,-0.305,76.216,8.968
0.137,0.892,0.154,7.202,1.526,-1.282,76.467,8.565
0.145,0.93,0.183,4.7,1.16,-0.183,76.314,8.463
0.187,0.936,0.183,-1.343,-2.563,5.798,75.685,9.073
0.12,0.99,0.143,-8.85,4.272,3.479,76.691,8.792
-0.02,1.055,0.157,22.644,13.794,7.141,78.527,6.218
-0.036,0.998,0.302,28.32,35.583,-4.15,78.297,3.544
0.125,0.964,0.335,-1.831,13.184,-0.183,76.576,2.637
0.221,0.991,0.231,14.038,-1.526,-10.315,75.108,4.02
0.276,0.84,0.218,13.245,-14.282,-7.263,71.963,8.457
0.166,1.025,0.244,-16.846,-21.973,-6.165,71.259,11.272
0.345,0.931,0.282,17.761,-6.592,-18.005,69.668,14.46
0.332,0.804,0.32,6.775,2.319,-2.319,66.786,16.595
0.201,0.962,0.351,-0.916,0.671,1.831,66.888,14.948
0.238,0.86,0.32,-12.634,-0.793,5.859,64.541,16.461
0.192,0.933,0.319,3.235,-0.061,-0.244,65.441,14.247
0.201,0.917,0.315,2.258,1.282,0.305,67.135,12.059
0.199,0.909,0.314,0.793,0.61,1.16,67.272,12.224
0.211,0.909,0.307,3.662,0.977,0.366,67.888,11.702
0.195,0.926,0.306,0.122,1.221,0.977,67.969,11.786
0.249,0.928,0.301,4.456,0.854,-1.465,67.825,12.441
0.277,0.9,0.323,2.319,1.282,0.183,67.072,13.545
0.312,0.886,0.273,-4.333,2.136,7.69,66.462,15.075
0.148,0.977,0.251,-14.526,1.526,5.432,67.708,14.306
0.161,0.911,0.244,-1.16,-0.427,-1.648,68.971,13.18
0.18,0.929,0.286,-2.747,-7.141,-0.671,70.331,11.753
0.153,0.917,0.246,2.991,3.723,4.578,72.027,9.417
0.132,0.929,0.221,18.311,4.272,1.526,72.294,9.308
0.081,0.931,0.28,-6.104,1.221,-2.991,72.506,8.074
0.008,0.856,0.234,-16.418,-13.123,-5.249,73.895,5.666
0.208,0.935,0.295,5.371,-0.427,0.061,73.025,6.444
0.168,1.015,0.214,15.503,7.69,-6.104,73.282,6.841
0.176,0.904,0.219,4.272,-1.465,4.883,73.31,8.315
0.176,0.873,0.264,10.01,-0.061,-0.793,71.73,10.7
0.194,0.938,0.279,2.258,5.432,2.808,72.029,10.498
0.243,0.941,0.252,3.174,3.174,6.287,70.621,11.756
0.172,1.098,0.211,-1.709,0.61,5.92,71.643,11.172
0.187,1.015,0.203,-0.854,0.854,-0.671,72.792,10.987
0.17,0.86,0.202,8.85,0.244,1.099,73.46,10.907
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.167,0.919,0.246,-3.601,-2.319,-3.967,74.11,9.902
0.194,1.06,0.221,33.752,2.197,9.033,73.674,10.289
0.156,1.067,0.237,-6.104,3.418,2.869,73.77,9.721
0.171,0.95,0.215,-1.77,2.197,2.136,73.979,9.519
0.148,0.925,0.201,2.563,-0.305,1.343,74.629,9.273
0.135,0.957,0.206,-3.174,-1.404,2.197,74.882,8.688
0.145,0.93,0.195,1.16,3.479,0.366,74.932,8.84
0.113,0.944,0.235,8.789,8.85,-0.977,75.14,8.001
0.003,0.98,0.203,9.033,18.25,1.221,76.307,5.799
0.08,0.979,0.339,1.099,14.343,-0.671,74.945,4.928
0.065,0.892,0.274,16.724,7.874,3.54,74.062,3.79
0.133,0.875,0.258,3.357,4.089,1.709,73.394,4.147
0.245,1.033,0.196,-9.949,-5.859,1.587,72.542,7.584
0.298,0.795,0.282,-4.639,-13.733,-3.052,70.788,11.23
0.261,0.909,0.316,6.348,-8.911,-9.766,68.696,13.998
0.231,0.854,0.287,-11.047,-9.216,-17.151,67.38,15.439
0.309,0.867,0.286,24.597,4.211,0,64.885,16.897
0.214,0.926,0.314,-7.08,2.136,0.244,66.13,15.138
0.225,0.88,0.325,-1.953,0.549,1.282,66.168,14.714
0.232,0.905,0.315,9.583,1.343,-1.038,66.175,14.509
0.228,0.881,0.333,2.869,0.732,0.183,66.404,13.252
0.231,0.888,0.333,0.854,0.916,0.488,65.832,13.597
0.23,0.892,0.332,2.625,1.526,0.305,65.789,13.617
0.227,0.893,0.323,1.526,0.977,-0.122,65.666,13.577
0.219,0.893,0.327,1.465,2.747,-0.183,65.861,13.427
0.278,0.883,0.324,2.502,2.563,-2.014,65.569,14.118
0.217,0.904,0.322,5.981,2.197,-2.197,65.858,13.908
0.346,0.884,0.323,18.433,9.094,3.723,64.838,15.617
0.343,1.024,0.288,-1.16,6.714,17.334,64.949,16.88
0.106,0.828,0.334,7.874,9.766,6.531,65.988,14.713
0.185,0.958,0.242,-35.95,-13.245,-1.404,67.378,14.172
0.114,1.035,0.282,-17.273,-10.376,-1.282,70.409,10.557
0.084,0.941,0.251,11.963,1.343,-1.465,72.152,7.103
0.079,0.936,0.263,1.587,3.296,-1.404,73.647,6.577
-0.054,0.941,0.277,1.526,-15.747,-5.554,74.122,3.197
0.169,0.996,0.248,3.479,-4.395,2.014,74.245,4.036
0.173,0.941,0.26,5.005,-1.526,0.061,73.755,5.313
0.158,0.941,0.25,-2.136,-1.404,-1.953,73.548,6.438
0.175,0.926,0.228,-0.732,-3.052,-1.038,72.549,9.757
0.146,1.171,0.282,-25.574,2.747,5.676,73.066,9.025
0.336,0.715,0.189,31.799,4.944,4.883,71.546,11.899
0.141,0.93,0.245,7.751,10.742,-2.93,71.705,11.691
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.147,0.968,0.169,-17.395,5.371,-2.136,72.769,11.215
0.38,1.291,0.358,23.499,-1.709,8.85,70.403,14.031
0.154,1.035,0.223,-3.479,3.723,-0.61,73.013,10.731
0.135,0.945,0.2,3.601,0,-0.122,73.537,10.654
0.137,0.934,0.204,0.549,2.258,0.183,73.158,10.578
0.131,0.962,0.183,0.366,4.456,-0.671,75.757,8.018
0.143,0.945,0.192,0.427,0.061,-1.221,75.896,8.046
0.136,0.977,0.188,-4.028,-3.052,-4.395,76.137,7.992
0.044,1.023,0.208,2.686,7.812,-1.282,77.096,6.502
0.024,0.928,0.235,30.701,20.935,3.052,77.012,4.994
0.071,0.925,0.236,15.625,2.93,5.493,76.708,3.978
0.207,1.047,0.302,3.54,6.409,3.54,75.14,4.887
0.231,1,0.272,-5.859,3.235,-6.104,73.257,7.519
0.3,0.902,0.259,-3.113,-6.47,-4.456,70.916,11.387
0.241,0.932,0.242,3.662,-3.723,0.916,69.467,13.666
0.194,0.91,0.244,8.484,-9.766,-15.076,69.464,13.988
0.304,0.866,0.287,6.592,-1.221,-7.874,67.916,15.476
0.258,0.888,0.262,-8.85,-1.038,0.549,68.208,14.933
0.245,0.885,0.308,5.798,2.136,-1.77,67.239,15.092
0.241,0.904,0.311,5.615,0.916,-0.916,66.1,15.708
0.254,0.902,0.302,1.526,1.404,1.282,66.6,14.847
