aX,aY,aZ,gX,gY,gZ,Roll,Pitch

-0.299,0.841,0.523,6.287,3.235,-5.310,54.374,-16.789
-0.294,0.758,0.564,13.062,4.456,-7.263,52.243,-17.041
-0.276,0.696,0.539,0.183,7.568,-6.104,51.220,-17.171
-0.230,0.801,0.604,8.972,15.442,-14.465,51.230,-16.070
-0.134,0.673,0.549,13.611,12.756,-10.437,50.178,-14.184
-0.073,0.714,0.596,7.629,8.606,-6.470,50.276,-10.974
-0.055,0.750,0.606,-2.258,4.211,-1.282,50.693,-7.454
-0.056,0.783,0.593,-2.625,3.723,-2.014,50.996,-4.858
-0.053,0.685,0.585,-0.671,4.272,0.916,50.791,-3.598
-0.044,0.719,0.604,4.272,3.235,1.831,50.776,-3.138
-0.038,0.711,0.623,3.845,0.549,2.014,50.210,-2.898
-0.044,0.734,0.640,1.038,-0.122,-2.075,49.196,-2.731
-0.064,0.752,0.639,1.404,1.648,-5.127,49.238,-2.826
-0.029,0.744,0.605,8.362,0.610,-7.874,49.479,-2.592
0.020,0.705,0.609,2.747,1.099,-10.864,49.627,-1.732
0.015,0.728,0.630,13.245,2.136,-15.503,49.703,-0.856
0.025,0.690,0.554,-15.076,-3.174,-12.695,50.080,0.479
0.016,0.895,0.694,-3.418,-0.549,-13.977,50.485,1.112
0.079,0.724,0.667,22.278,3.479,-23.987,49.987,1.944
0.169,0.719,0.637,10.559,-0.183,-33.569,49.692,4.170
0.193,0.680,0.572,-0.610,-0.122,-23.193,49.149,6.567
0.171,0.667,0.591,0.916,-0.183,-4.822,47.679,9.325
0.147,0.695,0.649,7.996,0.244,1.282,47.372,10.445
0.116,0.713,0.638,-2.380,-0.916,0.183,47.447,9.655
0.106,0.716,0.645,2.686,-0.977,0.122,47.238,8.170
0.123,0.689,0.629,3.357,-0.244,0.488,47.159,7.361
0.129,0.715,0.659,4.333,0.000,0.671,47.292,7.043
0.151,0.692,0.610,1.587,0.061,3.296,47.312,7.621
0.142,0.699,0.631,-2.197,0.427,10.620,47.208,8.215
0.167,0.694,0.622,4.028,0.916,20.142,47.224,8.878
0.164,0.677,0.630,-4.272,-1.160,24.292,47.052,9.514
0.155,0.687,0.634,0.549,1.831,18.982,46.730,9.549
0.122,0.695,0.626,-3.418,0.732,16.663,46.793,9.258
0.118,0.692,0.596,-13.184,-1.404,16.357,47.182,8.568
0.103,0.764,0.638,9.827,1.465,12.817,48.123,7.515
0.005,0.695,0.614,3.723,-0.671,13.123,48.712,5.282
-0.111,0.770,0.612,-2.258,-1.404,11.597,49.866,1.737
-0.145,0.744,0.500,-8.667,-5.127,11.292,51.453,-2.218
-0.162,0.766,0.554,3.540,-5.615,11.047,52.091,-6.283
-0.171,0.709,0.545,3.784,-3.723,4.944,52.567,-9.000
-0.158,0.769,0.583,0.122,-5.066,0.610,52.737,-9.762
-0.123,0.752,0.642,-4.517,-1.831,3.113,51.251,-9.209
-0.143,0.753,0.545,-4.395,-2.441,3.601,51.293,-8.957
-0.140,0.770,0.562,-0.916,-2.075,5.920,51.759,-8.359
-0.171,0.763,0.551,-4.272,-1.099,4.333,52.032,-8.599
-0.210,0.791,0.511,-2.380,-3.418,2.869,53.610,-9.988
-0.203,0.749,0.489,3.845,-5.981,7.446,53.983,-10.978
-0.235,0.777,0.536,5.310,-3.967,4.089,53.934,-12.420
-0.156,0.841,0.524,-0.854,1.343,0.793,54.983,-12.045
-0.122,0.692,0.423,0.244,-1.404,-0.977,55.546,-11.144
-0.169,0.776,0.537,-2.991,-1.465,0.122,55.355,-10.484
-0.149,0.766,0.534,-0.366,-2.563,-1.465,55.615,-9.208
-0.180,0.800,0.494,-8.728,-5.554,0.427,55.535,-9.697


-0.238,0.901,0.266,13.794,6.409,-10.132,58.678,-11.181
-0.256,0.927,0.297,6.958,7.507,-15.808,62.179,-12.389
-0.417,0.858,0.336,30.640,-2.197,0.732,63.092,-16.216
-0.363,0.873,0.409,2.686,18.433,-13.611,62.845,-18.581
-0.226,0.849,0.384,22.949,16.357,-25.085,61.496,-18.443
-0.091,0.827,0.396,21.240,9.277,-15.869,61.123,-16.388
-0.004,0.878,0.387,6.897,2.197,-14.099,63.369,-10.288
0.003,0.887,0.385,-2.991,-3.540,-5.798,65.279,-4.825
-0.003,0.895,0.428,1.831,-2.930,-4.883,65.375,-1.419
-0.021,0.887,0.443,3.845,0.488,-6.531,65.148,-0.369
-0.013,0.851,0.423,4.089,0.061,-8.118,64.504,-0.493
-0.017,0.886,0.439,5.676,0.000,-10.498,63.773,-0.781
0.007,0.837,0.448,10.254,0.977,-10.132,63.136,-0.651
0.012,0.842,0.445,10.437,-1.892,-11.047,62.819,-0.155
0.036,0.888,0.468,-4.395,-3.357,-16.602,62.470,0.571
0.098,0.886,0.458,-2.258,-3.113,-15.930,62.138,2.252
0.120,0.883,0.461,1.709,-3.052,-15.015,62.117,3.860
0.120,0.816,0.451,2.075,-3.418,-15.808,61.617,5.446
0.153,0.833,0.435,0.000,-6.226,-18.433,61.287,7.242
0.186,0.859,0.421,-2.380,-5.493,-15.625,61.236,8.608
0.191,0.813,0.403,7.141,-1.465,-7.935,61.138,9.874
0.154,0.841,0.426,0.061,-0.366,-3.235,61.464,10.351
0.146,0.827,0.401,2.136,-0.854,-2.625,61.883,10.302
0.150,0.845,0.433,-2.380,0.061,-2.380,61.815,9.789
0.156,0.831,0.438,4.456,0.671,-1.465,61.674,9.184
0.165,0.813,0.426,1.221,-0.549,0.000,61.423,9.406
0.173,0.845,0.424,4.028,1.160,4.211,61.145,9.742
0.188,0.818,0.408,-2.502,3.235,12.390,61.074,10.394
0.186,0.854,0.427,0.244,5.371,19.226,61.225,10.804
0.162,0.859,0.433,0.854,6.348,21.729,61.491,10.635
0.128,0.873,0.431,-0.977,4.150,18.250,61.827,9.894
0.109,0.872,0.418,-6.104,1.648,16.785,62.433,8.621
-0.006,1.013,0.380,0.732,2.686,15.198,64.734,5.626
0.075,0.933,0.406,-2.869,3.418,14.038,65.753,4.314
0.026,0.863,0.405,-1.587,1.282,11.597,66.235,2.900
-0.001,0.890,0.397,0.854,-1.465,9.521,66.732,1.331
-0.086,0.910,0.381,-12.024,-4.395,6.287,66.165,0.196
-0.091,0.946,0.339,0.061,-3.662,7.629,67.041,-2.219
-0.057,0.857,0.274,4.211,0.061,5.798,68.618,-3.487
-0.089,0.923,0.325,4.761,0.305,8.728,69.521,-4.782
-0.133,0.864,0.372,6.226,2.869,8.423,69.229,-5.530
-0.134,0.902,0.344,-2.502,-0.244,5.981,68.744,-6.232
-0.170,0.936,0.379,-5.371,-2.319,8.789,67.314,-7.694
-0.154,0.886,0.380,-8.545,-4.578,7.935,66.105,-8.651
-0.168,0.896,0.350,-3.479,-5.432,5.310,66.386,-9.114
-0.255,0.882,0.352,1.770,-3.174,5.371,65.491,-10.891
-0.230,0.890,0.326,-5.981,-1.099,4.761,65.451,-11.929
-0.166,0.917,0.293,-6.042,-4.150,5.981,66.551,-12.112
-0.198,0.946,0.330,-12.024,0.427,1.099,66.852,-12.406
-0.169,0.936,0.264,-3.235,9.338,2.136,68.770,-11.109
-0.158,0.913,0.307,2.258,4.761,4.578,69.610,-10.041
-0.118,0.941,0.293,-2.075,-0.488,0.549,70.046,-9.304
