aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.321,0.923,-0.073,-0.916,-0.916,-2.502,70.371,19.114
0.427,0.883,-0.028,11.292,2.563,-0.427,67.338,22.445
0.431,0.923,-0.021,8.789,-3.418,-2.38,66.541,23.326
0.419,0.879,0,-1.526,-3.174,-1.282,66.06,23.865
0.464,1.052,-0.042,2.197,-5.066,-7.019,65,24.963
0.325,0.845,-0.18,-33.63,13.794,21.606,65.867,23.854
0.357,0.95,-0.085,24.048,13.55,16.235,66.82,22.72
0.511,1.073,0,19.836,-2.563,-6.287,66.736,22.852
0.528,1.085,0.389,-4.395,-36.682,16.113,66.421,23.514
0.466,1.16,0.35,49.5,-84.229,27.344,65.186,23.324
0.269,0.867,0.313,45.532,-96.436,19.714,63.761,22.348
0.217,0.916,0.466,52.429,-101.746,-8.301,62.231,18.981
-0.019,0.62,0.497,46.692,-100.525,-6.775,62.233,13.407
-0.248,0.731,0.366,35.767,-108.826,-5.859,62.125,3.549
-0.47,0.504,0.375,54.443,-64.026,-10.498,57.252,-9.082
-0.518,0.656,0.4,18.86,-51.086,2.075,50.584,-22.713
-0.604,0.625,0.464,31.921,-47.913,8.057,45.859,-31.652
-0.734,0.491,0.359,20.996,-34.424,9.949,38.894,-39.902
-0.79,0.609,0.385,-15.564,-20.386,0.793,37.578,-42.627
-0.826,0.325,0.239,15.137,3.662,-4.333,31.95,-49.644
-0.78,0.496,0.317,5.432,1.465,-1.16,29.564,-53.447
-0.783,0.55,0.375,0.671,3.967,-4.272,29.93,-53.196
-0.766,0.498,0.345,13.611,3.784,-0.916,28.774,-54.344
-0.804,0.521,0.328,10.376,14.526,3.113,31.145,-51.678
-0.753,0.551,0.199,-9.583,34.302,24.536,32.349,-51.622
-0.674,0.386,0.294,-17.395,67.749,32.959,31.311,-52.765
-0.408,0.436,0.4,-54.81,98.999,42.053,33.081,-49.505
-0.228,0.676,0.666,-78.247,115.845,18.433,38.385,-38.715
-0.004,0.888,0.636,-52.124,80.566,6.897,44.946,-22.899
-0.008,0.953,0.793,-64.087,79.651,-20.813,48.875,-9.524
0.079,0.707,0.301,-35.095,64.758,-33.142,53.308,-2.296
0.293,0.865,0.188,-38.818,66.833,-32.532,60.226,5.257
0.407,1.014,0.255,-28.931,62.195,-20.447,64.084,11.293
0.454,0.916,0.203,6.897,7.751,0.183,66.054,18.772
0.411,0.914,0.076,-4.456,-2.319,7.08,65.077,22.496
0.305,0.547,0.003,-2.014,-19.043,2.686,63.836,24.671
0.325,0.771,-0.11,14.16,0.061,-4.944,64.438,25.382
0.371,0.924,0.058,10.071,7.507,2.747,65.884,24.111
0.365,0.894,0.093,13.916,6.531,0.305,66.451,23.536
0.335,1.107,0.084,-9.338,6.958,-9.949,69.236,20.677
0.227,0.845,-0.016,15.32,-1.526,-4.028,70.763,18.958
0.378,0.868,0.051,5.066,5.249,-4.639,70.416,19.321
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.309,0.913,0.063,-4.639,5.371,-2.258,71.317,18.481
0.455,1.037,0.121,8.24,-8.057,-4.211,69.257,20.471
0.372,0.919,0.078,-7.507,-3.113,0.977,67.517,21.993
