aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.571,0.483,-0.659,6.592,-8.179,1.160,28.973,34.962
0.629,0.430,-0.802,-26.733,25.635,6.042,25.781,34.871
0.549,0.401,-0.696,28.137,5.188,7.202,25.324,34.713
0.577,0.409,-0.688,-5.615,-2.625,1.465,25.128,34.976
0.511,0.750,-0.607,10.132,-0.610,2.258,28.962,33.470
0.525,0.482,-0.729,-5.920,4.761,4.761,30.438,32.454
0.481,0.592,-0.736,17.456,14.832,2.197,32.805,30.541
0.382,0.649,-0.869,31.860,44.922,5.493,35.230,26.303
0.261,0.772,-0.876,66.101,93.811,26.367,34.649,22.071
0.175,0.784,-0.658,70.313,98.938,40.588,39.461,17.164
-0.074,0.912,-0.543,40.405,92.712,42.664,45.726,9.840
-0.214,0.831,-0.361,28.992,85.022,49.866,53.484,2.072
-0.401,0.823,-0.195,20.386,91.309,56.091,61.360,-7.724
-0.441,0.839,0.006,18.921,99.548,66.895,65.231,-17.524
-0.398,0.622,0.266,-22.217,108.887,76.660,64.578,-24.918
-0.434,0.284,0.571,-5.920,70.984,48.950,55.053,-32.287
-0.505,0.333,0.688,-1.099,24.536,15.808,41.526,-34.568
-0.606,0.406,0.617,-1.099,1.343,-6.165,29.634,-35.732
-0.667,0.376,0.550,-0.427,0.793,-2.014,23.090,-38.300
-0.622,0.426,0.587,3.723,0.854,-1.648,24.228,-39.725
-0.672,0.523,0.609,1.831,0.977,0.427,26.377,-41.224
-0.662,0.521,0.601,-3.967,-2.686,1.648,27.663,-41.300
-0.658,0.408,0.545,-5.188,-1.648,0.671,28.134,-41.052
-0.628,0.431,0.572,3.296,-1.953,-1.404,28.239,-41.202
-0.646,0.490,0.595,3.723,-7.263,-1.770,28.019,-41.221
-0.483,0.457,0.631,4.028,-26.306,-13.611,27.953,-39.346
-0.407,0.488,0.536,6.042,-80.994,-32.776,30.374,-35.924
-0.537,0.580,0.170,0.305,-109.009,-43.457,35.408,-36.604
-0.551,0.728,-0.098,-2.441,-124.390,-36.987,43.986,-37.572
-0.227,0.692,-0.358,-5.005,-132.141,-41.321,55.031,-34.555
-0.156,0.814,-0.749,-18.921,-131.653,-57.312,57.412,-26.130
-0.047,0.703,-0.917,-71.289,-108.459,-30.945,51.474,-15.148
0.229,0.610,-0.918,-42.908,-85.388,-24.597,43.705,-2.825
0.290,0.615,-0.807,-71.472,-61.584,-9.827,38.829,4.143
0.503,0.401,-0.976,-38.757,-48.767,-13.306,31.851,12.768
0.519,0.293,-0.803,8.606,5.188,-3.479,26.620,21.091
0.629,0.329,-0.753,25.024,-2.625,-1.770,22.986,27.549
0.608,0.331,-0.718,-1.038,-1.709,0.427,18.891,32.679
0.600,0.358,-0.675,4.089,-0.793,3.601,19.168,36.116
0.609,0.395,-0.670,5.737,0.183,1.160,20.760,37.818
0.612,0.372,-0.706,3.418,-0.061,0.000,21.571,37.830
0.602,0.392,-0.692,1.953,2.319,3.174,22.517,37.712
0.598,0.372,-0.652,-4.761,0.366,2.930,22.808,37.812
0.601,0.418,-0.636,-15.564,1.160,8.545,23.284,37.874
0.585,0.438,-0.642,1.160,-0.427,2.258,24.558,37.744
0.608,0.573,-0.624,-6.531,-2.075,9.033,27.228,37.429
0.578,0.517,-0.667,2.930,0.000,1.099,29.089,36.352

0.555,0.387,-0.705,9.766,-7.141,-0.183,28.560,35.513
0.556,0.329,-0.738,10.620,11.047,-0.549,26.828,35.025
0.581,0.393,-0.690,3.357,2.136,-1.648,24.290,35.027
0.576,0.406,-0.746,1.770,4.517,-3.113,22.468,34.881
0.593,0.401,-0.666,37.537,2.380,-16.357,22.693,35.557
0.559,0.384,-0.750,35.461,0.488,-4.211,23.348,35.297
0.524,0.538,-0.847,4.700,25.085,-2.502,24.696,32.989
0.398,0.586,-0.925,47.913,67.200,2.930,26.640,29.172
0.256,0.666,-0.883,67.505,94.177,10.254,29.614,23.273
0.182,0.717,-0.850,68.237,101.318,22.278,33.682,17.515
-0.021,0.852,-0.692,51.880,111.267,42.664,39.280,10.544
-0.139,0.799,-0.408,48.706,116.089,56.885,46.820,3.839
-0.325,0.745,-0.093,36.011,102.844,60.608,56.444,-4.640
-0.425,0.820,0.213,27.771,105.530,57.007,67.443,-15.132
-0.384,0.515,0.436,12.756,90.942,50.964,66.008,-23.821
-0.502,0.400,0.728,-1.526,50.598,39.978,50.012,-30.362
-0.544,0.409,0.710,-7.324,8.789,1.831,37.513,-31.804
-0.563,0.442,0.625,-0.854,1.099,-2.991,28.916,-33.081
-0.562,0.407,0.621,-4.761,-3.723,-2.502,25.657,-34.530
-0.604,0.505,0.669,0.427,-0.366,2.319,26.929,-35.699
-0.594,0.449,0.612,2.625,0.732,1.892,27.724,-36.803
-0.608,0.467,0.644,4.639,-0.671,1.282,27.739,-37.077
-0.612,0.494,0.642,-1.465,-1.526,0.549,28.510,-37.055
-0.539,0.444,0.646,-1.282,-4.822,-0.977,28.150,-36.779
-0.466,0.491,0.755,12.329,-35.217,-17.944,28.527,-34.076
-0.475,0.535,0.526,-0.671,-81.238,-31.372,30.669,-32.885
-0.570,0.620,0.246,-2.258,-109.924,-39.490,34.981,-34.205
-0.573,0.719,-0.101,-13.428,-114.075,-29.358,43.132,-37.040
-0.444,0.719,-0.331,-22.705,-112.488,-24.353,51.126,-38.262
-0.283,0.737,-0.544,-9.521,-112.244,-27.344,54.307,-32.919
-0.103,0.688,-0.743,-27.222,-99.976,-27.771,52.217,-22.796
0.087,0.630,-0.810,-35.950,-80.872,-19.409,47.532,-11.399
0.297,0.614,-0.813,-30.945,-67.322,-23.071,42.518,-0.034
0.428,0.540,-0.897,-22.156,-72.632,-31.189,36.500,9.828
0.467,0.574,-0.803,-21.118,-57.678,-11.353,33.511,17.427
0.537,0.487,-0.746,4.272,1.770,-1.038,30.977,23.686
0.631,0.342,-0.712,-19.104,-8.057,-2.197,27.255,29.095
0.664,0.386,-0.641,5.310,-4.944,-0.732,25.805,33.994
0.635,0.391,-0.614,-4.272,-3.540,1.831,23.651,38.049
0.664,0.396,-0.678,17.273,-0.488,1.831,22.245,40.399
0.608,0.554,-0.640,-2.625,2.747,1.770,25.398,39.684
0.698,0.366,-0.576,5.615,0.854,0.000,25.262,40.653
0.656,0.384,-0.653,1.221,-1.404,0.427,24.922,40.615
0.657,0.387,-0.636,-6.592,-4.883,2.380,25.005,40.921
0.669,0.365,-0.632,1.892,-1.282,0.671,22.298,42.606

0.602,0.438,-0.621,3.418,-3.174,1.526,23.480,40.836
0.605,0.416,-0.640,6.409,6.042,-0.122,24.172,40.213
0.590,0.397,-0.686,1.709,3.418,-2.319,24.367,39.019
0.592,0.427,-0.666,-3.601,-3.723,-1.038,25.354,37.584
0.636,0.480,-0.667,17.578,2.930,-6.409,25.548,37.436
0.555,0.380,-0.711,-29.236,19.287,-2.380,24.954,36.508
0.551,0.382,-0.743,15.442,9.766,-4.211,24.657,35.705
0.554,0.337,-0.729,6.409,2.014,2.441,23.335,35.173
0.484,0.483,-0.813,28.320,11.230,-2.686,23.232,32.328
0.423,0.513,-0.914,37.537,49.072,-5.066,24.408,28.997
0.385,0.590,-0.952,53.528,89.783,1.648,26.380,25.246
0.216,0.745,-0.854,50.049,107.849,17.395,31.242,19.601
0.075,0.729,-0.735,52.246,115.234,29.114,35.395,14.286
-0.144,0.802,-0.511,48.279,106.201,28.442,42.756,7.231
-0.263,0.819,-0.233,31.921,101.624,42.053,52.949,-1.725
-0.367,0.806,-0.029,34.363,96.924,46.448,62.221,-11.310
-0.411,0.625,0.239,31.738,99.243,59.082,66.929,-20.935
-0.522,0.406,0.568,11.414,70.801,47.363,58.066,-29.960
-0.521,0.440,0.596,-6.653,20.874,11.719,44.953,-34.390
-0.581,0.487,0.580,-8.667,3.418,5.554,34.573,-36.135
-0.562,0.518,0.631,3.479,6.348,0.977,29.827,-35.981
-0.596,0.537,0.649,-0.549,2.869,2.869,30.700,-35.616
-0.580,0.500,0.588,-0.793,-1.648,-0.427,31.203,-36.045
-0.608,0.501,0.582,3.174,1.831,0.793,31.231,-36.261
-0.592,0.505,0.616,0.793,-0.244,0.793,30.989,-36.777
-0.566,0.518,0.618,-5.188,-5.920,-1.709,31.072,-36.744
-0.557,0.526,0.650,-1.404,-19.836,-11.353,31.172,-35.914
-0.464,0.594,0.607,-6.226,-60.242,-22.034,32.920,-33.550
-0.524,0.594,0.372,-8.850,-92.041,-30.334,35.910,-33.677
-0.471,0.650,0.064,-25.818,-113.892,-28.503,41.927,-34.729
-0.437,0.789,-0.295,-22.766,-129.333,-37.659,52.186,-34.775
-0.104,0.759,-0.480,-17.517,-123.230,-37.842,60.592,-28.656
-0.028,0.761,-0.733,-18.250,-122.192,-35.706,58.972,-17.545
0.208,0.680,-0.783,-35.095,-105.286,-30.945,52.202,-5.475
0.407,0.585,-0.851,-17.273,-91.980,-27.649,43.968,6.927
0.540,0.657,-0.811,-23.682,-59.875,-17.822,38.508,15.166
0.516,0.521,-0.684,-26.367,-30.945,-10.132,34.556,22.827
0.724,0.392,-0.594,-12.878,-15.137,-8.118,30.463,30.956
0.658,0.418,-0.534,3.357,1.404,4.089,29.045,36.523
0.687,0.484,-0.571,4.089,-0.854,-0.183,27.305,40.802
0.695,0.422,-0.528,-5.371,3.967,9.644,25.800,44.524
0.661,0.494,-0.575,8.057,2.136,0.061,27.524,43.373
0.693,0.301,-0.599,-4.089,1.221,4.822,25.552,43.946
0.666,0.418,-0.549,-2.014,-5.371,3.906,24.877,44.296

0.635,0.486,-0.578,-0.549,-5.676,0.488,25.816,42.857
0.666,0.493,-0.551,8.667,3.174,-1.099,25.881,43.104
0.676,0.435,-0.622,20.691,2.563,-0.610,27.620,41.939
0.660,0.457,-0.615,-8.240,1.282,1.038,27.853,41.148
0.655,0.456,-0.577,0.610,-0.916,-0.916,27.371,41.555
0.683,0.473,-0.582,4.517,7.202,0.854,26.891,41.623
0.604,0.493,-0.684,0.305,17.822,4.456,27.696,40.055
0.471,0.504,-0.790,48.340,41.443,14.038,28.335,36.488
0.372,0.693,-0.922,41.443,85.510,24.109,30.578,30.056
0.236,0.732,-0.852,52.246,114.075,33.020,33.513,22.554
0.037,0.825,-0.710,46.875,121.033,40.161,38.525,14.625
-0.186,0.735,-0.486,43.762,116.699,45.654,44.803,6.218
-0.345,0.668,-0.194,24.841,95.825,41.016,52.674,-3.985
-0.480,0.700,0.005,20.874,84.961,38.086,59.965,-16.739
-0.513,0.653,0.211,15.320,78.430,39.734,59.978,-28.601
-0.613,0.583,0.353,0.610,65.979,36.743,52.665,-36.551
-0.575,0.483,0.503,-16.357,56.946,36.987,44.864,-39.495
-0.562,0.498,0.661,-7.446,39.551,28.259,37.891,-38.838
-0.581,0.425,0.725,-3.052,21.118,17.334,31.584,-37.881
-0.591,0.423,0.668,6.226,2.747,-1.404,27.952,-36.306
-0.591,0.450,0.664,-3.418,-0.061,-2.136,26.653,-35.523
-0.607,0.457,0.620,-5.981,-2.319,-1.038,26.138,-36.517
-0.606,0.430,0.630,0.000,1.404,1.343,26.549,-37.460
-0.595,0.426,0.625,0.793,-0.854,-0.305,26.774,-37.801
-0.632,0.487,0.645,1.038,1.099,0.977,27.162,-38.226
-0.602,0.419,0.632,-2.075,0.488,2.502,26.646,-38.280
