aX,aY,aZ,gX,gY,gZ,Roll,Pitch

0.320,0.912,0.269,-0.610,3.052,4.822,65.385,18.577
0.394,0.999,0.332,6.226,-2.625,9.827,63.965,19.615
0.505,1.077,0.423,20.081,-7.690,28.870,61.947,21.099
0.474,1.061,0.463,25.574,-14.771,61.584,60.902,21.428
0.235,1.038,0.414,49.866,-35.400,67.383,61.242,19.739
-0.016,0.927,0.421,45.837,-69.946,44.250,62.937,15.067
-0.135,0.852,0.350,72.815,-92.407,23.926,65.846,7.544
-0.200,0.808,0.412,87.036,-112.366,8.301,66.175,-1.680
-0.294,0.635,0.460,133.606,-128.845,-4.639,61.287,-10.122
-0.581,0.433,0.508,165.894,-124.878,-26.855,52.263,-20.541
-0.733,0.145,0.380,160.583,-104.187,-44.434,38.695,-34.008
-0.804,0.171,0.382,131.409,-90.820,-54.565,24.993,-47.442
-0.922,0.247,0.341,95.215,-80.811,-52.979,16.145,-58.072
-0.929,0.247,0.421,57.556,-71.289,-43.396,12.294,-63.000
-0.910,0.076,0.298,60.059,-67.139,-40.405,10.895,-65.548
-0.993,0.126,0.181,55.969,-56.213,-44.189,9.979,-69.243
-1.037,0.286,0.099,35.278,-45.532,-55.542,10.417,-72.237
-0.932,0.413,0.016,18.311,-46.021,-77.759,12.958,-74.429
-0.527,0.495,-0.035,8.423,-32.593,-91.919,20.680,-68.904
-0.651,0.537,-0.092,-4.944,-14.404,-56.152,28.819,-61.180
-0.718,0.645,-0.067,-18.433,-4.578,-21.545,36.413,-53.434
-0.705,0.675,-0.022,-1.404,1.953,-12.085,42.024,-47.756
-0.715,0.765,-0.041,5.310,2.441,-5.432,43.132,-46.674
-0.707,0.724,-0.045,6.165,3.418,1.221,44.570,-45.320
-0.715,0.701,-0.032,5.676,3.784,6.531,45.182,-44.749
-0.725,0.691,-0.016,3.479,3.540,7.629,45.140,-44.799
-0.710,0.666,-0.037,-3.967,4.578,4.333,44.188,-45.752
-0.627,0.599,-0.052,6.409,14.832,20.874,43.679,-46.249
-0.637,0.553,-0.015,-0.488,31.494,58.777,42.872,-47.067
-0.736,0.631,0.044,-28.992,38.635,72.327,42.096,-47.889
-0.706,0.520,-0.009,-30.579,64.575,84.351,40.401,-49.595
-0.906,0.415,0.042,-46.082,80.200,86.121,35.362,-54.620
-0.894,0.186,0.201,-47.791,85.022,67.078,28.298,-61.313
-0.853,0.206,0.356,-68.604,85.144,51.025,21.258,-66.618
-0.861,0.396,0.420,-90.088,73.608,34.363,18.196,-65.834
-0.809,0.347,0.418,-111.328,71.838,26.917,17.095,-62.230
-0.728,0.510,0.481,-84.167,74.158,17.212,21.743,-55.648
-0.620,0.655,0.463,-160.645,79.834,9.033,28.551,-49.142
-0.556,0.703,0.534,-113.037,72.083,-17.212,33.785,-42.941
-0.421,0.959,0.519,-114.563,80.383,-36.865,42.684,-33.892
-0.203,1.002,0.550,-82.336,88.623,-44.922,50.460,-24.721
-0.144,0.857,0.398,-42.236,89.233,-46.143,55.735,-18.097
-0.072,0.826,0.330,-22.949,93.872,-46.448,61.445,-11.676
-0.015,0.917,0.346,-2.563,84.045,-43.335,64.984,-6.265
0.201,1.053,0.427,0.061,73.120,-38.879,67.662,-0.437
0.291,0.918,0.408,11.719,48.157,-25.513,67.164,5.765
0.347,0.949,0.412,15.564,29.663,-14.832,64.946,11.224
0.326,0.951,0.376,0.244,21.606,-3.418,62.700,15.523
0.282,0.798,0.303,0.366,9.583,0.183,61.668,17.668
0.416,0.815,0.329,18.677,18.860,-10.742,60.651,19.907
0.361,0.822,0.434,16.479,1.526,4.211,59.422,20.634
0.293,0.781,0.243,-11.658,-4.211,-2.441,59.651,21.284
0.383,0.890,0.259,-9.521,4.456,0.977,59.769,22.312
0.248,0.763,0.257,-7.629,6.836,2.747,61.693,20.325
0.281,0.877,0.263,-16.724,-1.892,3.357,64.493,19.165
0.287,0.849,0.238,-5.493,-4.822,-1.465,65.053,18.753
0.290,0.868,0.228,-10.254,-2.319,-0.977,66.191,17.532
0.332,0.871,0.213,-14.282,-1.221,0.427,66.356,18.329
0.309,0.908,0.170,-6.409,-3.357,0.061,66.997,18.703


0.361,0.802,0.410,11.047,6.470,9.888,64.484,19.761
0.465,0.844,0.452,6.775,2.563,15.747,60.688,21.928
0.471,0.985,0.549,2.808,-3.296,27.832,57.522,22.508
0.417,0.982,0.575,24.719,-5.981,45.044,54.030,22.577
0.344,0.910,0.479,34.546,-13.062,51.453,54.407,21.761
0.159,0.950,0.463,41.748,-40.100,42.358,56.959,17.734
