aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.263,0.807,0.35,8.972,-2.441,4.333,61.508,16.635
0.328,0.97,0.373,-28.32,-2.441,-8.484,62.281,17.109
0.243,0.983,0.214,-20.386,-12.268,12.573,65.559,15.964
0.16,0.893,0.151,19.165,13.55,28.809,68.036,14.609
0.218,0.916,0.416,42.847,21.057,12.817,68.352,13.553
0.217,0.846,0.765,-22.034,-31.921,-1.648,64.212,11.975
0.094,0.904,0.464,6.653,-33.752,10.681,61.615,9.806
0.085,0.918,0.532,29.114,-41.016,10.132,57.741,8.335
-0.031,0.812,0.531,31.494,-58.655,5.127,56.29,5.011
-0.167,0.771,0.567,21.851,-65.002,-10.01,58.395,-0.269
-0.257,0.779,0.533,33.569,-61.34,-13.184,56.209,-5.376
-0.343,0.715,0.55,30.029,-44.312,-5.249,52.957,-11.945
-0.398,0.662,0.568,35.095,-43.396,-10.132,49.443,-17.6
-0.471,0.603,0.506,22.4,-37.659,-11.536,46.605,-22.753
-0.519,0.632,0.56,23.315,-35.095,-11.475,43.154,-26.953
-0.563,0.598,0.512,23.804,-27.466,-7.69,40.715,-30.658
-0.603,0.546,0.512,21.973,-21.973,-10.315,38.39,-34.249
-0.621,0.555,0.543,13.794,-18.982,-13.977,36.613,-36.157
-0.631,0.583,0.491,7.324,-23.132,-11.414,35.71,-38.192
-0.65,0.594,0.479,8.667,-16.541,-3.357,35.276,-39.409
-0.672,0.554,0.45,11.23,-10.315,1.282,35.255,-40.493
-0.695,0.533,0.407,12.573,-5.798,2.197,35.145,-42.308
-0.695,0.539,0.433,1.038,-4.028,-0.427,34.436,-43.7
-0.691,0.56,0.456,2.502,1.343,-2.258,33.83,-44.552
-0.692,0.518,0.453,8.301,1.16,-1.831,33.238,-45.025
-0.694,0.568,0.47,4.272,-0.244,-0.122,33.407,-44.328
-0.691,0.547,0.434,6.958,3.906,2.075,33.533,-44.214
-0.703,0.508,0.47,-2.014,8.362,4.211,32.762,-44.652
-0.671,0.543,0.475,-5.554,14.832,5.981,33.108,-44.104
-0.647,0.53,0.513,0.732,18.494,6.104,32.759,-43.608
-0.641,0.521,0.58,1.587,18.066,8.484,32.079,-42.277
-0.607,0.477,0.571,-4.456,18.005,14.893,31.792,-40.753
-0.614,0.538,0.579,-8.484,23.743,14.648,31.534,-39.435
-0.536,0.515,0.598,-15.625,20.935,19.653,31.52,-37.694
-0.554,0.568,0.611,-26.184,14.709,13.367,32.415,-36.194
-0.57,0.538,0.659,-12.207,19.531,6.653,32.864,-34.861
-0.539,0.573,0.666,-13.977,14.648,4.333,33.18,-33.26
-0.513,0.58,0.66,-3.235,12.512,6.897,33.703,-32.302
-0.501,0.554,0.653,-4.028,12.085,4.211,33.543,-31.501
-0.491,0.548,0.601,-8.423,10.315,5.066,34.416,-30.811
-0.489,0.614,0.627,-7.874,14.16,6.409,35.397,-30.21
-0.453,0.642,0.647,-7.507,7.812,9.705,36.526,-29.219
-0.447,0.58,0.602,-4.028,12.146,3.052,37.476,-28.667
-0.458,0.643,0.641,-5.188,6.958,0.122,38.455,-27.592
-0.464,0.625,0.6,0.183,8.118,4.272,38.91,-27.349
-0.443,0.654,0.587,-3.418,13.245,4.089,39.54,-27.443
-0.41,0.674,0.623,-2.625,14.404,2.991,40.627,-26.434
-0.377,0.643,0.604,-5.127,14.709,0.366,41.355,-25.54
-0.366,0.674,0.632,-5.554,15.137,4.456,42.173,-23.888
-0.289,0.624,0.58,-4.639,30.518,-1.404,42.718,-21.954
-0.261,0.712,0.682,-6.653,29.114,-5.005,43.335,-19.524
-0.17,0.742,0.616,0.061,30.823,-2.563,45.194,-16.25
-0.06,0.73,0.607,3.418,33.691,-2.686,47.158,-11.743
-0.014,0.745,0.657,-1.343,31.311,0.854,48.285,-7.385
0.056,0.752,0.661,-4.7,26.428,-1.038,49.362,-2.746
0.112,0.725,0.62,-4.7,19.592,-3.479,49.213,1.394
0.143,0.779,0.595,-11.719,15.564,-2.563,49.637,4.334
0.212,0.859,0.511,2.563,22.827,-6.958,51.889,7.596
0.279,0.772,0.511,2.075,16.235,-7.935,53.058,10.966
0.26,1.035,0.493,-13.245,5.493,4.822,56.369,12.485
