aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.415,0.868,0.36,-7.874,9.277,-2.93,57.648,23.826
0.425,0.844,0.294,0.793,2.136,-1.404,58.124,24.622
0.421,0.814,0.275,9.766,-4.639,8.911,58.199,25.107
0.279,0.894,0.11,1.038,1.831,22.339,61.486,23.318
0.475,0.578,0.328,53.406,33.936,-2.869,58.872,25.959
0.438,0.468,0.346,-19.287,-3.967,-5.493,54.976,28.688
0.419,0.972,0.428,-6.165,-44.678,0.488,55.304,27.066
0.364,0.933,0.416,22.766,-68.97,-1.282,52.362,27.077
0.172,0.792,0.26,30.518,-51.392,-5.31,57.577,21.807
0.122,0.766,0.438,7.935,-29.236,-6.531,61.496,15.849
0.092,0.819,0.523,5.554,-22.217,-6.226,61.449,11.481
0.113,0.838,0.536,2.747,-16.968,-3.296,60.39,7.747
0.076,0.8,0.543,5.737,-15.747,-3.906,57.163,6.032
0.06,0.822,0.587,8.24,-15.808,-0.427,55.942,4.951
0.048,0.808,0.578,6.226,-17.273,-2.075,55.286,4.293
0.03,0.735,0.644,16.479,-23.499,-4.456,53.263,3.118
0.008,0.793,0.632,4.15,-28.931,-2.686,52.242,2.106
-0.098,0.72,0.629,10.376,-34.119,-4.7,50.906,-0.174
-0.14,0.761,0.632,11.719,-36.987,-9.155,49.776,-2.906
-0.183,0.738,0.659,14.099,-35.095,-11.536,49.363,-5.969
-0.22,0.696,0.666,10.315,-42.664,-8.179,47.57,-9.348
-0.28,0.647,0.599,22.644,-38.147,-11.292,46.627,-12.152
-0.313,0.633,0.597,23.743,-20.874,-8.362,45.033,-15.065
-0.355,0.572,0.645,12.451,-33.447,-11.414,42.647,-18.11
-0.467,0.629,0.569,3.54,-21.24,-10.62,41.589,-22.254
-0.49,0.672,0.543,-8.606,-20.63,2.136,41.22,-25.298
-0.455,0.64,0.516,6.897,-15.076,-4.272,41.116,-27.537
-0.497,0.707,0.512,-3.052,-19.958,-0.366,42.713,-29.275
-0.588,0.678,0.466,14.099,-33.936,0.427,43.171,-30.986
-0.604,0.673,0.379,0.122,-13.672,7.141,43.46,-33.141
-0.612,0.643,0.38,-5.127,-14.221,3.54,43.128,-35.632
-0.651,0.684,0.326,-3.357,-13.245,-0.732,42.682,-38.43
-0.67,0.716,0.271,-0.183,-4.883,2.258,43.339,-39.897
-0.683,0.665,0.212,-0.488,5.005,1.221,43.285,-41.505
-0.657,0.663,0.254,-3.723,13.855,-3.479,43.579,-42.27
-0.652,0.745,0.282,-11.475,18.799,1.587,44.367,-41.88
-0.641,0.675,0.333,-10.803,25.879,6.653,43.988,-41.721
-0.575,0.707,0.39,-6.714,20.447,2.075,44.68,-39.509
-0.6,0.695,0.336,-6.531,27.771,4.7,45.139,-38.299
-0.586,0.728,0.386,-13.672,46.082,28.015,45.021,-37.274
-0.517,0.68,0.444,-17.883,45.776,20.508,45.534,-35.343
-0.481,0.617,0.493,-24.902,46.082,9.338,44.77,-34.436
-0.421,0.711,0.499,-7.08,46.814,6.287,45.286,-31.38
-0.366,0.764,0.514,-22.827,55.237,0.977,46.363,-27.772
-0.256,0.777,0.495,-23.804,60.852,-0.366,48.76,-23.54
-0.168,0.84,0.581,-40.894,60.425,-2.869,52.014,-17.975
-0.03,0.865,0.499,-14.771,62.378,-4.578,55.347,-11.989
0.097,0.894,0.508,9.033,66.101,-3.906,57.96,-5.147
