aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.328,0.867,0.323,1.709,2.136,0,62.04,19.52
0.316,0.869,0.314,-0.977,3.235,0.061,62.451,19.204
0.344,0.942,0.223,0.427,-17.639,6.226,63.933,19.359
0.242,0.879,0.219,-10.559,-3.906,8.24,65.293,18.311
0.255,0.945,0.162,5.981,13.55,12.939,67.873,17.158
0.293,0.924,0.455,38.086,3.54,4.639,67.182,16.462
0.193,0.918,0.219,3.479,-1.099,11.902,68.519,14.459
0.22,0.972,0.302,-7.446,-16.541,0,68.382,13.756
0.249,0.953,0.578,37.598,-60.181,7.507,64.17,13.192
0.094,0.629,0.345,63.538,-46.692,7.324,64.847,11.372
0.05,0.855,0.292,7.69,-41.016,12.024,64.362,9.332
0.049,0.994,0.244,-40.527,-29.602,15.93,66.048,6.764
0.047,0.829,0.508,12.085,-43.274,-2.869,66.912,3.832
-0.01,0.902,0.54,46.936,-69.092,-2.197,66.065,1.991
-0.104,1.176,0.598,179.687,-104.614,-8.911,64.158,-0.239
-0.434,0.331,0.65,88.745,-58.777,-32.166,54.036,-7.188
-0.444,0.41,0.762,1.709,-38.574,-30.273,45.869,-14.619
-0.511,0.43,0.659,9.338,-51.575,-20.386,37.51,-22.782
-0.677,0.432,0.591,24.292,-26.184,-13.123,25.446,-33.615
-0.655,0.409,0.583,9.216,-19.653,-10.925,25.917,-36.487
-0.643,0.469,0.542,-16.296,-15.503,3.723,26.84,-40.176
-0.673,0.172,0.247,-74.036,27.649,6.409,24.21,-47.11
-0.636,0.726,0.614,30.09,22.766,-17.456,28.455,-44.38
-0.544,0.644,0.481,22.156,14.648,13.428,32.747,-42.172
-0.521,0.433,0.326,-182.922,63.843,14.038,34.252,-42.562
-0.477,0.502,0.385,-6.104,53.162,38.269,39.167,-36.65
-0.404,0.889,0.397,53.65,59.265,10.925,44.479,-33.555
-0.176,0.862,0.512,-19.104,93.201,8.667,49.899,-26.713
-0.118,0.805,0.615,-13.489,102.295,-2.869,53.749,-18.061
0.024,0.939,0.429,-35.095,87.585,-6.104,59.405,-9.551
0.193,0.923,0.313,-22.278,75.745,-10.986,62.065,-1.089
0.353,0.97,0.347,-14.893,68.298,-7.141,64.127,6.428
0.268,0.98,0.446,4.089,40.771,-5.371,65.342,11.528
0.255,0.909,0.316,14.099,5.127,-17.639,64.806,14.814
0.263,0.899,0.216,-12.878,9.094,-5.432,65.066,15.943
0.355,0.89,0.298,7.629,-0.61,1.038,65.037,16.336
0.105,0.926,0.276,5.493,-0.977,-0.916,67.827,14.477
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.371,0.802,0.382,0.488,0.427,-1.099,56.378,22.693
0.387,0.916,0.404,-21.24,6.226,-5.737,57.542,21.871
0.377,0.833,0.329,0.732,-17.639,13.611,58.037,22.186
0.312,0.89,0.318,-12.146,-16.968,24.902,59.372,21.219
0.22,0.739,0.212,-184.021,-12.146,29.236,61.821,19.758
0.202,0.765,0.256,63.171,-32.654,17.334,64.004,18.011
0.156,0.673,0.462,-37.415,-29.236,9.033,63.442,15.039
0.089,0.866,0.359,41.443,-42.603,-2.625,64.5,11.402
0.077,0.897,0.587,69.641,-42.542,-2.441,61.406,8.26
0.027,1.32,0.583,22.522,-66.589,0.854,61.697,4.699
-0.214,1.06,0.429,153.015,-77.515,4.639,64.695,-0.263
-0.341,0.428,0.557,107.361,-53.04,-17.944,59.27,-5.997
-0.385,0.44,0.662,17.212,-34.424,-25.635,53.43,-13.027
-0.414,0.465,0.718,67.017,-69.763,-23.376,41.302,-21.903
-0.626,0.278,0.661,36.316,-47.119,-23.865,27.167,-30.002
-0.648,0.34,0.557,20.508,-17.639,-6.104,24.626,-34.544
-0.691,0.22,0.612,18.311,-2.075,-1.648,20.493,-39.753
-0.631,0.156,0.618,-43.274,6.348,-5.249,15.555,-44.512
-0.63,0.37,0.256,-182.556,44.495,-9.338,18.171,-48.354
-0.612,0.079,0.73,-4.272,44.739,31.738,13.676,-47.325
-0.488,0.562,0.673,-59.143,61.401,13.245,19.578,-42.696
-0.306,0.677,0.598,-44.434,64.087,22.583,29.043,-35.841
-0.122,0.805,0.681,-44.128,75.073,18.677,34.52,-24.072
-0.049,0.801,0.742,-28.381,71.594,14.038,44.832,-13.843
-0.027,0.81,0.619,-3.784,72.083,13.184,49.016,-7.078
0.064,0.851,0.552,-37.72,75.256,6.897,51.52,-1.842
0.224,0.737,0.531,-25.208,71.716,0.854,52.518,3.018
0.402,0.933,0.448,-18.311,55.664,-12.512,55.95,9.496
