aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.862,0.249,-0.449,4.639,1.526,1.892,14.362,59.238
0.855,0.269,-0.464,-2.93,1.709,-1.221,14.914,58.563
0.864,0.28,-0.503,-0.183,-0.183,-2.319,15.169,57.797
0.889,0.182,-0.41,22.156,-2.808,2.869,14.033,59.146
0.863,0.259,-0.433,-4.7,-1.648,4.883,14.194,59.266
0.852,0.305,-0.429,5.127,-0.305,2.869,14.752,59.402
0.858,0.276,-0.43,3.845,4.211,6.287,14.835,60.164
0.839,0.286,-0.435,2.869,8.24,8.179,16.398,58.864
0.819,0.318,-0.588,-10.62,18.982,15.808,17.072,56.561
0.795,0.332,-0.512,4.456,21.79,6.47,17.478,55.116
0.739,0.35,-0.611,-14.16,19.592,12.817,18.482,51.918
0.716,0.35,-0.69,-12.878,37.842,15.259,19.108,48.096
0.643,0.33,-0.743,-14.526,49.194,13.611,19.433,44.978
0.53,0.313,-0.79,-10.01,50.659,10.681,19.152,39.973
0.423,0.311,-0.881,-12.329,45.654,7.935,18.62,34.485
0.314,0.329,-0.905,-10.132,43.457,8.606,18.524,28.233
0.207,0.283,-0.933,-5.31,35.583,5.737,17.986,21.614
0.131,0.259,-0.961,-4.395,30.212,4.761,17.13,15.544
0.063,0.261,-0.966,-2.502,26.672,2.747,16.447,10.307
-0.029,0.249,-1.011,-4.272,27.71,2.625,15.13,5.292
-0.097,0.235,-1.006,-1.526,37.537,2.991,14.268,0.952
-0.201,0.19,-0.975,-10.437,40.71,2.075,13.25,-3.729
-0.298,0.192,-0.97,-11.902,47.302,2.991,12.169,-8.774
-0.401,0.166,-0.888,-1.404,45.898,3.479,11.154,-14.292
-0.503,0.152,-0.872,6.226,43.03,7.08,10.017,-20.424
-0.585,0.165,-0.794,13.55,42.236,6.653,9.695,-26.482
-0.672,0.156,-0.692,5.554,40.894,4.456,9.316,-33.161
-0.746,0.159,-0.606,11.292,36.255,2.808,9.249,-39.589
-0.799,0.142,-0.567,11.108,28.809,4.761,9.145,-45.736
-0.9,0.081,-0.5,-1.831,33.081,2.197,7.837,-52.107
-0.887,0.151,-0.439,-4.822,39.185,-8.362,7.702,-56.815
-0.891,0.219,-0.31,0.916,22.339,-7.446,8.604,-61.206
-0.927,0.197,-0.292,0.732,8.362,-0.488,9.386,-65.12
-0.919,0.175,-0.238,4.7,-0.61,-2.136,10.916,-67.812
-0.943,0.186,-0.383,6.775,-13.794,-1.099,11.313,-68.524
-0.865,0.18,-0.298,10.986,-19.348,2.502,10.841,-68.802
-0.91,0.135,-0.45,10.437,-19.104,4.456,9.859,-67.241
-0.846,0.206,-0.457,8.85,-27.344,-5.371,10.261,-64.012
-0.84,0.203,-0.545,-1.465,-21.973,-2.869,10.565,-61.324
-0.763,0.235,-0.547,11.292,-22.827,-5.31,11.261,-57.448
-0.715,0.209,-0.63,13.123,-35.156,-5.249,12.52,-53.524
-0.677,0.204,-0.687,12.878,-28.32,-3.479,12.49,-49.537
-0.586,0.263,-0.745,10.925,-35.278,-9.216,13.536,-44.761
-0.477,0.358,-0.765,10.071,-43.701,-12.695,15.435,-39.194
-0.398,0.37,-0.858,10.437,-45.654,-12.695,17.756,-33.088
-0.337,0.417,-0.927,14.404,-26.123,-10.254,20.554,-26.645
-0.236,0.438,-0.852,16.907,-23.804,-7.202,23.171,-21.102
-0.146,0.448,-0.875,19.775,-28.87,-8.606,24.42,-16.013
-0.048,0.491,-0.847,6.348,-36.072,-11.719,26.604,-11.023
0.055,0.529,-0.865,33.447,-40.039,-16.724,28.862,-5.442
0.154,0.552,-0.812,18.433,-39.246,-18.616,30.735,0.219
0.289,0.592,-0.757,1.221,-44.8,-21.912,33.172,6.535
0.407,0.478,-0.776,18.433,-45.959,-23.743,32.828,13.184
0.518,0.521,-0.689,10.498,-44.739,-19.714,32.781,20.225
0.604,0.538,-0.64,3.662,-33.508,-25.391,32.126,27.016
0.697,0.502,-0.591,-1.526,-23.437,-17.944,30.248,33.366
0.702,0.455,-0.537,-4.578,-4.395,-10.742,29.793,38.42
0.752,0.414,-0.504,1.16,-16.418,-9.583,28.124,42.878
0.783,0.388,-0.462,1.282,-22.644,-7.568,26.01,47.015
0.836,0.32,-0.45,9.705,-34.668,-17.578,23.414,50.76
0.87,0.341,-0.426,-0.732,-14.648,-12.451,21.421,54.043
0.881,0.342,-0.368,-0.977,-1.953,-3.845,20.207,56.856
0.891,0.278,-0.352,2.869,-4.15,-4.395,18.494,59.536
0.884,0.301,-0.359,20.935,-3.479,1.16,18.204,60.888
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.89,0.304,-0.352,7.69,1.77,0.488,17.75,62.025
0.878,0.299,-0.345,-12.634,2.747,1.282,17.211,62.583
0.88,0.292,-0.38,-0.61,4.7,0.122,17.409,62.118
0.871,0.299,-0.372,-2.319,0.549,4.7,17.419,61.919
0.87,0.293,-0.401,-0.122,4.456,5.066,17.265,61.386
0.866,0.323,-0.443,-13.794,12.329,14.404,17.477,60.148
0.833,0.295,-0.503,-5.981,27.527,10.803,17.467,58.568
0.79,0.352,-0.526,-0.61,35.645,10.315,18.185,56.076
