aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.952,0.234,-0.27,-2.991,-0.427,1.16,13.32,69.427
0.938,0.22,-0.29,-9.033,5.188,-1.282,12.986,69.107
0.919,0.233,-0.323,-8.057,3.052,1.892,13.145,68.272
0.913,0.165,-0.31,8.057,13,6.409,12.308,68.488
0.906,0.22,-0.396,-2.258,18.25,7.996,12.112,66.965
0.879,0.251,-0.446,2.258,20.935,9.155,12.539,64.676
0.813,0.318,-0.586,-2.991,40.1,20.081,13.687,60.552
0.713,0.349,-0.748,-1.404,66.772,18.616,16.033,53.446
0.558,0.346,-0.837,-6.165,98.572,21.057,17.742,45.556
0.364,0.308,-0.953,-11.719,84.656,11.963,18.414,35.824
0.058,0.366,-0.943,-7.568,82.886,19.531,19.479,24.36
-0.175,0.266,-0.885,-14.282,69.824,18.311,19.121,11.845
-0.395,0.155,-0.868,-8.179,67.81,14.893,16.679,-2.22
-0.5,0.237,-0.684,-6.653,36.621,0,16.178,-15.983
-0.576,0.227,-0.72,-2.38,3.052,-0.244,13.946,-26.658
-0.553,0.252,-0.713,5.554,-11.475,-3.296,13.567,-33.062
-0.432,0.263,-0.777,21.24,-47.18,-13.916,15.393,-34
-0.312,0.382,-0.863,17.212,-60.608,-2.014,17.336,-29.786
-0.123,0.383,-0.965,17.456,-61.157,-11.536,19.52,-21.766
0.05,0.451,-0.936,22.4,-50.659,-24.963,22.143,-12.023
0.252,0.534,-0.78,17.09,-65.613,-32.227,26.262,-1.941
0.554,0.561,-0.753,31.555,-77.209,-50.659,28.785,10.537
0.705,0.557,-0.567,9.644,-57.434,-35.645,31.643,22.915
0.818,0.468,-0.438,23.621,-45.837,-35.828,31.616,35.163
0.835,0.437,-0.37,-30.701,-23.682,-16.602,29.288,44.772
0.899,0.258,-0.284,-0.671,-16.479,-9.277,25.201,53.737
0.927,0.331,-0.261,-6.531,-10.254,-15.015,21.804,59.921
0.985,0.178,-0.21,-20.752,-36.316,-21.729,17.509,65.68
0.953,0.229,-0.149,13.306,0.366,1.343,14.436,70.33
