aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.939,0.104,-0.345,5.676,0.244,-0.61,19.262,20.179
0.914,0.123,-0.317,-9.277,4.395,-1.831,18.669,51.451
0.908,0.137,-0.432,-11.23,5.432,4.272,11.499,78.243
0.893,0.388,-0.45,170.41,40.161,28.015,10.727,64.828
0.864,0.452,-0.471,142.151,46.997,53.101,15.559,60.81
0.737,0.354,-0.633,-217.59,38.391,68.604,18.665,54.907
0.521,0.485,-0.696,-7.019,53.65,41.626,24.049,47.036
0.386,0.399,-0.842,-17.578,46.57,25.452,24.89,38.637
0.238,0.552,-0.922,-79.163,59.326,18.066,26.305,27.763
0.033,0.316,-0.949,25.146,73.059,17.639,25.901,17.081
-0.158,0.5,-0.92,-19.653,72.205,31.921,25.725,7.044
-0.386,0.356,-0.889,5.798,80.627,29.419,25.036,-3.844
-0.487,0.286,-0.74,6.165,76.416,28.809,21.848,-14.752
-0.704,0.089,-0.6,-18.127,64.087,28.564,18.909,-27.168
-0.824,0.104,-0.528,-1.831,53.04,22.888,12.866,-39.826
-0.879,0.036,-0.313,-2.075,41.199,16.602,8.1,-52.257
-0.917,-0.014,-0.208,-5.859,12.207,7.385,3.321,-63.427
-0.936,0.061,-0.273,18.188,-9.949,-6.958,2.833,-69.421
-0.942,0.352,-0.315,21.851,-15.32,-10.193,6.48,-72.029
-0.905,0.022,-0.4,54.382,-10.925,-5.249,6.188,-71.077
-0.697,0.327,-0.273,37.476,-49.011,-39.49,10.017,-66.482
-0.604,0.118,-0.561,-45.105,-103.21,-76.538,12.247,-61.531
-0.307,0.597,-0.988,85.388,-77.759,-44.861,25.68,-32.065
-0.127,0.821,-0.762,7.141,-47.302,-28.687,30.979,-20.425
0.135,0.724,-0.572,50.293,-70.435,-63.171,39.371,-9.521
0.457,0.901,-0.52,49.133,-49.744,-86.914,46.926,2.184
0.965,0.052,-0.226,9.521,-7.812,-0.488,2.975,76.499
0.954,0.062,-0.252,2.197,-1.465,-2.38,3.289,75.641
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
1.034,-0.19,-0.262,-20.569,8.545,4.883,-1.433,75.678
0.958,0.145,-0.199,45.776,-12.329,-0.549,8.437,75.601
0.949,0.09,-0.208,-26.855,4.333,-7.507,6.87,76.175
0.959,0.171,-0.212,-11.047,-0.488,-0.854,7.872,75.532
0.951,0.087,-0.357,-13.367,19.043,13.977,7.12,74.032
0.917,0.177,-0.418,-12.329,55.237,22.949,7.537,70.94
0.884,0.178,-0.528,76.843,60.913,23.254,8.685,66.228
0.767,0.462,-0.564,-32.227,48.462,24.292,12.789,59.481
0.691,0.529,-0.673,51.27,59.631,17.517,18.944,51.791
0.542,0.499,-0.709,-6.165,57.922,21.362,23.702,44.019
0.37,0.545,-0.881,-41.321,75.562,26.978,28.882,34.23
0.132,0.434,-0.931,27.039,88.013,29.785,28.9,24.691
-0.095,0.502,-0.858,73.608,84.839,27.405,29.43,13.621
-0.292,0.527,-0.806,-54.993,77.148,25.513,30.008,1.651
-0.535,0.437,-0.825,-43.701,93.567,30.212,28.434,-11.405
-0.675,0.267,-0.579,5.371,94.36,29.907,26.614,-24.371
-0.756,0.197,-0.369,9.888,73.059,19.348,22.612,-37.446
-0.857,0.18,-0.159,-10.559,47.852,15.198,17.525,-51.901
-0.972,0.142,-0.06,-0.366,1.709,0.61,12.777,-66.664
-0.838,0.189,-0.081,25.024,-42.48,-22.278,11.476,-74.119
-0.733,0.112,-0.482,-80.872,-63.782,-54.749,10.123,-73.625
-0.724,0.466,-0.644,16.785,-56.946,-20.508,14.553,-64.487
-0.573,0.475,-0.498,83.191,-53.406,-38.818,20.431,-53.663
-0.36,0.621,-0.677,-80.383,-92.773,-29.724,26.786,-40.023
-0.092,0.387,-0.975,-7.629,-109.802,-53.467,30.612,-27.155
0.28,0.748,-0.944,95.215,-114.99,-73.364,35.037,-11.033
0.573,0.734,-0.539,30.334,-71.838,-69.885,38.245,5.72
0.819,0.653,-0.408,-26.306,-76.965,-67.688,37.629,22.482
0.88,0.521,-0.404,-55.115,-51.331,-35.4,37.738,36.018
0.878,0.476,-0.316,-26.184,-5.432,-2.991,33.783,47.283
0.854,0.247,-0.218,-23.926,9.949,7.812,27.232,55.871
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
