aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.093,1.003,0.11,20.691,1.099,0.916,81.792,-5.288
-0.085,0.964,0.14,2.869,1.526,-0.122,81.125,-5.136
-0.088,0.978,0.076,-11.536,2.197,-4.15,81.868,-5.129
-0.08,0.965,0.105,6.042,0.916,-0.488,81.958,-5.024
-0.078,0.973,0.102,4.517,1.404,-0.671,82.134,-4.842
-0.092,0.994,0.111,7.324,3.723,-2.197,82.439,-4.917
-0.118,0.96,0.128,11.597,15.747,-1.709,81.551,-5.372
-0.086,0.96,0.136,12.085,8.301,-1.16,81.126,-5.467
-0.028,0.969,0.192,7.568,5.737,-0.122,80.434,-4.734
-0.024,0.955,0.201,2.991,6.287,-2.136,79.599,-3.77
-0.054,0.97,0.191,4.883,7.263,-2.38,79.055,-2.819
-0.025,0.961,0.191,7.935,5.249,-2.258,78.481,-1.921
-0.008,0.959,0.211,4.7,6.897,-0.854,78.235,-1.628
-0.004,0.969,0.205,5.066,8.484,-1.77,78.257,-1.329
-0.018,0.965,0.225,5.371,8.301,-1.404,77.796,-0.807
-0.03,0.974,0.221,1.648,2.319,-2.136,77.412,-0.877
0.028,0.946,0.23,2.991,2.747,1.892,77.12,-0.35
0,0.957,0.249,6.104,6.104,2.38,76.454,-0.29
0.013,0.953,0.233,4.028,2.38,2.38,76.304,0.167
0.008,0.959,0.244,5.066,2.869,0.916,75.906,0.731
0.005,0.955,0.249,3.54,1.038,-0.061,75.682,0.383
-0.029,0.962,0.249,2.441,-1.648,-1.099,75.704,-0.039
-0.013,0.961,0.257,3.662,-0.61,-1.892,75.396,-0.415
0.001,0.953,0.264,3.052,-0.366,-2.258,75.089,-0.526
0.026,0.942,0.255,-0.61,-0.61,-1.343,74.971,-0.223
0.024,0.946,0.25,2.502,0.427,0.244,74.891,0.543
0.012,0.949,0.252,2.258,0.549,-0.122,74.901,0.907
0.01,0.954,0.252,0.183,1.099,1.221,75.068,1.037
0.013,0.955,0.249,2.686,1.709,0.305,75.218,0.85
-0.002,0.947,0.263,-0.793,-0.183,-0.122,75.049,0.476
0.011,0.949,0.229,3.418,-0.671,-1.038,75.375,0.462
0.013,0.947,0.236,4.883,0,-1.038,75.575,0.507
0.017,0.94,0.25,9.277,1.099,-1.099,75.492,0.571
0.026,0.947,0.253,4.944,-0.427,-1.038,75.62,0.987
0.031,0.948,0.254,3.479,-1.648,-0.549,75.242,1.28
0.023,0.949,0.261,2.93,0.305,0.061,74.881,1.431
0.015,0.95,0.254,2.258,0.854,0.244,74.873,1.395
0.024,0.928,0.267,9.399,4.517,-1.465,74.599,1.359
0.028,0.935,0.268,2.319,0.122,0.549,74.351,1.308
0.032,0.949,0.265,-1.343,-2.502,3.296,74.287,1.435
-0.007,0.954,0.251,-0.793,-1.465,-0.549,74.368,1.105
0.009,0.95,0.228,-8.911,-4.883,0.427,75.02,0.886
0.008,0.952,0.21,2.319,-0.977,-2.075,75.918,0.597
0.027,0.948,0.209,-4.211,-4.456,-0.305,76.712,0.524
0.01,0.97,0.207,1.892,-0.183,-0.305,77.388,0.777
0.003,0.969,0.215,4.211,1.343,0.61,77.642,0.694
0.02,0.957,0.208,3.235,0.366,0.854,77.667,0.871
0.019,0.954,0.229,2.991,1.648,0.427,77.416,0.762
0.001,0.949,0.211,5.066,2.319,3.479,77.296,0.643
0.015,0.959,0.223,0.671,-0.305,1.038,77.139,0.811
0.009,0.953,0.229,2.502,2.319,0.244,76.839,0.646
-0.005,0.954,0.224,2.991,0.732,0.061,76.92,0.289
0.003,0.959,0.233,4.089,1.16,-0.366,76.641,0.315
0.008,0.956,0.227,4.456,2.38,-0.122,76.577,0.212
-0.007,0.957,0.226,2.38,1.221,0.549,76.641,-0.012
0.008,0.955,0.226,3.357,0.854,-0.793,76.604,0.172
0.037,0.952,0.246,5.31,4.333,3.052,76.381,0.658
-0.014,0.956,0.235,-2.258,3.357,2.93,76.28,0.349
-0.012,0.974,0.212,1.16,-0.061,1.038,76.532,0.269
-0.023,0.962,0.218,1.465,0.122,0,76.674,-0.177
-0.017,0.967,0.227,2.441,0.488,-0.793,76.955,-0.946
0.001,0.961,0.225,3.235,1.282,-0.732,77.12,-0.73
0.005,0.968,0.236,6.775,5.981,2.441,76.776,-0.485
-0.006,0.955,0.241,-1.099,1.465,0.427,76.44,-0.24
-0.019,0.965,0.243,-1.282,0.916,0.977,76.205,-0.275
-0.016,0.967,0.233,1.465,1.831,0.366,76.106,-0.527
0.017,0.961,0.217,0.183,-1.953,0.061,76.353,-0.35
-0.012,0.961,0.236,-2.38,-1.892,0.977,76.441,-0.432
-0.023,0.954,0.24,6.104,3.662,-0.977,76.451,-0.494
-0.025,0.959,0.225,3.906,1.709,-0.671,76.535,-0.617
0.001,0.96,0.228,0.183,-1.526,2.075,76.357,-0.849
-0.012,0.955,0.235,-0.061,-2.319,-0.732,76.355,-0.85
-0.014,0.956,0.228,1.587,-2.197,0.366,76.536,-0.712
-0.009,0.959,0.223,1.587,-0.061,-0.854,76.569,-0.487
-0.006,0.963,0.209,0.977,-3.052,-1.343,76.844,-0.592
-0.016,0.959,0.225,4.333,1.221,-0.183,76.99,-0.645
-0.027,0.96,0.221,2.808,-1.648,-2.136,77.095,-0.836
-0.016,0.956,0.23,1.892,-1.343,-1.526,76.976,-0.929
0,0.957,0.221,0.122,-2.869,-1.404,76.792,-0.842
0.017,0.962,0.217,1.221,-2.93,-1.099,76.941,-0.373
-0.001,0.957,0.221,3.296,-0.183,-1.77,76.929,0.005
-0.023,0.959,0.216,1.831,-3.296,-0.61,77.138,-0.098
0.013,0.956,0.236,4.639,-0.122,-0.793,76.923,0.087
0.025,0.955,0.236,3.174,2.502,0.183,76.623,0.203
0.016,0.958,0.232,0.549,-0.061,1.282,76.462,0.455
0,0.965,0.227,2.197,-0.854,0.977,76.319,0.778
