aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.053,0.344,0.957,39.49,-3.235,-0.488,19.721,2.996
0.091,0.219,0.959,-9.338,2.38,-3.418,16.321,4.122
0.089,0.337,0.93,-18.738,2.502,-1.099,17.494,4.46
0.126,0.282,0.915,1.343,2.319,-3.296,17.378,5.197
0.083,0.284,0.919,-0.793,1.709,-1.77,16.697,5.697
0.041,0.277,0.937,-9.583,0.916,1.648,17.62,4.98
0.074,0.307,0.931,5.493,1.77,-4.028,17.188,4.775
0.113,0.339,0.922,-14.893,-0.671,2.93,17.96,4.56
0.09,0.369,0.92,-10.437,-2.625,-1.526,19.124,4.639
0.11,0.349,0.923,8.911,1.465,1.648,20.145,5.616
0.129,0.281,0.923,13.794,5.127,4.395,19.814,6.431
0.134,0.301,0.923,4.578,3.418,-2.258,19.274,6.756
0.068,0.262,0.953,7.263,4.211,-4.883,17.661,6.445
0.146,0.256,0.929,0.854,4.395,-2.502,16.322,7.011
0.208,0.268,0.913,3.174,2.686,-0.488,16.128,8.181
0.133,0.27,0.947,-1.16,-0.244,0.671,15.592,8.142
0.173,0.277,0.926,0.183,1.709,-1.038,15.841,9.702
0.19,0.29,0.926,-5.676,-0.854,-2.258,16.291,10.315
0.185,0.313,0.913,-14.099,-0.916,-8.057,16.938,9.947
0.151,0.124,0.862,-5.859,-0.061,-9.46,15.202,10.516
0.151,0.371,0.914,-8.545,-1.526,-0.671,16.625,10.143
0.151,0.369,0.903,-6.226,-2.136,8.057,17.894,9.562
0.138,0.51,0.857,-26.367,-8.057,4.761,20.982,8.84
0.049,0.528,0.781,-18.921,-10.193,-1.953,27.011,7.163
-0.01,0.544,0.816,0.122,-8.179,-6.958,30.053,4.833
-0.023,0.431,0.841,16.846,0.061,-5.737,31.397,2.279
0.03,0.471,0.868,3.784,-0.793,-7.141,30.838,0.681
0.091,0.437,0.843,4.272,-0.183,-0.427,28.367,1.478
0.05,0.449,0.866,5.798,-0.732,-0.305,28.095,1.781
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.046,0.391,0.896,11.841,-0.916,0.732,26.83,2.885
0.028,0.432,0.915,2.319,4.089,-1.77,25.844,3.158
0.041,0.402,0.874,9.155,3.418,4.7,25.207,2.413
0.024,0.395,0.896,8.118,5.798,7.263,24.314,2.029
0.046,0.396,0.904,8.728,7.874,5.737,24.343,2.023
0.037,0.374,0.897,9.399,9.583,4.822,23.683,2.187
0.088,0.357,0.931,9.033,9.888,4.395,22.741,2.849
0.129,0.335,0.919,8.423,5.676,-0.549,21.766,4.378
0.206,0.345,0.898,4.578,2.686,-2.197,21.017,6.729
0.177,0.309,0.91,-0.244,4.089,-2.625,19.962,8.757
0.187,0.314,0.911,7.08,2.93,-3.601,19.388,10.255
0.181,0.333,0.925,2.441,-0.427,-0.122,19.293,10.977
0.206,0.322,0.911,5.798,2.747,-0.977,18.918,10.962
0.221,0.28,0.909,4.883,2.075,1.099,18.48,11.625
0.173,0.301,0.919,-1.099,0.793,0.732,18.268,11.42
0.174,0.321,0.912,-0.122,1.953,-0.61,18.157,11.368
0.19,0.354,0.869,-5.432,0,0.366,18.796,11.22
0.265,0.332,0.875,-9.888,1.465,0.122,19.625,11.886
0.173,0.391,0.903,0.305,-3.54,7.141,20.947,11.838
0.098,0.332,0.924,1.709,-6.592,3.54,21.131,10.706
0.101,0.342,0.921,4.517,-3.967,2.563,20.788,9.315
0.117,0.361,0.886,-1.404,-3.967,-0.732,21.256,7.144
0.108,0.388,0.896,-1.404,-4.395,-1.404,21.3,6.217
0.094,0.394,0.92,1.16,-4.517,-0.122,22.148,6.133
0.023,0.391,0.904,-0.427,-4.761,-1.77,22.952,4.999
0.055,0.264,0.853,3.235,-2.075,-5.127,21.841,4.166
0.059,0.453,0.909,1.343,-0.488,-5.981,22.667,3.398
0.077,0.421,0.909,3.54,1.831,-3.296,23.106,3.139
0.007,0.379,0.885,0.183,2.747,-2.014,23.055,2.915
0.002,0.422,0.915,0.671,-4.761,-0.916,24.804,2.075
0.061,0.341,0.899,21.729,-0.916,1.648,23.394,2.136
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.041,0.368,0.886,11.658,2.869,1.709,22.827,1.627
0.038,0.412,0.934,-2.563,7.568,-3.235,22.991,2.061
0.067,0.427,0.853,11.108,3.784,3.967,23.402,3.042
0.033,0.411,0.89,5.92,3.357,4.883,24.406,2.625
0.024,0.393,0.887,3.784,5.31,6.836,24.734,2.367
0.07,0.391,0.92,12.024,7.446,5.676,24.532,2.837
0.031,0.351,0.893,4.883,8.057,7.019,23.285,2.306
0.058,0.387,0.893,-9.033,7.996,5.737,22.933,2.679
0.101,0.397,0.868,5.188,5.737,1.953,23.071,3.822
0.13,0.442,0.87,-0.244,4.272,-2.197,24.023,4.73
0.155,0.417,0.875,-2.441,-1.587,-5.737,24.93,6.536
0.143,0.454,0.873,-0.549,-3.601,-1.892,25.867,7.743
0.137,0.438,0.869,-0.366,1.343,3.723,26.355,8.225
0.134,0.479,0.846,2.258,2.625,2.014,26.988,8.297
0.158,0.481,0.84,9.827,5.31,-1.099,28.056,8.337
0.224,0.426,0.85,14.709,4.028,-0.854,27.75,9.578
0.133,0.454,0.876,-4.211,-0.671,1.892,27.922,9.487
0.265,0.413,0.821,-7.935,-0.122,-0.488,27.042,11.523
0.186,0.454,0.857,-6.47,1.343,3.479,26.532,11.918
