aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.001,0.954,0.191,15.808,-1.831,-0.366,78.693,0.036
-0.004,0.973,0.189,4.15,0.732,-1.282,78.85,-0.1
0.024,0.946,0.128,-42.053,3.296,-3.784,79.977,0.4
0.005,0.968,0.118,-0.305,2.869,0.61,80.74,0.37
-0.034,1.04,0.015,-69.458,2.075,3.296,83.464,-0.136
-0.074,1.042,-0.09,120.361,23.193,-8.667,87.302,-1.143
0.012,0.744,0.364,-12.451,17.944,5.188,83.733,-1.369
-0.041,0.853,-0.039,40.1,2.93,-11.292,85.577,-2.129
0.018,0.937,-0.052,26.001,8.85,-2.197,86.774,-1.365
0.166,1.501,-0.005,-281.982,19.653,11.78,85.617,2.199
0.072,0.984,-0.015,48.889,22.644,-2.991,86.767,2.873
0.008,0.976,0.018,21.362,-0.732,-1.648,86.493,3.437
0.041,0.972,0.057,-6.897,-9.827,-1.953,86.218,3.713
0.135,0.964,-0.016,32.104,-12.024,-1.038,86.17,3.771
0.171,0.941,0.086,18.616,-1.892,-5.859,84.3,5.272
0.198,0.958,0.08,4.333,0.305,-1.892,81.349,8.079
0.104,0.996,0.113,-10.925,-0.366,0.061,80.261,8.926
0.117,0.983,0.08,25.879,3.418,0.427,79.902,8.611
0.118,0.88,0.079,-110.962,7.08,15.686,80.442,7.982
0.046,1.002,-0.044,75.439,8.728,-3.784,83.382,5.692
0.061,0.837,0.234,39.795,14.771,8.362,82.479,5.263
0.083,0.879,0.083,-30.518,4.883,2.136,82.594,4.878
0.081,0.993,0.114,-16.174,11.902,7.507,82.763,4.151
0.018,0.97,0.061,46.448,5.005,-1.404,81.528,3.745
0.075,0.968,0.202,-42.053,9.644,4.395,82.131,3.832
0.033,0.937,-0.015,21.729,-4.883,-2.502,83.853,3.049
0.071,1.035,0.058,19.409,-13.306,1.221,84.681,2.88
-0.014,0.988,0.125,-13.55,-9.46,4.578,84.113,2.398
0.012,0.995,0.111,5.92,-10.681,-2.563,85.704,1.483
0.026,0.963,0.133,12.146,-6.653,-2.014,83.73,1.357
-0.005,0.988,0.168,13.916,-3.906,-0.122,82.224,0.273
-0.002,1.009,0.174,-15.259,-4.272,-0.305,81.556,0.449
0.031,0.974,0.152,6.958,0.671,0.061,80.916,0.72
0.022,0.966,0.17,31.433,-4.7,7.996,80.403,0.673
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.005,0.936,0.185,17.334,1.038,4.578,80.016,0.821
-0.027,1.05,0.145,-39.124,5.615,-7.08,80.552,0.448
