aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.014,0.974,0.125,19.348,1.648,1.404,82.639,0.805
0.014,0.977,0.155,2.258,0.854,0.305,81.8,0.82
0.006,0.968,0.13,-27.71,4.639,-0.916,81.986,0.66
0.062,0.923,0.124,-11.902,2.075,1.282,81.963,1.41
0.019,0.99,0.058,-0.732,3.113,-0.061,82.946,1.49
0.026,0.95,0.104,-0.977,-2.197,-0.61,83.583,1.68
0.014,0.958,0.048,-0.549,-17.761,-0.977,84.682,1.813
0.012,0.986,0.013,3.357,-5.371,-0.549,86.545,1.055
0.021,0.973,0.104,7.935,-9.949,-1.038,85.873,1.079
0.029,0.979,0.067,1.526,-18.494,-1.282,86.412,1.113
0.013,0.996,0.027,-1.526,-14.282,-1.16,86.743,1.091
0.026,0.995,0.1,7.263,-15.93,-1.404,85.496,1.3
0.044,0.962,0.114,7.507,-27.283,-2.014,85.238,1.647
0.029,0.971,0.106,5.615,-34.241,-2.441,84.688,1.642
0.028,0.964,0.076,10.498,-38.086,-2.319,83.895,1.87
0.01,0.974,0.08,5.859,-32.288,-2.441,84.217,1.634
0.009,0.971,0.094,-0.366,-28.87,-2.625,84.644,1.107
0.024,0.968,0.098,4.272,-33.142,-2.319,84.77,1.04
0.005,0.96,0.099,-1.099,-34.668,-3.113,84.487,0.706
0.021,0.983,0.107,-7.69,-36.926,-3.357,84.079,0.878
-0.005,0.979,0.025,-8.667,-31.86,-2.625,85.106,0.675
0.001,0.976,0.055,4.211,-27.954,-1.526,85.785,0.336
0.008,0.978,0.031,-0.305,-25.208,-1.587,86.783,0.369
0.005,0.982,0.041,-1.526,-22.034,-1.221,87.759,0.134
0.013,0.986,0.033,-4.822,-22.156,-1.221,87.616,0.392
-0.01,0.982,-0.004,-1.953,-19.226,-0.244,88.485,0.233
-0.005,0.981,-0.043,-1.343,-14.404,-0.183,89.59,0.048
-0.004,0.991,-0.037,0.793,-5.005,-0.061,89.26,-0.091
-0.004,0.988,-0.013,2.014,-0.916,0.061,88.556,-0.328
-0.01,0.981,-0.037,0.549,-1.831,0.061,88.08,-0.333
0.006,0.99,-0.022,11.719,7.996,-0.793,88.405,-0.179
-0.005,0.965,0.006,18.555,12.268,0.244,89.01,-0.189
-0.013,0.979,0.043,12.756,17.578,1.099,89.635,-0.329
0.005,0.982,0.068,10.925,21.24,2.014,88.628,-0.105
0.013,0.982,0.09,13.611,27.832,3.784,86.989,-0.002
0.015,0.977,0.128,12.146,28.076,4.333,85.205,0.281
0.009,0.974,0.135,14.526,30.151,5.676,83.847,0.599
0.012,0.953,0.171,13.794,34.851,7.385,82.294,0.697
0.01,0.964,0.216,9.583,33.752,8.057,80.434,0.661
0.017,0.966,0.245,5.676,31.189,8.057,78.73,0.692
0.002,0.952,0.219,6.104,30.273,7.812,77.467,0.602
0.015,0.964,0.243,-6.348,36.377,9.399,76.476,0.647
0.019,0.96,0.215,-10.132,37.109,5.005,76.479,0.766
0.023,0.974,0.187,-0.854,40.222,7.568,77.316,0.851
0.029,0.989,0.19,-8.545,44.373,8.179,77.812,1.233
0.031,0.984,0.172,10.01,36.56,7.385,78.84,1.456
0.055,0.951,0.215,1.831,24.78,5.188,78.73,1.984
0.021,0.955,0.208,1.648,10.925,1.465,78.396,1.973
0.014,0.902,0.086,-53.589,18.25,3.418,79.66,1.802
0.028,1.023,0.141,-7.446,5.31,1.526,80.215,1.749
0.023,0.985,0.022,8.972,-0.427,-0.305,83.133,1.281
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
