aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.004,1.005,0.078,6.47,-1.099,0.854,85.569,0.236
-0.024,0.987,0.056,2.563,0.732,0.854,86.13,-0.564
-0.062,0.94,0.046,-11.23,6.348,-1.587,86.152,-1.6
-0.005,0.981,0.019,1.648,1.831,-0.244,86.837,-1.276
-0.008,0.984,0.062,-4.456,1.16,-0.549,86.954,-1.459
-0.001,0.985,0.027,4.883,-1.038,-0.61,87.476,-1.121
0.007,0.96,0.085,9.583,-17.212,-0.305,87.178,-0.093
0.009,0.98,0.035,3.662,-27.161,-1.648,86.94,0.116
0.015,0.973,0.08,10.315,-36.072,-2.502,86.631,0.444
0.015,0.959,0.073,11.292,-41.992,-3.052,85.914,0.681
0.01,0.994,0.071,3.845,-43.396,-3.174,86.143,0.713
0.007,1.001,0.074,-2.319,-37.842,-2.686,85.605,0.68
0.004,1,0.077,-1.099,-36.133,-2.502,85.709,0.524
-0.042,1.076,0.069,-12.756,-26.123,-1.526,85.897,-0.293
-0.005,0.969,0.047,-4.578,-17.029,-1.465,86.187,-0.511
0.001,0.989,0.059,4.517,-13.123,-1.038,86.371,-0.599
-0.016,0.991,-0.001,1.404,-5.066,-0.488,87.356,-0.89
0.001,0.962,0.091,4.639,1.77,0,87.104,-0.289
-0.005,0.995,0.057,5.31,1.648,-0.061,86.986,-0.28
0.001,0.988,0.047,9.033,4.944,0.732,87.166,-0.273
-0.001,0.974,0.09,10.864,7.263,1.709,85.839,-0.046
-0.015,0.997,0.046,6.958,20.508,2.258,86.522,-0.277
0.002,0.981,0.094,6.592,30.457,3.845,85.983,-0.181
0.007,0.981,0.098,6.409,33.264,4.211,85.237,-0.096
-0.004,0.983,0.089,0.427,41.565,5.92,85.271,-0.145
0.004,0.974,0.103,2.136,52.551,8.789,84.415,0.126
0.031,0.975,0.138,5.981,55.725,8.972,83.737,0.544
0.058,0.937,0.152,1.648,44.434,8.118,82.788,1.287
-0.007,0.952,0.088,-18.799,33.325,5.737,82.744,1.254
0.007,0.948,0.097,3.357,31.311,3.113,82.777,1.319
0.017,0.892,0.187,7.202,0.488,-0.244,81.931,1.136
0.007,0.984,0.094,1.099,0.916,-0.366,82.964,0.362
-0.015,0.956,0.052,6.226,-1.709,-0.671,83.513,0.241
0.004,0.981,0.079,2.686,-1.404,-1.77,83.835,0.193
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.048,1.043,0.121,14.648,-1.953,-0.671,84.978,0.629
0.012,0.962,0.127,-20.752,5.31,0.488,84.468,0.701
0.005,0.968,0.08,2.197,0.732,-0.61,84.054,0.993
0.025,0.989,0.132,8.606,-4.395,-0.488,83.259,1.291
0.028,0.99,0.127,5.92,-26.306,-2.014,83.131,1.018
0.017,0.987,0.094,-1.282,-40.649,-3.54,83.622,1.094
0.042,0.981,0.094,13.611,-47.546,-4.517,83.334,1.621
0.017,1.01,0.089,2.747,-39.978,-3.54,84.004,1.492
0.015,0.976,0.141,5.554,-44.312,-5.127,83.831,1.308
-0.036,1.034,0.05,-6.042,-35.706,-3.845,84.649,0.527
0.006,1,0.11,4.089,-21.423,-2.258,84.469,0.007
0.016,0.977,0.157,3.296,-24.658,-2.747,83.454,0.002
-0.009,0.987,0.082,-3.479,-23.987,-2.441,84.289,-0.331
-0.016,0.995,0.037,-1.587,-7.507,-0.916,84.43,-0.04
0.01,0.957,0.126,4.395,1.465,-0.061,84.135,0.025
-0.002,0.989,0.091,0.916,0.671,0.122,85.093,-0.245
-0.006,0.988,0.092,-1.099,0.671,0.061,84.953,-0.209
-0.004,1.005,0.067,10.803,11.169,2.197,84.529,-0.034
-0.014,0.993,0.075,7.202,37.292,5.188,85.301,-0.384
0.023,0.976,0.161,12.39,44.983,7.446,84.306,-0.018
0.02,0.968,0.164,3.174,44.556,7.874,83.244,0.358
0.007,0.992,0.133,1.221,43.091,7.019,82.267,0.515
0.014,0.954,0.126,7.629,46.692,7.263,81.411,0.932
0.049,0.973,0.155,9.277,47.485,7.324,81.433,1.31
0.01,0.953,0.2,-7.385,31.25,6.348,80.893,1.17
0.025,0.981,0.174,-13.977,18.005,2.93,80.245,1.441
0.014,0.953,0.132,-13.611,7.568,1.404,80.163,1.443
-0.007,0.964,0.109,-1.892,-0.183,-0.61,80.893,0.621
-0.012,0.997,0.077,2.869,0.549,-0.244,82.796,0.292
0,0.95,0.095,5.432,0,0.305,83.903,-0.074
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.004,0.962,0.093,13.489,-2.93,-1.648,84.481,-0.228
0.027,0.982,0.128,-30.701,2.075,0.671,84.226,0.281
0.026,0.969,0.112,6.226,-1.038,-1.282,83.609,0.84
0.034,0.887,0.176,16.479,-21.667,-2.502,82.236,1.357
0.03,0.958,0.165,12.878,-42.908,-6.653,81.111,1.747
