aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.001,0.964,0.153,18.799,-1.465,1.587,80.981,-0.057
-0.003,0.99,0.131,-20.325,3.174,-1.648,81.722,-0.11
-0.008,1.184,0.052,102.966,14.221,-1.831,83.874,-0.213
0.08,0.743,0.418,-267.517,-16.113,17.334,78.95,0.992
0.013,0.962,0.155,-21.484,-5.188,0.488,78.892,1.194
0.055,1.105,0.303,19.531,-21.179,-5.432,76.765,1.957
0.079,0.812,0.257,45.105,-43.457,-13.062,72.308,3.419
-0.093,0.895,0.062,-126.831,-50.903,-0.122,78.34,0.791
0.029,1.306,0.205,-33.447,-35.889,-2.258,78.608,0.946
0.025,0.789,0.115,8.179,-51.453,-11.047,80.436,0.584
0.055,1.109,0.253,-1.038,-57.556,-9.033,81.18,0.213
-0.023,0.869,-0.042,-18.066,-48.523,-9.521,82.468,1.199
0.031,1.014,0.181,-9.338,-37.109,-2.319,82.241,1.315
-0.018,0.969,0.094,-27.893,-40.894,-4.7,82.968,0.638
-0.009,0.982,0.001,-0.061,-18.982,-1.831,86.492,-0.288
0.001,1.005,0.033,4.211,3.296,0.305,85.539,0.061
0,0.943,0.101,29.236,22.888,5.127,86.611,-0.38
-0.034,0.942,-0.062,48.767,11.108,-0.427,88.748,-0.621
-0.027,0.914,-0.049,-11.414,39.124,5.188,89.023,-0.908
0.045,1.365,0.068,66.04,38.391,-2.625,89.161,-0.227
0.003,0.875,0.152,37.781,20.691,1.526,88.45,-0.195
0.006,1.036,0.17,50.659,33.081,7.141,85.322,0.363
0.015,0.898,0.182,-113.159,56.274,15.198,82.125,0.941
-0.01,0.955,-0.005,23.193,32.41,2.136,82.423,0.221
-0.015,1.017,0.016,27.039,51.27,2.197,84.668,-0.052
0.018,0.911,0.128,13.367,50.415,8.057,85.123,0.125
0.01,0.974,0.196,18.188,44.617,7.812,85.023,0.043
0.045,0.975,0.229,5.981,26.855,4.15,81.598,0.849
0.003,0.959,0.17,4.639,19.836,3.357,79.224,1.123
0.037,0.893,0.242,21.118,5.005,2.014,77.514,1.399
0.012,0.966,0.178,5.249,0.549,-0.244,77.74,1.436
0.005,0.953,0.197,21.057,-2.991,1.221,78.202,0.857
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.003,0.96,0.211,3.418,0.183,-0.549,77.605,0.771
0.069,0.846,0.192,-18.86,5.432,-4.944,78.14,1.261
0.032,0.978,0.305,36.255,0.061,-0.549,76.302,1.546
0.039,0.895,0.389,-8.057,-10.986,-2.502,73.262,2.047
0.016,0.793,0.271,-31.494,-22.827,-3.479,71.601,2.408
0.002,1.067,0.233,-4.7,-22.034,-5.31,72.159,1.304
-0.01,0.795,0.37,20.142,-28.564,-11.902,70.392,0.718
0.035,1.168,0.335,-75.012,-29.175,-7.08,72.438,0.614
0.034,0.831,0.303,48.035,-50.903,-15.686,72.162,0.873
0.002,0.974,0.261,29.297,-49.805,-17.822,71.362,0.883
0.006,0.988,0.23,-36.804,-41.565,-12.451,74.054,1.078
0.008,0.948,0.232,-4.028,-38.208,-9.766,74.648,0.745
0.007,0.943,0.183,-10.437,-34.18,-7.202,76.766,0.329
0.006,0.988,0.172,5.676,-36.865,-7.996,78.069,0.389
0.004,0.972,0.167,4.639,-19.226,-3.052,78.925,0.351
0.001,0.986,0.159,13.367,3.601,0.549,80.073,0.259
0,0.909,0.218,-18.433,8.179,4.761,79.478,0.169
-0.038,1.025,0.075,78.613,11.292,-1.648,80.947,-0.472
