aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.864,0.215,-0.421,16.907,-0.793,5.31,12.613,61.331
0.859,0.239,-0.436,-13.855,4.211,-2.075,13.284,60.638
0.908,0.227,-0.396,7.568,3.601,0.793,13.154,61.552
0.872,0.226,-0.44,5.493,4.761,1.16,13.128,61.266
0.866,0.25,-0.463,5.554,6.714,2.502,13.548,60.609
0.839,0.26,-0.528,2.686,17.273,10.742,13.758,59.337
0.782,0.375,-0.582,12.146,34.363,12.634,15.854,55.595
0.739,0.364,-0.656,-6.897,49.866,27.1,17.678,51.608
0.674,0.322,-0.728,8.24,55.481,23.804,18.597,47.064
0.516,0.398,-0.781,-5.432,58.35,28.015,20.709,41.078
0.389,0.453,-0.79,-1.038,48.218,28.564,22.253,34.842
0.271,0.388,-0.826,-0.305,29.419,17.822,23.263,27.918
0.185,0.442,-0.861,-0.488,19.287,10.071,25.459,20.379
0.114,0.461,-0.913,-1.648,18.677,7.812,26.338,14.12
0.038,0.494,-0.917,-0.183,30.396,12.817,26.562,8.764
-0.032,0.429,-0.883,9.521,33.752,15.076,26.96,4.345
-0.107,0.412,-0.935,7.385,31.799,12.329,26.201,0.177
-0.246,0.461,-0.945,14.099,53.284,22.644,25.91,-4.842
-0.338,0.477,-0.731,10.925,52.368,26.55,26.501,-10.446
-0.444,0.429,-0.784,-1.343,35.461,23.071,26.433,-16.496
-0.583,0.431,-0.703,-5.432,40.405,20.874,26.863,-23.885
-0.669,0.361,-0.626,3.601,45.776,19.348,25.901,-31.559
-0.733,0.288,-0.526,11.047,39.124,16.052,22.822,-38.631
-0.801,0.278,-0.49,6.348,26.794,11.108,20.463,-45.788
-0.843,0.309,-0.449,5.493,23.804,12.329,18.511,-51.429
-0.878,0.248,-0.36,4.822,23.804,9.399,16.754,-56.644
-0.896,0.208,-0.365,-2.441,16.296,4.944,15.341,-60.12
-0.943,0.182,-0.331,-16.113,22.4,2.563,13.758,-63.46
-0.926,0.23,-0.294,-21.118,20.508,-3.357,12.584,-66.219
-0.931,0.238,-0.18,-8.24,26.978,7.751,12.479,-68.56
-0.961,0.297,-0.276,-0.366,-0.671,-6.897,13.604,-69.083
-0.977,0.21,-0.21,-0.122,-4.517,-1.526,13.99,-70.164
-0.958,0.203,-0.178,-1.526,0.183,-0.488,13.606,-71.642
-0.964,0.207,-0.168,2.991,-4.395,-0.427,13.076,-72.211
-0.932,0.164,-0.15,22.644,-8.057,-2.991,11.387,-74.59
-0.9,0.297,-0.247,24.902,-25.696,-22.156,12.825,-73.033
-0.819,0.353,-0.341,-3.906,-44.8,-23.254,15.323,-69.31
-0.797,0.33,-0.346,7.324,-53.589,-19.836,17.56,-65.433
-0.589,0.506,-0.553,5.554,-67.81,-26.184,23.333,-55.907
-0.496,0.508,-0.748,5.249,-65.125,-16.724,26.837,-45.947
-0.315,0.485,-0.893,4.456,-51.88,-27.405,28.569,-35.072
-0.188,0.593,-0.843,3.113,-44.312,-21.79,31.4,-23.304
-0.078,0.545,-0.794,5.798,-36.377,-20.752,31.712,-15.41
0.071,0.598,-0.828,-6.714,-42.419,-19.043,33.183,-7.235
0.187,0.554,-0.828,13,-28.259,-17.09,34.822,-0.126
0.271,0.541,-0.782,0.854,-29.053,-21.362,34.448,6.546
0.423,0.556,-0.747,18.066,-41.321,-34.119,34.076,13.729
0.519,0.525,-0.675,21.24,-28.259,-27.649,33.079,20.571
0.632,0.521,-0.659,-12.817,-33.569,-25.391,32.166,27.301
0.728,0.513,-0.608,9.949,-36.438,-24.17,30.848,33.936
0.74,0.452,-0.527,2.075,-20.02,-18.188,29.184,39.438
0.829,0.284,-0.504,-16.846,-9.155,-4.456,25.422,45.285
0.845,0.318,-0.4,-5.432,-18.616,-7.019,22.701,50.705
0.872,0.324,-0.395,12.451,-8.606,-3.601,20.134,55.16
0.896,0.294,-0.368,9.46,-21.79,-10.559,17.694,59.028
0.909,0.286,-0.323,14.038,-6.165,-3.357,17.73,61.349
0.919,0.271,-0.262,19.897,-5.737,1.465,17.008,63.562
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.914,0.302,-0.293,6.653,0.549,0.977,16.679,64.989
0.913,0.261,-0.285,-10.376,3.479,-0.854,16.269,66.171
0.906,0.273,-0.324,-1.099,1.77,-0.671,16.104,66.26
0.911,0.271,-0.324,3.601,0.366,-0.61,16.051,65.62
0.907,0.253,-0.309,2.197,1.587,0.244,15.383,65.847
0.922,0.262,-0.323,1.831,0.916,0.549,15.322,65.513
0.927,0.239,-0.286,-0.793,5.493,4.333,14.819,66.308
0.865,0.29,-0.462,-4.822,15.381,14.465,15.076,64.472
0.825,0.371,-0.461,-7.324,38.208,27.771,16.776,61.491
0.767,0.382,-0.545,-2.014,37.292,21.118,18.597,57.303
0.695,0.444,-0.579,-2.441,31.25,18.555,21.594,51.253
