aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.906,0.131,-0.383,12.268,-2.869,6.714,7.609,65.905
0.899,0.149,-0.337,-19.287,1.892,-9.46,8.208,66.829
0.923,0.165,-0.382,-9.766,2.808,-2.319,8.615,66.46
0.894,0.163,-0.441,0.244,18.799,-0.793,8.788,65.396
0.825,0.21,-0.588,-13.977,46.753,20.996,9.875,62.064
0.823,0.277,-0.706,10.925,98.694,27.649,11.364,56.788
0.67,0.316,-0.835,14.038,103.027,34.302,13.227,49.473
0.446,0.301,-1.065,21.912,111.694,40.405,14.661,39.279
0.164,0.377,-0.903,-8.118,108.276,42.603,17.269,29.4
-0.164,0.389,-0.796,16.724,91.919,30.09,20.15,16.149
-0.324,0.378,-0.721,19.592,41.748,19.653,22.5,1.864
-0.472,0.278,-0.587,0.366,16.174,9.277,24.555,-13.442
-0.421,0.343,-0.696,5.31,-30.212,-15.503,23.963,-23.822
-0.308,0.424,-0.645,-7.202,-54.871,-25.391,24.962,-26.879
-0.073,0.497,-0.809,-0.732,-91.492,-48.462,27.06,-22.054
0.199,0.552,-0.909,39.001,-78.003,-47.729,30.217,-9.6
0.364,0.508,-0.897,-15.93,-71.594,-35.339,31.232,2.752
0.576,0.487,-0.834,-3.784,-63.171,-33.447,29.501,14.903
0.729,0.345,-0.708,-6.531,-56.091,-37.781,26.246,25.918
0.809,0.35,-0.599,1.526,-41.565,-26.001,23.305,35.48
0.825,0.333,-0.531,14.465,-30.09,-14.404,20.869,43.728
0.824,0.303,-0.414,-13.794,-12.024,-2.441,18.831,50.614
0.885,0.2,-0.377,20.874,-38.452,-11.841,17.1,55.96
0.913,0.188,-0.365,22.766,-26.733,-13.245,14.95,60.207
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.928,0.177,-0.369,35.461,-0.854,14.282,12.674,63.7
0.992,-0.187,-0.629,-62.561,38.818,6.409,5.279,64.42
0.888,0.207,-0.691,-7.568,79.773,33.386,5.195,60.688
0.721,0.32,-0.846,7.385,111.938,31.616,6.795,53.763
0.53,0.394,-0.898,18.372,108.643,37.842,9.525,44.821
0.243,0.241,-1.016,33.997,101.135,51.208,15.495,33.184
-0.021,0.389,-0.798,-15.015,99.304,44.617,19.246,21.173
-0.253,0.378,-0.723,-1.404,59.204,21.973,22.003,7.66
-0.46,0.296,-0.795,2.991,37.354,11.841,21.172,-7.806
-0.514,0.395,-0.678,-4.333,30.518,7.874,24.207,-20.534
-0.518,0.284,-0.607,14.16,4.883,-2.136,22.275,-29.271
-0.475,0.284,-0.581,2.93,-26.611,-6.531,20.824,-33.746
-0.4,0.422,-0.789,19.348,-68.542,-23.071,22.957,-32.487
-0.118,0.51,-0.942,-0.366,-77.271,-30.212,24.534,-24.717
0.073,0.496,-0.793,4.883,-77.637,-31.372,27.868,-14.54
0.344,0.486,-0.926,10.315,-90.881,-45.898,29.014,-1.457
0.512,0.467,-0.827,0,-78.369,-45.288,28.674,11.466
0.762,0.405,-0.731,7.446,-86.426,-46.143,26.688,24.19
0.811,0.343,-0.614,-6.714,-41.748,-23.193,23.367,34.501
0.828,0.333,-0.505,1.77,-17.822,-21.24,21.364,43.297
0.869,0.176,-0.446,-1.343,-23.865,-6.653,17.457,51.331
0.915,0.224,-0.349,2.441,-22.461,-6.775,15.33,57.327
0.908,0.168,-0.352,16.846,-13.855,-2.319,13.034,61.871
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.966,0.242,-0.229,4.517,1.587,3.723,13.693,70.963
0.935,0.311,-0.225,-26.794,13.428,-5.676,15.79,69.384
