aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.036,0.898,0.264,18.066,1.038,0.183,73.495,-2.181
-0.036,0.93,0.267,-9.338,2.747,0,73.668,-2.149
-0.033,0.953,0.256,16.357,2.075,-0.916,74.072,-2.073
-0.041,0.948,0.249,-0.854,-1.77,-1.77,74.339,-2.151
-0.029,0.95,0.271,2.991,-1.526,-0.305,74.452,-2.019
-0.004,0.9,0.34,15.686,-17.395,-2.991,73.359,-1.563
-0.033,0.934,0.296,3.967,-26.367,-6.409,72.718,-1.557
-0.04,0.908,0.258,7.141,-32.41,-9.766,72.413,-1.564
-0.042,0.926,0.255,4.211,-33.325,-10.498,72.517,-1.781
-0.023,0.939,0.297,4.028,-27.649,-8.667,73.276,-2.042
-0.029,0.935,0.316,5.554,-24.414,-7.141,73.006,-1.983
-0.036,0.895,0.309,20.874,-30.823,-8.606,72.24,-1.917
-0.05,0.908,0.307,9.46,-30.884,-9.521,71.419,-2.031
-0.028,0.907,0.329,7.874,-31.555,-11.108,70.808,-2.126
-0.03,0.925,0.316,5.676,-36.499,-11.78,70.754,-2.153
-0.045,0.956,0.305,4.639,-30.457,-7.812,71.092,-2.251
-0.056,0.934,0.298,-0.183,-24.353,-5.127,71.323,-2.319
-0.058,0.927,0.295,-5.92,-26.001,-7.202,71.817,-2.747
-0.059,0.945,0.273,-7.446,-27.039,-5.676,72.433,-3.16
-0.082,0.959,0.236,-9.583,-29.419,-7.385,73.281,-3.723
-0.066,0.969,0.18,-1.221,-18.677,-3.845,74.989,-3.878
-0.079,0.951,0.187,-1.038,-18.372,-3.113,76.455,-4.179
-0.07,0.971,0.178,-5.798,-19.958,-2.808,77.755,-4.331
-0.083,0.97,0.126,-4.333,-16.357,-2.197,79.231,-4.344
-0.081,0.978,0.117,0.061,-8.118,-0.549,79.975,-4.558
-0.071,0.974,0.133,-2.197,-8.728,-1.648,80.767,-4.434
-0.074,0.972,0.166,-8.545,-12.085,-4.333,80.893,-4.487
-0.073,0.975,0.065,-6.897,-14.954,-2.014,81.728,-4.36
-0.08,0.98,0.047,-0.793,-10.864,-1.16,82.584,-4.348
-0.081,0.985,0.043,0.244,-6.042,-0.61,83.514,-4.49
-0.087,0.984,0.042,2.441,-0.244,0.122,84.516,-4.68
-0.073,0.977,0.074,4.639,2.319,0,84.451,-4.673
-0.072,0.979,0.068,2.686,2.136,0.427,84.375,-4.558
-0.074,0.981,0.067,4.395,2.747,0.183,84.241,-4.457
-0.077,0.966,0.053,12.573,11.047,0.244,84.225,-4.326
-0.071,0.98,0.105,14.648,15.869,0.977,83.941,-4.29
-0.062,0.952,0.166,14.832,14.099,2.563,82.905,-4.159
-0.061,0.972,0.168,9.827,17.151,2.502,81.734,-3.971
-0.056,0.963,0.202,7.019,19.958,4.15,79.892,-3.657
-0.052,0.978,0.25,11.108,18.616,3.601,78.013,-3.357
-0.049,0.953,0.264,7.507,14.404,3.784,76.725,-3.164
-0.056,0.938,0.255,8.85,13.794,4.517,75.438,-3.1
-0.063,0.944,0.245,0.427,18.494,5.859,74.763,-3.195
-0.06,0.959,0.272,7.324,22.827,6.714,74.366,-3.328
-0.054,0.924,0.3,5.859,18.311,6.226,73.753,-3.415
-0.062,0.947,0.28,5.737,20.081,5.798,73.438,-3.487
-0.063,0.926,0.298,-1.343,23.743,6.897,72.642,-3.489
-0.047,0.954,0.287,-2.075,24.658,7.568,72.453,-3.293
-0.037,0.956,0.315,12.695,27.222,8.85,72.42,-3.01
-0.037,0.924,0.372,6.287,19.165,6.836,71.12,-2.649
-0.04,0.889,0.362,28.381,14.832,4.639,70.121,-2.328
-0.048,0.911,0.342,-3.113,12.207,4.578,69.158,-2.358
-0.052,0.933,0.34,2.869,17.822,6.775,68.682,-2.593
-0.045,0.907,0.371,8.179,18.921,7.629,68.594,-2.71
-0.041,0.895,0.386,4.456,15.015,6.165,68.294,-2.721
-0.05,0.903,0.376,0.61,10.376,4.517,67.789,-2.741
-0.048,0.911,0.386,1.709,10.498,4.211,67.055,-2.679
-0.044,0.915,0.373,-2.991,8.118,3.479,67.078,-2.662
-0.052,0.923,0.347,-1.831,12.634,5.005,67.745,-2.814
-0.051,0.915,0.341,5.554,18.799,7.202,68.271,-2.838
-0.037,0.902,0.354,-0.977,16.418,5.92,68.669,-2.687
-0.045,0.923,0.343,0,14.954,5.371,69.107,-2.709
-0.039,0.909,0.368,3.174,14.954,5.676,68.764,-2.517
-0.031,0.925,0.364,2.075,6.409,2.319,68.549,-2.214
-0.056,0.922,0.294,0.854,8.972,3.235,69.437,-2.502
-0.057,0.926,0.306,0.854,14.954,4.456,69.937,-2.674
-0.036,0.929,0.336,0.854,17.456,5.798,70.48,-2.631
-0.029,0.918,0.369,0.793,10.864,3.601,70.374,-2.6
-0.04,0.896,0.28,-1.282,2.319,1.038,70.467,-2.38
-0.042,0.938,0.279,-17.212,13.489,4.944,70.92,-2.164
-0.039,0.967,0.296,-1.953,4.089,0.732,71.649,-2.189
-0.045,0.952,0.245,-0.122,1.648,0.61,73.482,-2.431
-0.026,0.99,0.266,4.639,6.409,2.38,74.078,-2.186
-0.045,0.945,0.229,3.906,-0.122,-0.305,74.782,-2.236
-0.047,0.981,0.213,9.399,-1.404,0.061,75.958,-2.361
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.041,0.954,0.284,5.371,0.183,0.183,75.434,-2.289
-0.038,0.976,0.23,-5.554,2.502,-0.732,75.856,-2.469
-0.029,0.934,0.275,2.747,-1.16,-1.587,75.228,-2.234
-0.043,0.95,0.256,1.526,-2.93,-0.549,74.516,-2.183
-0.038,0.965,0.246,-1.892,-8.179,-1.282,75.09,-2.145
-0.039,0.945,0.262,3.784,-8.606,-1.221,74.525,-2.175
-0.037,0.951,0.278,1.526,-16.296,-2.625,74.533,-2.28
-0.051,0.963,0.254,3.906,-18.25,-3.296,74.6,-2.396
-0.049,0.931,0.24,6.226,-17.273,-3.235,74.526,-2.578
-0.039,0.941,0.267,1.892,-24.536,-4.883,74.438,-2.569
-0.054,0.962,0.251,5.798,-28.564,-5.798,74.815,-2.812
-0.068,0.955,0.253,1.465,-25.635,-5.371,74.743,-3.058
-0.055,0.95,0.233,3.479,-27.771,-5.676,74.904,-3.123
-0.065,0.942,0.207,-1.16,-23.254,-5.31,75.648,-3.514
-0.065,0.962,0.204,-3.052,-21.79,-3.784,76.24,-3.694
-0.07,0.946,0.178,4.578,-20.142,-3.784,77.237,-3.75
-0.071,0.966,0.188,-2.991,-18.372,-3.235,77.827,-3.981
-0.068,0.977,0.167,-9.094,-14.648,-2.197,78.46,-4.001
-0.078,0.961,0.131,-1.709,-16.052,-2.258,79.364,-4.197
-0.07,0.975,0.121,-2.075,-18.677,-2.319,80.178,-4.175
-0.067,0.966,0.07,-5.737,-17.029,-2.136,81.711,-4.142
-0.075,0.984,0.07,-4.272,-11.475,-0.977,82.846,-4.247
-0.069,0.975,0.073,3.54,-11.23,-0.61,83.61,-4.105
-0.067,0.992,0.027,-2.319,-12.512,-1.038,84.641,-4.052
-0.071,0.984,0.052,2.991,-12.085,-0.549,84.784,-4.092
-0.067,0.983,0.034,-0.305,-15.442,-0.732,85.18,-3.983
-0.074,0.979,0.024,-0.732,-18.616,0.061,85.473,-4.064
-0.077,0.992,-0.005,-2.563,-10.742,-0.244,85.527,-4.206
-0.077,0.984,-0.022,1.648,-1.526,0,85.682,-4.295
-0.068,0.979,0.022,2.197,0.305,-0.671,85.673,-4.318
-0.071,0.983,0.01,3.479,1.587,-0.305,85.738,-4.262
-0.074,0.982,0.009,6.897,5.981,-0.732,85.758,-4.234
-0.076,0.982,0.009,8.362,10.742,0.122,85.727,-4.212
-0.083,0.978,0.057,10.193,13.733,1.648,85.41,-4.423
-0.072,0.98,0.086,6.409,13.428,0.854,84.979,-4.441
