aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.003,0.954,0.232,11.963,-0.977,0,76.341,-0.199
-0.001,0.996,0.208,-29.785,2.258,-2.869,77.294,-0.122
0.014,0.934,0.246,0.488,0.061,-0.671,76.623,0.189
0.062,0.927,0.301,3.296,-34.302,-5.005,75.446,1.039
0.029,0.951,0.201,4.517,-58.228,-11.719,75.826,1.509
0.02,0.968,0.263,1.221,-54.993,-13.123,74.914,1.817
0.012,0.971,0.213,11.23,-55.786,-11.963,75.519,1.782
-0.001,0.971,0.178,1.099,-47.485,-11.169,77.484,0.868
0.001,0.959,0.262,11.108,-34.424,-8.179,76.674,0.461
-0.036,0.973,0.145,-3.906,-10.315,-2.502,78.357,-0.348
-0.007,0.905,0.291,14.954,2.991,1.404,77.033,-0.643
-0.019,0.974,0.24,6.836,2.258,0.671,76.14,-0.905
-0.038,0.971,0.216,-10.132,13.245,2.991,76.778,-1.465
-0.012,0.954,0.241,5.188,36.133,8.972,75.397,-1.107
0.018,0.946,0.302,6.897,41.382,13.245,75.419,-0.729
0.029,0.949,0.326,7.08,34.363,10.803,74.149,-0.028
0.025,0.951,0.266,4.089,37.231,12.268,73.359,0.873
0.021,0.927,0.291,3.906,46.387,15.198,72.514,1.356
0.019,0.953,0.342,-1.648,34.241,9.277,71.995,1.366
0.014,0.932,0.288,1.831,30.273,9.216,72.462,1.156
0.037,0.926,0.358,0.305,18.738,5.554,71.068,1.329
0,0.96,0.268,-11.169,-1.831,-0.854,71.56,1.008
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.006,0.941,0.282,5.981,-0.183,-0.122,72.327,0.824
0.011,0.942,0.264,-19.897,2.319,-2.563,72.7,0.783
0.017,0.931,0.244,1.404,-1.77,-0.793,74.325,0.496
0.042,0.929,0.347,0.732,-13.062,-2.258,73.057,1.11
0.025,0.956,0.226,-1.831,-42.603,-7.874,73.886,1.391
0.03,0.97,0.166,-1.648,-42.419,-6.714,75.342,1.662
0.019,0.961,0.251,5.615,-46.692,-7.751,75.348,1.676
0.001,0.964,0.174,6.287,-41.443,-9.399,77.967,1.084
0.001,0.972,0.224,-3.418,-41.382,-9.033,78.072,0.736
-0.005,0.976,0.205,5.859,-32.104,-6.47,77.561,0.229
-0.007,0.959,0.224,10.254,-23.315,-4.272,77.946,-0.136
-0.018,0.953,0.197,0.61,-18.982,-4.028,77.582,-0.402
-0.02,0.991,0.208,8.179,2.441,1.282,77.859,-0.705
-0.009,0.953,0.251,0.854,1.953,0.366,77.137,-0.764
-0.029,0.962,0.231,8.362,11.047,4.028,77.024,-1.081
-0.008,0.975,0.228,7.812,20.081,5.188,76.664,-0.929
-0.009,0.95,0.239,8.972,35.706,10.376,76.091,-0.783
0.005,0.93,0.282,0.244,37.537,11.414,75.579,-0.589
0.001,0.965,0.267,0.122,40.222,11.658,75.087,-0.154
0.019,0.926,0.306,9.033,44.556,14.526,73.81,0.226
0.025,0.913,0.308,1.404,35.095,11.658,72.678,0.728
