aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.058,0.983,0.127,23.315,-3.296,-0.61,81.912,-3.334
-0.055,0.956,0.155,-24.231,4.089,0.061,81.079,-3.306
-0.053,0.989,0.076,0.793,1.465,0.305,82.308,-3.226
-0.097,0.996,0.103,-5.92,3.357,-1.282,82.284,-3.815
-0.067,0.998,0.064,4.456,3.784,-1.709,83.008,-3.943
-0.052,0.989,0.089,8.789,7.202,-0.61,83.857,-3.864
-0.159,0.988,0.14,9.399,5.737,-3.052,82.185,-5.367
-0.028,0.964,0.13,8.728,8.118,-2.625,82.447,-4.42
0.008,0.989,0.151,5.005,9.155,-0.488,81.892,-3.332
-0.013,0.963,0.153,7.69,6.897,3.052,81.178,-2.786
0.022,0.978,0.189,1.831,0.916,1.648,80.897,-0.158
-0.024,0.969,0.191,-2.197,-2.563,2.441,80.044,-0.09
0.004,0.963,0.141,0.366,-6.653,-1.709,80.118,-0.155
0,0.977,0.165,4.944,-1.038,0.427,79.993,0.03
-0.022,0.978,0.155,0.305,-1.343,-0.793,80.463,-0.621
-0.016,0.981,0.155,1.526,-0.916,-0.916,81.01,-0.51
-0.032,0.973,0.157,3.601,2.319,0.854,80.761,-1.032
-0.02,0.968,0.164,6.226,3.235,1.648,80.718,-1.315
-0.014,0.962,0.168,3.662,2.869,1.587,80.504,-1.197
-0.021,0.961,0.187,3.601,2.808,1.099,80,-1.275
-0.035,0.969,0.181,1.404,1.282,0.305,79.65,-1.315
-0.032,0.973,0.171,2.197,1.221,-0.549,79.532,-1.488
-0.028,0.969,0.186,2.869,2.136,-0.183,79.264,-1.681
-0.031,0.969,0.174,2.563,0.427,-1.038,79.441,-1.819
-0.018,0.97,0.179,1.038,-0.427,-1.16,79.509,-1.567
-0.021,0.972,0.183,-0.061,-1.038,-1.892,79.362,-1.414
-0.023,0.969,0.187,1.404,0.183,-1.038,79.36,-1.341
-0.015,0.97,0.185,1.648,-0.183,-1.038,79.229,-1.103
0.006,0.951,0.194,2.014,1.038,15.442,78.992,-0.756
-0.002,0.951,0.198,0.854,1.465,0.854,78.737,-0.477
-0.013,0.968,0.172,4.333,0.977,1.709,78.96,-0.332
-0.033,0.954,0.198,2.197,2.014,0.793,78.715,-0.603
-0.02,0.974,0.161,4.456,2.136,0.183,79.232,-0.989
-0.02,0.964,0.186,-0.488,-0.488,-0.793,79.41,-1.254
-0.02,0.957,0.201,9.46,3.845,-0.916,78.956,-1.361
0.003,0.961,0.187,3.601,1.709,-1.526,79.184,-0.834
0.001,0.945,0.192,-2.747,0.488,2.014,78.664,-0.534
-0.045,0.963,0.186,5.127,5.066,2.258,78.644,-0.898
-0.027,0.951,0.187,5.127,0.793,-1.221,78.818,-0.999
-0.018,0.955,0.201,2.808,2.869,0.549,78.572,-1.312
0.006,0.963,0.176,4.089,0.305,-1.343,78.872,-1.223
-0.011,0.952,0.217,-1.221,0.854,-0.977,78.425,-0.732
0.018,0.962,0.204,0.61,-0.793,-1.343,78.231,-0.077
-0.005,0.97,0.201,4.517,-1.587,0.488,78.275,0.119
-0.006,0.95,0.209,5.859,3.296,0.793,77.756,-0.066
-0.017,0.962,0.224,3.296,2.136,0,77.699,-0.144
-0.035,0.96,0.238,5.615,4.883,1.404,77.185,-0.912
-0.014,0.945,0.226,2.319,3.418,1.465,76.738,-1.052
-0.028,0.885,0.273,-21.057,-6.653,-0.549,75.572,-1.392
-0.011,0.969,0.163,-3.296,-1.892,0.366,76.47,-1.308
-0.032,0.94,0.171,4.517,-0.793,0.732,77.373,-1.276
-0.039,0.967,0.187,1.221,-1.77,0.305,77.962,-1.643
-0.053,0.967,0.19,0.732,-1.221,-0.732,79.335,-1.979
-0.042,0.963,0.169,-0.427,-4.517,-0.244,79.143,-2.44
-0.07,0.984,0.178,5.92,-4.7,1.343,79.032,-2.963
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.048,0.953,0.208,7.202,-0.183,0.488,78.673,-3.103
-0.047,0.951,0.198,-9.827,2.93,-0.488,78.535,-3.03
-0.033,0.941,0.177,-2.808,-1.465,-1.587,78.4,-2.904
-0.056,0.961,0.167,-1.038,-1.709,0.244,78.528,-2.71
-0.03,0.979,0.14,4.761,4.028,-2.197,79.625,-2.441
-0.042,0.957,0.182,7.385,5.005,-1.648,79.885,-2.352
-0.087,0.966,0.187,8.118,5.188,-0.854,79.601,-3.123
0.013,0.955,0.182,10.071,7.202,-2.014,79.627,-2.12
-0.031,0.909,0.203,16.479,6.775,-1.221,78.526,-2.169
0.041,0.949,0.238,3.967,2.869,0.549,77.86,-0.948
0.048,0.969,0.214,0.61,2.075,0.977,77.472,1.047
-0.017,0.963,0.219,3.052,0.854,0.122,77.006,0.595
-0.021,0.953,0.233,5.676,2.136,-1.343,76.728,0.74
-0.06,0.931,0.241,8.301,2.136,-1.77,76.621,-0.731
0.002,0.943,0.246,6.042,2.686,-1.831,76.023,-1.413
0.008,0.938,0.263,4.089,2.991,-0.488,75.333,-1.049
0.001,0.949,0.255,-2.869,2.502,4.639,75.012,-0.727
-0.005,0.951,0.259,2.319,3.296,1.77,74.85,0.089
0.002,0.945,0.26,2.625,3.296,1.16,74.662,0.086
-0.017,0.941,0.251,-0.916,-5.188,-1.953,74.842,-0.275
-0.003,0.967,0.238,5.127,-7.69,-1.526,75.155,-0.332
0.008,0.941,0.262,-1.648,-4.089,-2.075,75.085,-0.143
0.008,0.949,0.233,-0.671,-0.488,2.258,75.481,-0.053
-0.028,0.96,0.236,1.404,1.526,1.282,75.757,-0.215
-0.008,0.949,0.232,1.526,1.831,0.305,75.78,-0.291
0.014,0.957,0.227,1.953,3.723,1.953,76.337,-0.203
-0.037,0.965,0.233,2.441,2.319,0.549,76.374,-0.857
-0.017,0.967,0.228,4.15,2.319,-1.709,76.527,-0.703
0,0.949,0.248,2.502,1.099,-1.77,76.3,-0.586
0.015,0.957,0.238,1.343,0.61,0.244,76.134,-0.584
-0.007,0.958,0.243,-0.916,0.549,2.808,75.972,-0.143
0.004,0.966,0.216,4.028,0.305,-0.366,76.141,0.16
-0.003,0.947,0.245,7.507,3.54,0.183,76.18,0.122
-0.046,0.959,0.243,8.362,4.15,2.502,76.1,-0.75
0.052,0.965,0.256,0.977,-3.601,-1.038,75.959,0.106
-0.016,0.95,0.279,-3.662,0.854,1.282,75.005,-0.173
-0.012,0.939,0.284,5.737,1.526,0.061,74.422,-0.309
0.002,0.952,0.27,2.38,0.305,0.549,74.022,0.382
-0.017,0.961,0.244,-3.601,-1.16,-0.916,74.163,-0.618
-0.008,0.947,0.259,-0.244,1.343,-1.038,74.44,-0.504
-0.014,0.955,0.24,-1.282,0.122,0.61,75.114,-0.526
-0.015,0.954,0.257,0,2.319,0.854,75.286,-0.773
-0.024,0.952,0.236,0.244,2.625,1.099,75.358,-0.883
-0.032,0.965,0.229,-1.404,0.427,-1.953,75.813,-1.237
-0.019,0.965,0.217,1.77,1.892,0.305,76.169,-1.312
-0.047,0.956,0.249,2.747,1.77,0.061,76.236,-1.775
0.005,0.949,0.229,6.165,2.808,-0.427,76.373,-1.345
-0.01,0.91,0.267,10.193,4.944,0.61,75.681,-1.04
-0.013,0.957,0.258,5.005,0.854,1.282,75.07,-0.953
-0.012,0.955,0.271,4.15,1.77,0.305,74.778,-0.448
-0.018,0.946,0.263,2.075,-4.333,-1.343,74.282,-0.785
-0.007,0.952,0.26,-2.197,-0.488,-0.244,74.534,-0.722
-0.023,0.927,0.27,5.371,0.427,1.16,74.247,-0.866
-0.023,0.947,0.271,9.094,-0.427,-0.183,74.211,-1.021
-0.016,0.944,0.295,1.099,-1.709,-1.709,73.752,-0.992
0.004,0.986,0.32,10.315,-5.737,3.052,73.073,-0.83
-0.045,0.919,0.303,-3.54,-4.028,-1.709,72.564,-1.149
-0.036,0.938,0.284,-0.122,-0.427,-2.014,72.336,-1.342
-0.016,0.95,0.271,0.732,0.061,-1.099,72.689,-1.346
-0.084,0.937,0.287,8.362,-4.822,2.686,72.79,-2.654
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.034,0.933,0.28,7.507,1.099,0.854,73.192,-2.486
-0.052,0.941,0.329,-24.719,5.127,-3.845,72.546,-2.701
-0.034,0.948,0.218,7.874,3.54,0.305,73.218,-2.971
-0.054,0.953,0.236,11.658,10.376,-2.502,74.058,-2.531
-0.016,0.931,0.267,6.409,5.188,-1.953,74.274,-2.283
-0.035,0.942,0.27,5.249,2.197,-2.197,75.135,-2.046
0.041,0.951,0.279,8.118,3.113,0.793,74.407,-0.952
0,0.923,0.332,5.249,3.906,1.038,72.971,-0.157
-0.014,0.941,0.313,-1.709,-1.709,1.221,72.373,-0.122
0.017,0.933,0.286,1.77,3.784,1.648,72.108,0.639
0.036,0.925,0.291,3.662,4.333,-0.183,71.82,0.57
-0.012,0.92,0.31,-0.61,-1.282,-0.977,72.109,0.394
-0.012,0.946,0.279,-1.099,-3.418,-1.831,72.607,0.42
0.025,0.943,0.275,0,-2.197,-1.587,72.803,0.533
0.02,0.942,0.276,5.005,1.404,1.953,73.091,0.307
0.005,0.934,0.276,3.296,2.014,0.977,73.625,0.552
-0.048,0.943,0.282,2.014,0.244,-1.953,73.583,0.039
0.013,0.961,0.259,0.854,-2.197,-2.258,73.878,-0.135
0.031,0.942,0.282,4.456,3.723,-2.319,73.801,0.025
0.048,0.968,0.263,-0.122,-1.587,0.916,74.098,0.651
0.026,0.95,0.264,-1.77,-0.244,12.878,74.286,1.717
-0.004,0.946,0.246,2.563,1.465,0.244,74.428,1.475
-0.02,0.955,0.24,7.202,1.099,0.61,75.104,0.733
-0.004,0.956,0.246,4.578,0.244,1.404,75.317,-0.025
0.022,0.954,0.253,2.808,0.793,-1.831,75.492,-0.087
0.047,0.955,0.271,0.793,-0.305,-1.221,75.17,0.644
-0.001,0.962,0.233,0.549,0,0.488,75.29,0.919
0.002,0.948,0.248,2.014,0.916,1.343,75.226,1.009
0.014,0.956,0.237,2.441,1.587,-0.122,75.468,0.893
0.009,0.953,0.247,0.488,0.427,0.305,75.813,0.346
0.01,0.95,0.233,3.357,2.258,1.16,75.763,0.511
-0.013,0.958,0.226,0.122,-0.183,-1.709,76.123,0.285
-0.013,0.949,0.209,-4.456,-1.282,0.366,76.494,-0.105
-0.038,0.974,0.211,-4.089,-1.587,0.244,77.062,-0.781
0.007,0.957,0.209,0.916,-2.258,-1.282,77.424,-0.825
-0.028,0.96,0.215,-1.526,-1.587,-0.732,77.57,-1.041
-0.002,0.959,0.206,2.014,1.709,-0.854,77.651,-0.882
-0.026,0.954,0.209,3.784,1.709,0.732,77.617,-0.724
-0.009,0.959,0.205,2.991,-0.427,0.183,77.66,-0.966
0.011,0.973,0.197,-2.808,-3.418,0.366,77.984,-0.397
-0.001,0.981,0.186,-1.526,-2.319,0.244,78.333,-0.383
-0.014,0.914,0.204,-19.775,0.366,-1.465,78.295,-0.209
0.007,0.978,0.159,12.024,1.099,-0.549,79.007,0.037
0.049,0.962,0.178,0.305,1.526,2.747,79.235,0.602
-0.035,0.983,0.188,10.254,1.953,1.831,79.231,0.104
-0.063,0.937,0.179,-0.549,-1.77,2.625,79.641,-0.602
-0.029,0.964,0.184,-1.404,-0.732,-1.526,79.209,-1.136
-0.032,0.965,0.182,6.836,-1.465,-0.732,78.969,-2.328
-0.014,0.948,0.185,-0.854,0.488,-1.953,78.98,-2.031
-0.03,0.97,0.178,6.409,-0.916,0.244,79.153,-1.536
-0.111,0.949,0.239,6.165,-7.202,1.892,78.113,-2.738
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.023,0.958,0.206,3.174,0.916,0.61,77.787,-2.6
-0.034,0.978,0.2,-44.678,4.272,-4.089,77.601,-2.88
-0.009,0.94,0.173,15.93,2.563,-0.183,77.642,-2.598
-0.041,0.988,0.155,10.742,8.362,-2.625,79.125,-1.559
-0.019,0.96,0.181,8.179,4.944,-0.122,79.503,-1.499
0.004,0.969,0.198,9.705,8.789,-0.61,79.581,-0.945
