aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.023,0.157,0.968,22.461,-1.404,2.197,9.212,1.327
-0.002,0.203,0.967,-7.996,2.197,-1.526,10.524,0.59
0.023,0.245,0.954,4.089,1.709,0.61,11.813,0.844
0.007,0.262,0.951,0.61,2.258,7.385,12.706,0.739
-0.01,0.258,0.956,4.089,3.235,-0.732,14.173,0.259
-0.014,0.202,0.967,5.005,4.639,-1.038,14.167,0.09
-0.021,0.207,0.959,8.362,7.019,-0.671,13.618,-0.557
0.05,0.23,0.936,6.287,4.211,-0.061,13.225,0.066
0.071,0.217,0.959,4.7,1.648,1.221,12.623,1.25
0.055,0.202,0.974,3.662,0.549,-1.892,12.588,2.256
0.108,0.184,0.941,3.723,-0.977,-2.869,12.285,4.159
0.068,0.178,0.969,8.057,0.122,7.385,11.443,4.397
0.056,0.187,0.968,7.446,1.526,3.662,10.992,4.174
0.099,0.175,0.958,2.686,1.221,-2.747,10.64,4.83
0.082,0.183,0.964,1.16,-0.122,-3.906,10.578,4.433
0.098,0.173,0.96,4.517,1.892,-4.028,10.514,4.879
0.066,0.17,0.978,4.578,0.488,-1.831,10.253,5.024
0.128,0.159,0.964,0.916,0.793,-1.221,10.014,5.444
0.077,0.16,0.972,2.991,0.732,1.221,9.665,5.366
0.077,0.17,0.967,1.953,-0.061,0.549,9.618,5.052
0.089,0.168,0.97,0,-1.099,0.244,9.603,5.386
0.118,0.164,0.958,-1.77,-0.427,1.77,9.688,5.245
0.174,0.182,0.95,-2.136,1.282,2.075,10.021,6.676
0.051,0.209,0.975,-9.399,1.282,-1.648,10.568,6.276
0.074,0.262,0.943,-1.648,0.671,-3.601,11.983,6.078
0.081,0.233,0.96,2.197,0.183,-2.319,12.971,5.524
0.057,0.275,0.949,1.587,1.404,-1.953,14.32,3.806
0.02,0.231,0.965,7.263,0.427,4.089,14.672,3.364
0.071,0.237,0.959,-3.052,-1.892,-3.906,14.258,3.317
0.001,0.24,0.961,-2.075,-2.563,-8.972,14.364,2.158
0,0.253,0.959,1.587,-6.47,-3.845,14.028,1.331
-0.052,0.23,0.965,5.249,-2.502,-2.014,14.021,0.289
-0.05,0.207,0.976,33.142,-4.211,3.357,13.544,-1.458
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.016,0.168,0.958,14.16,-0.366,0.854,12.537,-1.239
0.001,0.194,0.97,-6.287,5.981,-2.563,11.67,-1.222
0.016,0.214,0.967,1.709,3.845,3.479,11.439,-0.239
-0.056,0.159,0.968,14.221,4.883,7.202,10.78,-0.324
0.036,0.191,0.96,4.089,8.057,0.671,11.1,-0.044
0.104,0.203,0.956,1.526,6.104,0.183,11.259,1.464
-0.007,0.204,0.974,4.7,6.897,-1.038,11.091,1.133
0.057,0.206,0.965,4.395,2.441,-0.61,11.749,2.77
0.093,0.184,0.957,1.709,0.61,1.648,11.648,3.61
0.112,0.175,0.958,1.099,-1.892,4.517,11.244,3.716
0.08,0.187,0.965,0.793,-0.916,4.761,11.015,4.985
0.071,0.178,0.962,5.859,0.732,1.77,10.625,5.193
0.1,0.191,0.961,1.953,-0.122,-1.587,10.718,5.284
0.09,0.178,0.965,6.836,2.38,-0.732,10.749,4.959
0.106,0.174,0.961,2.258,1.343,-3.723,10.555,5.353
0.087,0.165,0.967,0.61,1.343,-2.075,10.355,5.581
0.143,0.184,0.941,1.16,0.793,-3.174,10.298,6.239
0.102,0.188,0.962,3.357,2.502,-0.122,10.454,6.422
0.088,0.177,0.963,-0.854,0.061,1.465,10.5,6.155
0.144,0.188,0.945,-1.831,2.502,-1.404,10.863,7.025
0.159,0.23,0.939,-4.028,0.793,1.16,11.519,7.236
0.176,0.175,0.958,8.301,3.052,9.033,11.309,8.31
0.101,0.249,0.946,-10.498,-4.028,8.789,12.381,8.502
0.056,0.147,0.963,10.803,3.479,6.714,11.786,7.207
0.088,0.226,0.955,-12.024,-3.418,-2.808,11.71,6.156
0.04,0.259,0.976,5.737,1.282,7.568,12.885,4.151
