aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.910,-0.091,-0.369,10.498,-10.864,2.075,-5.273,67.346
0.962,-0.137,-0.296,5.615,5.127,-1.404,-6.533,69.424
0.893,-0.040,-0.383,-7.812,8.728,1.160,-5.172,68.628
0.964,-0.182,-0.397,12.756,-7.935,0.305,-6.410,67.912
0.961,-0.103,-0.407,12.085,1.709,2.563,-6.480,67.660
0.945,-0.063,-0.367,7.019,3.540,3.174,-5.429,66.942
0.909,-0.045,-0.558,10.132,28.015,8.484,-5.381,64.865
0.864,0.042,-0.694,20.874,84.839,21.545,-2.290,61.074
0.736,0.034,-0.793,28.687,105.713,23.437,-0.432,55.076
0.474,0.091,-0.944,54.504,98.572,22.888,1.659,44.922
0.223,0.333,-0.895,9.094,89.417,25.452,7.049,34.338
-0.019,0.288,-0.909,7.324,84.045,28.198,11.062,21.338
-0.247,0.332,-0.822,3.357,69.153,20.752,16.189,6.604
-0.407,0.284,-0.705,5.127,41.504,13.123,20.195,-7.217
-0.483,0.265,-0.709,-2.563,5.066,3.723,19.220,-19.013
-0.507,0.297,-0.797,2.869,-3.601,-1.587,18.851,-26.807
-0.488,0.294,-0.828,-1.038,-1.831,0.549,17.680,-30.142
-0.474,0.273,-0.800,-3.662,-0.977,1.099,17.002,-30.375
-0.486,0.290,-0.805,-2.563,-1.038,0.671,17.002,-29.684
-0.483,0.247,-0.810,1.709,0.061,0.549,16.309,-29.405
-0.482,0.268,-0.800,0.366,0.244,-0.793,16.055,-29.585
-0.484,0.265,-0.813,2.441,0.549,0.244,15.872,-29.646
-0.486,0.279,-0.802,0.732,-0.671,1.587,15.728,-29.693
-0.466,0.263,-0.805,-0.793,-1.099,1.282,16.007,-29.482
-0.473,0.242,-0.781,-4.333,-6.165,0.610,15.723,-29.558
-0.399,0.248,-0.728,-16.418,-25.330,-3.357,15.967,-29.073
-0.221,0.163,-0.797,-36.804,-68.298,-8.118,14.766,-25.686
0.066,0.107,-0.942,-13.428,-110.046,-5.981,12.593,-17.112
0.399,0.003,-1.046,-28.015,-114.807,-3.357,8.440,-2.504
0.611,-0.067,-1.020,-7.446,-91.431,-3.418,3.029,12.644
0.742,-0.038,-0.732,-10.071,-76.538,-2.197,0.077,25.926
0.885,-0.121,-0.528,6.531,-41.260,-7.019,-2.997,38.347
0.906,-0.066,-0.515,11.169,-12.817,4.150,-3.962,48.212
