aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.512,0.155,-0.839,2.625,-7.935,3.174,8.952,31.000
0.539,0.290,-0.906,29.480,33.752,-9.644,12.329,30.291
0.514,0.132,-0.801,4.883,2.380,1.587,10.934,30.961
0.512,0.135,-0.757,6.531,2.319,-2.258,10.348,31.599
0.452,0.269,-0.764,-14.038,-4.456,3.723,12.247,31.199
0.534,0.432,-0.901,3.784,4.456,34.973,14.295,30.880
0.466,0.554,-0.941,37.537,18.616,66.772,19.643,28.359
0.380,0.645,-0.936,45.288,29.541,94.482,25.477,24.502
0.198,0.773,-0.914,58.289,36.743,113.220,30.908,19.703
-0.083,0.656,-0.733,58.533,37.109,113.220,35.728,12.320
-0.374,0.633,-0.545,59.937,33.020,99.426,40.835,1.667
-0.499,0.290,-0.321,43.701,27.649,75.500,41.835,-12.430
-0.664,0.050,-0.066,22.949,9.155,32.410,35.016,-34.830
-0.816,0.355,-0.147,0.183,-5.737,-2.686,27.149,-53.978
-0.876,0.477,-0.198,-11.292,-2.197,-2.869,21.675,-64.188
-0.836,0.529,-0.185,-4.028,2.075,-1.221,23.481,-64.379
-0.820,0.524,-0.179,-2.197,3.967,2.747,28.840,-58.985
-0.824,0.452,-0.180,-2.197,2.563,1.221,29.969,-57.774
-0.803,0.476,-0.169,3.601,0.916,1.160,30.535,-57.327
-0.820,0.472,-0.141,3.357,0.061,-1.648,29.979,-58.067
-0.826,0.502,-0.162,0.244,-2.136,-3.418,29.681,-58.439
-0.827,0.416,-0.198,-7.385,-2.380,-5.310,29.158,-58.824
-0.715,0.319,-0.196,-17.151,-5.615,-22.766,27.628,-59.942
-0.615,0.485,-0.265,-32.898,-15.137,-48.645,29.103,-57.391
-0.428,0.459,-0.479,-29.907,-22.278,-67.749,30.742,-51.870
-0.354,0.651,-0.532,-32.288,-23.926,-71.838,36.640,-41.177
-0.138,0.884,-0.591,-40.161,-17.822,-75.867,45.740,-26.318
0.037,0.871,-0.671,-34.485,-19.531,-75.806,49.615,-13.570
0.242,0.671,-0.752,-29.419,-21.973,-63.843,50.297,-3.046
0.345,0.599,-0.733,-34.973,-24.109,-60.974,47.316,6.794
0.482,0.546,-0.778,-19.104,-22.583,-55.603,40.585,15.546
0.584,0.368,-0.757,-1.465,-21.484,-37.537,32.375,23.928
0.555,0.383,-0.823,46.936,14.771,-4.822,27.363,28.473
0.557,0.395,-0.774,41.565,0.305,-3.113,23.916,31.470
0.559,0.495,-0.819,74.890,0.549,-15.015,22.860,32.269
0.617,0.581,-0.469,21.667,-5.920,-1.648,26.730,33.718
0.570,0.432,-0.538,-21.606,2.380,8.789,28.710,35.571
0.566,0.568,-0.569,-9.949,-0.916,3.479,31.945,36.123
0.562,0.594,-0.562,-22.766,-0.427,5.249,34.615,37.209

0.515,-0.020,-0.858,6.958,-6.409,1.892,25.106,36.620
0.511,0.021,-0.940,-16.052,3.723,3.357,17.746,34.340
0.510,-0.047,-0.869,-10.132,-0.427,4.150,8.104,32.635
0.486,-0.129,-0.866,-2.991,-1.892,-6.836,-2.454,29.751
0.491,-0.015,-0.916,-8.545,-7.263,-4.883,-2.363,29.070
0.522,0.005,-0.876,4.822,3.418,7.874,-2.615,29.639
0.506,0.198,-1.005,5.432,28.259,39.185,0.824,28.692
0.437,0.243,-1.004,28.809,50.842,66.833,5.769,27.090
0.257,0.222,-0.995,40.588,45.105,69.946,8.962,23.629
0.041,0.442,-0.948,52.368,45.471,65.247,14.943,16.829
-0.168,0.473,-0.865,48.767,48.096,70.007,19.706,7.966
-0.323,0.557,-0.740,50.415,51.025,74.829,25.491,-2.818
