Exercise,Ax_Min,Ax_Max,Ax_Mean,Ax_std,Ax_med,Ay_Min,Ay_Max,Ay_Mean,Ay_std,Ay_med,Az_Min,Az_Max,Az_Mean,Az_std,Az_med,Gx_Min,Gx_Max,Gx_Mean,Gx_std,Gx_med,Gy_Min,Gy_Max,Gy_Mean,Gy_std,Gy_med,Gz_Min,Gz_Max,Gz_Mean,Gz_std,Gz_med,Pitch_Min,Pitch_Max,Pitch_Mean,Pitch_std,Pitch_med,Roll_Min,Roll_Max,Roll_Mean,Roll_std,Roll_med
9,-1.022,0.996,-0.136051546,0.800313043,-0.25,-0.236,0.139,-0.035154639,0.097225076,-0.25,-1.029,0.167,-0.404731959,0.409397512,-0.401,-23.071,20.142,0.702206186,8.036185883,1.465,-62.195,59.937,0.066731959,29.06147859,-0.549,-9.949,15.564,1.053979381,4.770814498,0.183,-88.878,69.663,-15.45709278,60.85745367,-17.288,-10.517,6.229,-1.979257732,5.1750422,-4.074
9,-0.988,0.99,-0.19179798,0.816737062,-0.571,-0.316,0.186,0.00369697,0.134753248,-0.571,-1.025,0.196,-0.364767677,0.377865564,-0.351,-31.921,24.414,0.789131313,8.692150683,1.16,-66.04,65.979,0.785444444,29.5136723,0.183,-3.174,18.311,3.631272727,4.615218156,2.197,-83.749,72.856,-18.84012121,62.05069675,-39.035,-15.704,9.22,0.29910101,7.527709082,4.89
9,-1.006,0.981,-0.237721649,0.772611963,-0.599,-0.162,0.165,0.040381443,0.09030682,-0.599,-0.997,0.212,-0.423020619,0.387636535,-0.394,-29.541,13.916,0.652505155,5.924539509,0.732,-48.462,54.749,0.419752577,27.03017745,-0.244,-6.104,11.597,1.850505155,2.876247799,1.404,-84.501,72.158,-21.68951546,58.77266925,-36.267,-7.249,8.462,2.437164948,4.99375269,4.707
9,-1.002,0.98,-0.284484848,0.767277939,-0.678,-0.206,0.166,0.015414141,0.061367081,-0.678,-0.992,0.227,-0.358818182,0.439301611,-0.357,-15.32,15.747,0.352040404,5.569994618,0.61,-44.434,55.847,0.30269697,28.68279796,-1.038,-3.479,11.841,1.320050505,3.145871517,1.099,-87.935,70.351,-25.26224242,58.22714609,-40.75,-7.172,5.952,0.917757576,3.104092575,1.31
9,-1.009,0.976,-0.251887755,0.781053794,-0.6275,-0.349,0.193,0.031765306,0.086389409,-0.6275,-1.015,0.24,-0.368673469,0.425451192,-0.3645,-21.24,15.442,-0.057918367,5.561866856,0.488,-56.519,44.739,0.137010204,28.02986567,0.0305,-7.812,10.681,2.142459184,3.416105799,1.465,-86.786,71.038,-22.79766327,58.95370403,-38.6125,-8.912,8.335,1.906112245,4.366866889,3.2655
9,-1.009,0.983,-0.246191919,0.787904243,-0.626,-0.145,0.143,0.024141414,0.069100933,-0.626,-1.035,0.212,-0.375232323,0.412368045,-0.383,-17.395,16.418,1.117777778,5.927311759,0.916,-54.504,61.035,0.057373737,28.39706095,-0.793,-4.272,15.015,1.534525253,3.577647033,1.221,-87.451,72.682,-22.01882828,59.51245833,-42.086,-6.591,7.131,1.466808081,3.579262681,2.196
9,-1.019,0.986,-0.278595506,0.777610351,-0.655,-0.242,0.159,0.021146067,0.083570269,-0.655,-1.022,0.188,-0.377134831,0.416731061,-0.379,-14.648,14.709,0.872337079,4.935576811,0.977,-45.288,58.044,0.554044944,28.16782372,-0.183,-8.24,18.127,2.062842697,4.343501745,1.343,-88.338,72.205,-25.01130337,58.79571874,-44.556,-9.636,8.077,1.337842697,4.258695343,2.537
9,-0.982,0.978,-0.219811111,0.799099421,-0.6065,-0.154,0.207,0.020211111,0.076649574,-0.6065,-0.989,0.292,-0.321855556,0.444362378,-0.3325,-18.494,15.015,0.359444444,7.178599998,0.183,-52.856,59.265,-0.170922222,29.46947227,-0.427,-4.517,9.705,1.7768,3.604465758,0.854,-87.834,71.355,-20.27788889,60.01254584,-39.4305,-7.689,9.674,1.2334,4.140925812,1.922
9,-0.986,0.988,-0.220202247,0.794038844,-0.621,-0.217,0.154,0.017303371,0.075643513,-0.621,-1.007,0.302,-0.322662921,0.459574382,-0.346,-37.048,22.827,0.111797753,9.301100937,0.916,-48.34,55.054,0.366865169,29.84475181,-0.366,-8.606,9.338,1.104820225,3.862241591,0.916,-88.267,71.462,-19.91335955,59.34520646,-36.582,-8.019,7.219,1.066539326,3.824275689,1.22
9,-1.005,0.989,-0.235359551,0.781627516,-0.584,-0.182,0.191,0.010640449,0.08897513,-0.584,-1.021,0.177,-0.38711236,0.413591268,-0.378,-23.804,15.991,0.150168539,6.435335375,0.854,-55.359,57.19,0.478,28.86345209,-1.038,-6.042,14.893,2.812460674,4.369141857,2.075,-87.45,71.864,-22.43060674,59.74781494,-36.425,-9.579,8.969,0.71247191,4.664119,1.487
